"figure_file","primary_stats_csv","analysis_summary"
"F1A_subregion_x_gou_panels_combined.png","01_subregion_x_gou_panels.csv","Hybrid domain prop; All_insula row"
"F1B_subregion_x_gou_panels_LRcontrast.png","01_subregion_x_gou_panels.csv","Cliff d L vs R domains"
"F2_subregion_x_key_targets.png","02_subregion_x_key_targets.csv","L+R key targets"
"F2B_subregion_x_key_targets_LRcontrast.png","02_subregion_x_key_targets.csv","L vs R key targets"
"F3A_intra_insula_combined.png","03_intra_insula_meanprop.csv","Intra-insula mean prop"
"F3B_intra_insula_prevalence.png","03_intra_insula_prevalence.csv","Fraction projecting"
"F3C_intra_insula_LRcontrast.png","03_intra_insula_meanprop.csv","Intra L vs R"
"F4_interoceptive_gradient.png","04_interoceptive_gradient_regressions.csv","OLS slope soma AP x prop"
"F5_per_neuron_ibias.png","05_per_neuron_ibias.csv","Length-based Ibias vs AP"
"F6_projection_LI_bilateral_receiving.png","06b_projection_laterality_index_all_targets.csv","SQ3d LI bilateral targets"
"F6_projection_LI_one_side_or_extreme.png","06b_projection_laterality_index_all_targets.csv","SQ3d LI QC class"
"F6_projection_LI_violin_by_stratum_family.png","06b_projection_laterality_index_all_targets.csv","LI distribution"
"F6_supplement_rank_based_receivers.png","06_asymmetric_receivers_BH.csv","Rank tests Cliff/Fisher"
"F7_hierarchy_sensitivity.png","07_hierarchy_sensitivity_per_target.csv","Headline targets resolved L3/L6"
"F8_loso_sensitivity.png","09_loso_sensitivity.csv","Leave-one-monkey-out"
"F9_FNT_vs_projection_pairwise.png","08_mantel_replication.csv","Hex + Mantel rho/p"
"F9b_FNT_vs_projection_heatmaps_SQ5.png","08_mantel_replication.csv","Parallel matrices + d_rank"
"F10_interoceptive_AP_octile_heatmap.png","10_ap_octile_interoceptive_profile.csv","AP octile x targets"
"flatmap_overlays/P13_flatmap_with_LR_context_strip.png","00_context_per_subregion_n.csv","Flatmap + L/R n strip (Python)"
