"section","name","detail"
"stratum","IDD5_plus_IDM_balanced","Region %in% c('IDD5','IDM') | primary inferential | min_n=10"
"stratum","IDD5_balanced","Region == 'IDD5' | stricter check | min_n=10"
"stratum","IDM_balanced","Region == 'IDM' | replication | min_n=10"
"stratum","all_combined","TRUE | overall sensitivity | min_n=10"
"stratum","IAL_combined","Region == 'IAL' | v3 caudal-OFC sanity | min_n=10"
"stratum","IAPM_combined","Region == 'IAPM' | descriptive only | min_n=999"
"stratum","IDV_combined","Region == 'IDV' | descriptive only | min_n=999"
"metric","frac_projecting","fraction of source-side neurons with prop > 0 (Fisher's exact)"
"metric","mean_prop","mean ipsi projection proportion (Wilcoxon)"
"metric","cliffs_delta","rank-based effect size"
"metric","log_odds_presence","log-odds ratio of presence"
"metric","regression_slope","OLS slope of target ~ soma_pos with permutation p"
