"p_combo_column","atlas_base","hierarchy","panel_code","mapping_source"
"caudal_OFC@L3","caudal_OFC","L3","emo","gou_map_table"
"Str@L3","Str","L3","motor","gou_map_table"
"spAmy@L3","spAmy","L3","emo","gou_map_table"
"Pd@L3","Pd","L3","motor","gou_map_table"
"floor_of_ls@L3","floor_of_ls","L3",NA,"unmapped"
"LPal@L3","LPal","L3","motor","gou_map_table"
"THy@L3","THy","L3","auto","gou_map_table"
"ZI-H@L3","ZI-H","L3","auto","gou_map_table"
"VMed@L3","VMed","L3","auto","gou_map_table"
"pAmy@L3","pAmy","L3","emo","gou_map_table"
"M1/PM@L3","M1/PM","L3","motor","gou_map_table"
"lat_OFC@L3","lat_OFC","L3","emo","gou_map_table"
"vlPFC@L3","vlPFC","L3","cog","gou_map_table"
"MThal@L3","MThal","L3","memory","gou_map_table"
"MLThal@L3","MLThal","L3","memory","gou_map_table"
"Rh@L3","Rh","L3","sens","gou_map_table"
"STSf@L3","STSf","L3","sens","gou_map_table"
"TG@L3","TG","L3","sens","gou_map_table"
"SII@L3","SII","L3","sens","gou_map_table"
"SI@L3","SI","L3","sens","gou_map_table"
"lat_IPS@L3","lat_IPS","L3","sens","gou_map_table"
"area_7_in_IPL@L3","area_7_in_IPL","L3","sens","gou_map_table"
"VMid@L3","VMid","L3","auto","gou_map_table"
"DSP@L3","DSP","L3","motor","gou_map_table"
"STGr/STSd@L3","STGr/STSd","L3","sens","gou_map_table"
"VPons@L3","VPons","L3","auto","gou_map_table"
"DPons@L3","DPons","L3","auto","gou_map_table"
"LPons@L3","LPons","L3","sens","gou_map_table"
"VPal@L3","VPal","L3","motor","gou_map_table"
"POC@L3","POC","L3","sens","gou_map_table"
"VThal@L3","VThal","L3","motor","gou_map_table"
"HF@L3","HF","L3","memory","gou_map_table"
"vm_IPS@L3","vm_IPS","L3","sens","gou_map_table"
"TE@L3","TE","L3","sens","gou_map_table"
"MCC@L3","MCC","L3","auto","gou_map_table"
"PThal@L3","PThal","L3","sens","gou_map_table"
"area_5@L3","area_5","L3","sens","gou_map_table"
"Rt@L3","Rt","L3","sens","gou_map_table"
"SMA/preSMA@L3","SMA/preSMA","L3","motor","gou_map_table"
"IMed@L3","IMed","L3","auto","gou_map_table"
"PCgG@L3","PCgG","L3","emo","gou_map_table"
"area_7m@L3","area_7m","L3","sens","gou_map_table"
"ACC@L3","ACC","L3","auto","gou_map_table"
"dlPFC@L3","dlPFC","L3","cog","gou_map_table"
"MMid@L3","MMid","L3","auto","gou_map_table"
"PHy@L3","PHy","L3","auto","gou_map_table"
"PrT@L3","PrT","L3","sens","gou_map_table"
"DMid@L3","DMid","L3","auto","gou_map_table"
"GThal@L3","GThal","L3","memory","gou_map_table"
"belt@L3","belt","L3","sens","gou_map_table"
"area_8A@L3","area_8A","L3","cog","gou_map_table"
"MST@L3","MST","L3","sens","gou_map_table"
"STGc@L3","STGc","L3","sens","gou_map_table"
"LMid@L3","LMid","L3","sens","gou_map_table"
"DMed@L3","DMed","L3","auto","gou_map_table"
"core@L3","core","L3","sens","gou_map_table"
"med_OFC@L3","med_OFC","L3","emo","gou_map_table"
"V4@L3","V4","L3",NA,"unmapped"
"paraHipp@L3","paraHipp","L3",NA,"unmapped"
"V6/V6A@L3","V6/V6A","L3",NA,"unmapped"
"V2-V3@L3","V2-V3","L3",NA,"unmapped"
"MT@L3","MT","L3",NA,"unmapped"
"V1@L3","V1","L3",NA,"unmapped"
"Ial@L6","Ial","L6","sens","insula_l6_interoceptive"
"Iai@L6","Iai","L6","auto","gou_ontology_modal"
"Iapl@L6","Iapl","L6","sens","insula_l6_interoceptive"
"Iam/Iapm@L6","Iam/Iapm","L6","sens","insula_l6_interoceptive"
"Ia/Id@L6","Ia/Id","L6","sens","insula_l6_interoceptive"
"Ig@L6","Ig","L6","sens","insula_l6_interoceptive"
"Pi@L6","Pi","L6","sens","insula_l6_interoceptive"
"Ri@L6","Ri","L6","sens","insula_l6_interoceptive"
