"Region","panel","n_domain_targets","n_total","n_L","n_R","mean_combined","mean_L","mean_R","cliffs_delta","p_LR","p_LR_BH","inferential","sig_label","panel_label"
"All_insula","auto",14,306,121,185,0.0596380984204851,0.0566410141068898,0.0615983535661339,-0.00670091579182488,0.906578437917998,0.906578437917998,TRUE,"","Autonomic"
"All_insula","emo",6,306,121,185,0.2214635323865,0.120957478323618,0.287199924503304,-0.346079964261782,1.0301906312631e-07,6.18114378757861e-07,TRUE,"***","Emotional/Reward"
"All_insula","sens",29,306,121,185,0.410669597274232,0.456118507589094,0.380943553230457,0.218673218673219,0.00115642683554618,0.00346928050663853,TRUE,"**","Sensory"
"All_insula","motor",8,306,121,185,0.0967407507097199,0.0978546513745618,0.0960121994640665,0.086888541433996,0.154289660199684,0.185147592239621,TRUE,"","Motor"
"All_insula","cog",3,306,121,185,0.00861650927035682,0.0147667203666422,0.00459393876954315,0.0646415010051374,0.0292625934431996,0.0438938901647994,TRUE,"*","Cognitive"
"All_insula","memory",4,306,121,185,0.00861657966519278,0.0127276330453044,0.00592772853549814,0.0735760553942372,0.00266528506605046,0.00533057013210092,TRUE,"**","Memory"
"IAL","auto",14,138,21,117,0.0924908453879606,0.102191463342519,0.0907497088320143,0.135531135531136,0.298432082624289,0.447648123936433,TRUE,"","Autonomic"
"IAL","emo",6,138,21,117,0.426752666006288,0.334835730370877,0.443250577530593,-0.240537240537241,0.0802187707546249,0.16043754150925,TRUE,"","Emotional/Reward"
"IAL","sens",29,138,21,117,0.317920973526381,0.419908261828631,0.299615562805465,0.378510378510378,0.00585733137740441,0.0175719941322132,TRUE,"*","Sensory"
"IAL","motor",8,138,21,117,0.112511035797681,0.0902177636819174,0.11651239233128,-0.0227920227920228,0.857094099892467,0.857094099892467,TRUE,"","Motor"
"IAL","cog",3,138,21,117,0.0051779704842616,0.00203483262592513,0.00574212343319379,-0.0134310134310134,0.814850609388825,0.857094099892467,TRUE,"","Cognitive"
"IAL","memory",4,138,21,117,0.0115506488947265,0.0302907176195758,0.00818704681590734,0.123321123321123,0.00569627334771061,0.0175719941322132,TRUE,"*","Memory"
"IAPM","auto",14,16,16,0,0.189511480213579,0.189511480213579,NA,NA,NA,NA,FALSE,"","Autonomic"
"IAPM","emo",6,16,16,0,0.322951714592448,0.322951714592448,NA,NA,NA,NA,FALSE,"","Emotional/Reward"
"IAPM","sens",29,16,16,0,0.28441301203551,0.28441301203551,NA,NA,NA,NA,FALSE,"","Sensory"
"IAPM","motor",8,16,16,0,0.172742633020134,0.172742633020134,NA,NA,NA,NA,FALSE,"","Motor"
"IAPM","cog",3,16,16,0,0.00847604745019053,0.00847604745019053,NA,NA,NA,NA,FALSE,"","Cognitive"
"IAPM","memory",4,16,16,0,0.00254379672279695,0.00254379672279695,NA,NA,NA,NA,FALSE,"","Memory"
"IDD5","auto",14,70,34,36,0.0141710305115592,0.0197979392251399,0.00885672783762193,0.0866013071895425,0.167077286375092,0.245697084167562,TRUE,"","Autonomic"
"IDD5","emo",6,70,34,36,0.0146274648811939,0.0246479284977779,0.00516369368775341,0.181372549019608,0.0328602482819407,0.11529644916704,TRUE,"","Emotional/Reward"
"IDD5","sens",29,70,34,36,0.532217879974081,0.508358855467182,0.554751403119486,-0.175653594771242,0.204747570139635,0.245697084167562,TRUE,"","Sensory"
"IDD5","motor",8,70,34,36,0.0882077158769821,0.11183236936015,0.0658955431428787,0.255718954248366,0.0384321497223468,0.11529644916704,TRUE,"","Motor"
"IDD5","cog",3,70,34,36,0.0138303521736768,0.0232374829845754,0.00494583974116138,0.116830065359477,0.0857470840710377,0.171494168142075,TRUE,"","Cognitive"
"IDD5","memory",4,70,34,36,0.00306749387158108,0.00223468439425526,0.00385403615572213,0.0294117647058824,0.557891106716848,0.557891106716848,TRUE,"","Memory"
"IDM","auto",14,79,47,32,0.0147720280982523,0.0150607009686644,0.0143480398198345,0.0425531914893617,0.52336080896876,0.628032970762512,TRUE,"","Autonomic"
"IDM","emo",6,79,47,32,0.0278294282986862,0.0236755180068811,0.0339304840397748,-0.0718085106382979,0.374724966182702,0.562087449274052,TRUE,"","Emotional/Reward"
"IDM","sens",29,79,47,32,0.490890628915557,0.496422844622029,0.482765187096677,0.0465425531914894,0.717286513470007,0.717286513470007,TRUE,"","Sensory"
"IDM","motor",8,79,47,32,0.0631600564703439,0.0687569577916646,0.0549396076546542,0.122340425531915,0.279805027688962,0.559610055377924,TRUE,"","Motor"
"IDM","cog",3,79,47,32,0.010358867070135,0.0174117127349077,0,0.106382978723404,0.0599519499764054,0.179855849929216,TRUE,"","Cognitive"
"IDM","memory",4,79,47,32,0.00996529761394066,0.0167501810957726,0,0.106382978723404,0.0599519499764054,0.179855849929216,TRUE,"","Memory"
"IDV","auto",14,3,3,0,0.0981251380471706,0.0981251380471706,NA,NA,NA,NA,FALSE,"","Autonomic"
"IDV","emo",6,3,3,0,0.162099396880766,0.162099396880766,NA,NA,NA,NA,FALSE,"","Emotional/Reward"
"IDV","sens",29,3,3,0,0.401860981397164,0.401860981397164,NA,NA,NA,NA,FALSE,"","Sensory"
"IDV","motor",8,3,3,0,0.0493600254087405,0.0493600254087405,NA,NA,NA,NA,FALSE,"","Motor"
"IDV","cog",3,3,3,0,0,0,NA,NA,NA,NA,FALSE,"","Cognitive"
"IDV","memory",4,3,3,0,0,0,NA,NA,NA,NA,FALSE,"","Memory"
