"Region","target","hier","target_id","n_total","n_L","n_R","frac_combined","frac_L","frac_R","mean_combined","mean_L","mean_R","cliffs_delta","p_pres","p_mag","p_pres_BH","p_mag_BH","inferential"
"IAL","caudal_OFC","L3","caudal_OFC@L3",138,21,117,1,1,1,0.641201133196006,0.594204389504657,0.649636446166248,-0.103785103785104,NA,0.434911662854878,NA,0.728642170381751,TRUE
"IAL","lat_OFC","L3","lat_OFC@L3",138,21,117,0.152173913043478,0.19047619047619,0.145299145299145,0.0436621572183592,0.0303650671619804,0.0460488144079657,0.0288970288970289,0.52775248480285,0.739917270476857,0.938226639649511,0.786162099881661,TRUE
"IAL","med_OFC","L3","med_OFC@L3",138,21,117,0.0072463768115942,0.0476190476190476,0,0.000625522893520293,0.00411057901456193,0,0.0476190476190476,0.152173913043478,0.0192727382509545,0.442872228239082,0.0819091375665568,TRUE
"IAL","spAmy","L3","spAmy@L3",138,21,117,0.0434782608695652,0.0476190476190476,0.0427350427350427,0.00426475513140002,0.00512839954087999,0.00410974203226258,0.00610500610500611,1,0.906518227984022,1,0.906518227984022,TRUE
"IAL","pAmy","L3","pAmy@L3",138,21,117,0.0434782608695652,0.142857142857143,0.0256410256410256,0.00669627343989861,0.0187980960938606,0.00452415142508491,0.115181115181115,0.045277049702112,0.0180104475175873,0.241477598411264,0.0819091375665568,TRUE
"IAL","LPal","L3","LPal@L3",138,21,117,0.195652173913043,0.333333333333333,0.170940170940171,0.0371991987796197,0.043468844008818,0.0360738778410456,0.137973137973138,0.130339411107346,0.148037451727528,0.442872228239082,0.419439446561331,TRUE
"IAL","VPal","L3","VPal@L3",138,21,117,0.0579710144927536,0.238095238095238,0.0256410256410256,0.0075246037708052,0.0355905989991534,0.00248711744776834,0.213675213675214,0.00213916966477782,0.000125776849667414,0.0342267146364452,0.00213820644434604,TRUE
"IAL","Str","L3","Str@L3",138,21,117,0.210144927536232,0.285714285714286,0.196581196581197,0.0490330500868943,0.0448922320070683,0.0497762738448118,0.0638990638990639,0.386313923541449,0.516222049609052,0.785959639330185,0.728642170381751,TRUE
"IAL","MThal","L3","MThal@L3",138,21,117,0.0144927536231884,0,0.0170940170940171,0.00433191513678462,0,0.00510943836646391,-0.0170940170940171,1,0.557196953821339,1,0.728642170381751,TRUE
"IAL","MLThal","L3","MLThal@L3",138,21,117,0.0217391304347826,0.0476190476190476,0.0170940170940171,0.00829942708189893,0.0232815252340493,0.00561033254176937,0.0313390313390313,0.392979819665092,0.372560425025725,0.785959639330185,0.728642170381751,TRUE
"IAL","VMid","L3","VMid@L3",138,21,117,0.0217391304347826,0,0.0256410256410256,0.00210311593491984,0,0.00248059828221314,-0.0256410256410256,1,0.466962997199709,1,0.728642170381751,TRUE
"IAL","VMed","L3","VMed@L3",138,21,117,0.0144927536231884,0,0.0170940170940171,0.0015864454223833,0,0.00187119203665723,-0.0170940170940171,1,0.557196953821339,1,0.728642170381751,TRUE
"IAL","VPons","L3","VPons@L3",138,21,117,0.0144927536231884,0,0.0170940170940171,0.00176005850320246,0,0.0020759664396747,-0.0170940170940171,1,0.557196953821339,1,0.728642170381751,TRUE
"IAL","ZI-H","L3","ZI-H@L3",138,21,117,0.0072463768115942,0,0.00854700854700855,0.000531736833484474,0,0.000627176777956046,-0.00854700854700855,1,0.686591451331442,1,0.778136978175634,TRUE
"IAL","Ig","L6","Ig@L6",138,21,117,0.0072463768115942,0,0.00854700854700855,0.000205801224032411,0,0.000242739905268998,-0.00854700854700855,1,0.686591451331442,1,0.778136978175634,TRUE
"IAL","Pi","L6","Pi@L6",138,21,117,0.036231884057971,0.0952380952380952,0.0256410256410256,0.00240409752047612,0.00446865627630528,0.00203353569250679,0.0671550671550672,0.166077085589656,0.133252409713782,0.442872228239082,0.419439446561331,TRUE
"IAL","Iam/Iapm","L6","Iam/Iapm@L6",138,21,117,0.0869565217391304,0.238095238095238,0.0598290598290598,0.0101897123510037,0.0320533953534886,0.00626546155568593,0.182743182743183,0.0197103108752215,0.00659068441228272,0.157682487001772,0.0560208175044031,TRUE
"IAPM","caudal_OFC","L3","caudal_OFC@L3",16,16,0,1,1,NA,0.354933985119658,0.354933985119658,NA,NA,NA,NA,NA,NA,FALSE
"IAPM","lat_OFC","L3","lat_OFC@L3",16,16,0,0.75,0.75,NA,0.120206032277924,0.120206032277924,NA,NA,1,NA,1,NA,FALSE
"IAPM","med_OFC","L3","med_OFC@L3",16,16,0,0.125,0.125,NA,0.0179379553778655,0.0179379553778655,NA,NA,1,NA,1,NA,FALSE
"IAPM","spAmy","L3","spAmy@L3",16,16,0,0.25,0.25,NA,0.0229646589888078,0.0229646589888078,NA,NA,1,NA,1,NA,FALSE
"IAPM","pAmy","L3","pAmy@L3",16,16,0,0.3125,0.3125,NA,0.0312968560048326,0.0312968560048326,NA,NA,1,NA,1,NA,FALSE
"IAPM","LPal","L3","LPal@L3",16,16,0,0.625,0.625,NA,0.0896022230601186,0.0896022230601186,NA,NA,1,NA,1,NA,FALSE
"IAPM","VPal","L3","VPal@L3",16,16,0,0.25,0.25,NA,0.0377233053473336,0.0377233053473336,NA,NA,1,NA,1,NA,FALSE
"IAPM","Str","L3","Str@L3",16,16,0,0.625,0.625,NA,0.104284861784032,0.104284861784032,NA,NA,1,NA,1,NA,FALSE
"IAPM","MThal","L3","MThal@L3",16,16,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IAPM","MLThal","L3","MLThal@L3",16,16,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IAPM","VMid","L3","VMid@L3",16,16,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IAPM","VMed","L3","VMed@L3",16,16,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IAPM","VPons","L3","VPons@L3",16,16,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IAPM","ZI-H","L3","ZI-H@L3",16,16,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IAPM","Ig","L6","Ig@L6",16,16,0,0.0625,0.0625,NA,0.00150193840375912,0.00150193840375912,NA,NA,1,NA,1,NA,FALSE
"IAPM","Pi","L6","Pi@L6",16,16,0,0.0625,0.0625,NA,0.0061840231233244,0.0061840231233244,NA,NA,1,NA,1,NA,FALSE
"IAPM","Iam/Iapm","L6","Iam/Iapm@L6",16,16,0,0.6875,0.6875,NA,0.0835278601408254,0.0835278601408254,NA,NA,1,NA,1,NA,FALSE
"IDD5","caudal_OFC","L3","caudal_OFC@L3",70,34,36,0.0571428571428571,0.117647058823529,0,0.00878465073313303,0.0180860456270386,0,0.117647058823529,0.050579401130991,0.0367533836933189,0.139093353110225,0.101071805156627,TRUE
