"Region","target","n_total","n_with_proj","frac_projecting","mean_prop_combined","mean_prop_L","mean_prop_R","cliffs_delta","p_presence","p_magnitude","p_presence_BH","p_magnitude_BH","edge_above_thr","inferential_row"
"IAL","Ial",138,119,0.86231884057971,0.306748314242212,0.449685477054048,0.281092926045215,0.317460317460317,0.0776181828559909,0.0207635348879998,0.271663639995968,0.0726723721079992,TRUE,TRUE
"IAL","Iai",138,70,0.507246376811594,0.0988439799178113,0.127309400752058,0.0937348018193569,0.211640211640212,0.154953411581583,0.101130782300116,0.290634899781898,0.233191716999119,TRUE,TRUE
"IAL","Iapl",138,18,0.130434782608696,0.0197549400074744,0.00410246445142775,0.0225643586970213,-0.00366300366300366,0.738286563779929,0.967682716933591,1,0.967682716933591,TRUE,TRUE
"IAL","Iam/Iapm",138,12,0.0869565217391304,0.0101897123510037,0.0320533953534886,0.00626546155568593,0.182743182743183,0.0197103108752215,0.00659068441228272,0.137972176126551,0.046134790885979,TRUE,TRUE
"IAL","Ia/Id",138,29,0.210144927536232,0.0427492291317749,0.020131510838096,0.046808819594743,-0.0468050468050468,1,0.635214154457185,1,0.801023359886683,TRUE,TRUE
"IAL","Ig",138,1,0.0072463768115942,0.000205801224032411,0,0.000242739905268998,-0.00854700854700855,1,0.686591451331442,1,0.801023359886683,FALSE,TRUE
"IAL","Pi",138,5,0.036231884057971,0.00240409752047612,0.00446865627630528,0.00203353569250679,0.0671550671550672,0.166077085589656,0.133252409713782,0.290634899781898,0.233191716999119,TRUE,TRUE
"IAL","Ri",138,0,0,0,0,0,0,NA,NA,NA,NA,FALSE,TRUE
"IAPM","Ial",16,14,0.875,0.119851304690878,0.119851304690878,NA,NA,1,NA,1,NA,TRUE,TRUE
"IAPM","Iai",16,16,1,0.2062669621622,0.2062669621622,NA,NA,NA,NA,NA,NA,TRUE,TRUE
"IAPM","Iapl",16,1,0.0625,0.00458103502494497,0.00458103502494497,NA,NA,1,NA,1,NA,FALSE,TRUE
"IAPM","Iam/Iapm",16,11,0.6875,0.0835278601408254,0.0835278601408254,NA,NA,1,NA,1,NA,TRUE,TRUE
"IAPM","Ia/Id",16,3,0.1875,0.0108205665937986,0.0108205665937986,NA,NA,1,NA,1,NA,TRUE,TRUE
"IAPM","Ig",16,1,0.0625,0.00150193840375912,0.00150193840375912,NA,NA,1,NA,1,NA,FALSE,TRUE
"IAPM","Pi",16,1,0.0625,0.0061840231233244,0.0061840231233244,NA,NA,1,NA,1,NA,FALSE,TRUE
"IAPM","Ri",16,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"IDD5","Ial",70,1,0.0142857142857143,0.000804706518799026,0.00165674871517447,0,0.0294117647058824,0.485714285714286,0.317112900084624,0.485714285714286,0.317112900084624,FALSE,TRUE
"IDD5","Iai",70,1,0.0142857142857143,0.00072527703715153,0.00149321742942962,0,0.0294117647058824,0.485714285714286,0.317112900084624,0.485714285714286,0.317112900084624,FALSE,TRUE
"IDD5","Iapl",70,0,0,0,0,0,0,NA,NA,NA,NA,FALSE,TRUE
"IDD5","Iam/Iapm",70,0,0,0,0,0,0,NA,NA,NA,NA,FALSE,TRUE
"IDD5","Ia/Id",70,54,0.771428571428571,0.350484355304258,0.185080936538847,0.506698695249367,-0.464052287581699,0.259877298741133,0.000785313207319909,0.485714285714286,0.00196328301829977,TRUE,TRUE
"IDD5","Ig",70,46,0.657142857142857,0.27621024911325,0.449053665806974,0.112969244458067,0.718954248366013,3.94122775301832e-10,1.33214455022568e-07,1.97061387650916e-09,6.66072275112839e-07,TRUE,TRUE
