"Region","target","mean_prop_combined"
"IAL","Ial",0.306748314242212
"IAL","Iai",0.0988439799178113
"IAL","Iapl",0.0197549400074744
"IAL","Iam/Iapm",0.0101897123510037
"IAL","Ia/Id",0.0427492291317749
"IAL","Ig",0.000205801224032411
"IAL","Pi",0.00240409752047612
"IAL","Ri",0
"IAPM","Ial",0.119851304690878
"IAPM","Iai",0.2062669621622
"IAPM","Iapl",0.00458103502494497
"IAPM","Iam/Iapm",0.0835278601408254
"IAPM","Ia/Id",0.0108205665937986
"IAPM","Ig",0.00150193840375912
"IAPM","Pi",0.0061840231233244
"IAPM","Ri",0
"IDD5","Ial",0.000804706518799026
"IDD5","Iai",0.00072527703715153
"IDD5","Iapl",0
"IDD5","Iam/Iapm",0
"IDD5","Ia/Id",0.350484355304258
"IDD5","Ig",0.27621024911325
"IDD5","Pi",0.000965399581707997
"IDD5","Ri",0
"IDM","Ial",0.00324375326295576
"IDM","Iai",0.00284161709202813
"IDM","Iapl",0.00180524978260912
"IDM","Iam/Iapm",0.00223155114461863
"IDM","Ia/Id",0.673771356160456
"IDM","Ig",0.0458323448041929
"IDM","Pi",0.0169403995486361
"IDM","Ri",0
"IDV","Ial",0
"IDV","Iai",0.02698343371186
"IDV","Iapl",0
"IDV","Iam/Iapm",0.0443025709093436
"IDV","Ia/Id",0.485047278916792
"IDV","Ig",0.0398085145510551
"IDV","Pi",0
"IDV","Ri",0
