"Region","target","frac_projecting"
"IAL","Ial",0.86231884057971
"IAL","Iai",0.507246376811594
"IAL","Iapl",0.130434782608696
"IAL","Iam/Iapm",0.0869565217391304
"IAL","Ia/Id",0.210144927536232
"IAL","Ig",0.0072463768115942
"IAL","Pi",0.036231884057971
"IAL","Ri",0
"IAPM","Ial",0.875
"IAPM","Iai",1
"IAPM","Iapl",0.0625
"IAPM","Iam/Iapm",0.6875
"IAPM","Ia/Id",0.1875
"IAPM","Ig",0.0625
"IAPM","Pi",0.0625
"IAPM","Ri",0
"IDD5","Ial",0.0142857142857143
"IDD5","Iai",0.0142857142857143
"IDD5","Iapl",0
"IDD5","Iam/Iapm",0
"IDD5","Ia/Id",0.771428571428571
"IDD5","Ig",0.657142857142857
"IDD5","Pi",0.0142857142857143
"IDD5","Ri",0
"IDM","Ial",0.0253164556962025
"IDM","Iai",0.0253164556962025
"IDM","Iapl",0.0126582278481013
"IDM","Iam/Iapm",0.0253164556962025
"IDM","Ia/Id",1
"IDM","Ig",0.215189873417722
"IDM","Pi",0.0886075949367089
"IDM","Ri",0
"IDV","Ial",0
"IDV","Iai",0.333333333333333
"IDV","Iapl",0
"IDV","Iam/Iapm",0.333333333333333
"IDV","Ia/Id",1
"IDV","Ig",0.333333333333333
"IDV","Pi",0
"IDV","Ri",0
