"target","side","n","slope","slope_se","slope_p","r2","slope_p_BH"
"Ig","L",121,-0.00595699255894462,0.00125397000552109,5.72150254658677e-06,0.159410467219554,5.72150254658677e-06
"Ig","R",185,-0.00298062397154402,0.000364876228138948,4.96740984433787e-14,0.267209539039833,7.4511147665068e-14
"Ig","all",306,-0.00465946511978906,0.000489340545101481,5.55373398020246e-19,0.229730576354118,1.66612019406074e-18
"Pi","L",121,-0.000218090918072379,0.000244298210148055,0.37380663031163,0.00665256009807783,0.560709945467445
"Pi","R",185,-4.50213123933949e-05,8.98411211642084e-05,0.616887898996483,0.0013703746979172,0.616887898996483
"Pi","all",306,-0.00016806851113774,9.84369638305123e-05,0.0887739388640997,0.00949812767119001,0.266321816592299
"Ial","L",121,0.00756743896903031,0.000862916473428932,1.51046185642805e-14,0.392565883162865,2.26569278464207e-14
"Ial","R",185,0.00650992340148372,0.000902115095099397,1.37540268744923e-11,0.221524480751962,1.37540268744923e-11
"Ial","all",306,0.00643788727339129,0.000577350672283016,1.95163487419671e-24,0.290281769458613,5.85490462259013e-24
"Iam/Iapm","L",121,0.0013431382058846,0.000235865685431386,9.08807294280408e-08,0.214144767832978,2.72642188284122e-07
"Iam/Iapm","R",185,0.000110821891744378,9.52417249483526e-05,0.246106913845034,0.00734419518844279,0.246106913845034
"Iam/Iapm","all",306,0.000323658359085843,0.000106338416853275,0.00254135105750847,0.0295721528392827,0.00381202658626271
"Ia/Id","L",121,-0.0110123695154432,0.00153011812432242,5.98122250207797e-11,0.303269868874214,5.98122250207797e-11
"Ia/Id","R",185,-0.0132231745704306,0.00114648535891146,1.75614620839362e-23,0.420932544610973,2.63421931259043e-23
"Ia/Id","all",306,-0.0104343095521519,0.00084994941351507,2.08115788798224e-28,0.331441613087871,6.24347366394671e-28
