"target","side","ap","prop","Region"
"Ig","L",171.5592,0.324952884011333,"IDD5"
"Ig","L",170.882,0.191446535015116,"IDD5"
"Ig","L",171.054,0.619163952225841,"IDD5"
"Ig","L",172.3152,0.450634539050707,"IDD5"
"Ig","L",170.44,0.489911252511721,"IDD5"
"Ig","L",170.526,1,"IDD5"
"Ig","L",170.224,0.425932856768592,"IDD5"
"Ig","L",171.226,0.165043180765256,"IDD5"
"Ig","L",172.178,0.121036603319621,"IDD5"
"Ig","L",173.0272,0.21937117208747,"IDD5"
"Ig","L",173.1072,0.132357764939786,"IDD5"
"Ig","L",173.23,0.133423519612721,"IDD5"
"Ig","L",173.554,0.575364981146669,"IDD5"
"Ig","L",171.772,0.139839762646212,"IDD5"
"Ig","L",171.3608,1,"IDD5"
"Ig","L",170.5688,1,"IDD5"
"Ig","L",171.9712,1,"IDD5"
"Ig","L",173.376,0.341133127551528,"IDD5"
"Ig","L",173.088,0.869006849315068,"IDD5"
"Ig","L",170.724,1,"IDD5"
"Ig","L",170.552,1,"IDD5"
"Ig","L",171.866,1,"IDD5"
"Ig","L",173.268,0.0672907834538516,"IDD5"
"Ig","L",173.7648,0.136110401537545,"IDD5"
"Ig","L",173.9288,0.265757661837578,"IDD5"
"Ig","L",173.696,0.21500852417176,"IDD5"
"Ig","L",173.4008,0.0899812122746472,"IDD5"
"Ig","L",173.8992,0.259306358381503,"IDD5"
"Ig","L",171.9312,0.390754160849234,"IDD5"
"Ig","L",171.47,0.422329988602588,"IDD5"
"Ig","L",171.0112,0.143216722267304,"IDD5"
"Ig","L",171.564,0.176298140636922,"IDD5"
"Ig","L",171.0688,0,"IDM"
"Ig","L",171.8832,0.199620681406554,"IDM"
"Ig","L",170.6888,0,"IDM"
"Ig","L",170.826,0,"IDM"
"Ig","L",171.1808,0,"IDM"
"Ig","L",171.126,0,"IDM"
"Ig","L",173.104,0.312626855519107,"IDM"
"Ig","L",171.88,0.212760554927172,"IDM"
"Ig","L",172.07,0.127011632571199,"IDM"
"Ig","L",173.2648,0,"IDM"
"Ig","L",173.0568,0,"IDM"
"Ig","L",174.0688,0,"IDM"
"Ig","L",173.468,0,"IDM"
"Ig","L",175.0128,0.0581313559777064,"IDM"
"Ig","L",172.5768,0.310363728048059,"IDM"
"Ig","L",172.8072,0.255604467269911,"IDM"
"Ig","L",172.488,0,"IDM"
"Ig","L",173.9408,0,"IDV"
"Ig","L",173.518,0.119425543653165,"IDV"
"Ig","L",171.212,0,"IDV"
"Ig","L",171.5368,0,"IDM"
"Ig","L",169.778,0,"IDM"
"Ig","L",169.8048,0,"IDM"
"Ig","L",172.1768,0,"IDM"
"Ig","L",172.7768,0,"IDM"
"Ig","L",171.3688,0,"IDM"
"Ig","L",172.6608,0,"IDM"
"Ig","L",173.452,0,"IDM"
"Ig","L",174.5272,0.156685268158993,"IDM"
"Ig","L",172.8328,0,"IDM"
"Ig","L",170.464,0,"IDM"
"Ig","L",169.934,0,"IDM"
"Ig","L",170.114,0,"IDM"
"Ig","L",171.028,0.135952182038981,"IDM"
"Ig","L",173.736,0,"IDM"
"Ig","L",173.158,0,"IDM"
"Ig","L",171.17,0,"IDM"
"Ig","L",170.27,0,"IDM"
"Ig","L",171.472,0,"IDM"
"Ig","L",171.146,0,"IDM"
"Ig","L",173.256,0,"IDM"
"Ig","L",168.864,0,"IDM"
"Ig","L",168.9352,0.284554455445545,"IDM"
"Ig","L",168.4768,0.449541564792176,"IDM"
"Ig","L",169.354,0.412383042624466,"IDD5"
"Ig","L",170.696,0,"IDM"
