"NeuronUID","SampleID","Region","Side","ap_y","ml_x","total_ipsi","total_contra","has_any_contra","Ibias"
"251637::001.swc",251637,"IAL","R",213.8664,192.7036,892.670999999996,0,FALSE,-1
"251637::002.swc",251637,"IAL","R",213.9036,192.9288,25.749,0,FALSE,-1
"251637::003.swc",251637,"IAL","R",215.7856,191.6996,65.1930000000001,0,FALSE,-1
"251637::004.swc",251637,"IAL","R",216.6584,191.9628,1425.40299999999,0,FALSE,-1
"251637::005.swc",251637,"IAL","R",216.3672,191.818,351.844,0,FALSE,-1
"251637::006.swc",251637,"IAL","R",216.0444,190.8492,243.169000000001,0,FALSE,-1
"251637::007.swc",251637,"IAL","R",216.3204,190.1656,375.355000000001,0,FALSE,-1
"251637::008.swc",251637,"IAL","R",215.7388,189.8312,323.894000000003,30.865,TRUE,-0.82599454841174
"251637::009.swc",251637,"IAL","R",216.3748,189.8088,199.636,83.3839999999999,TRUE,-0.410755423644972
"251637::010.swc",251637,"IAL","R",217.6472,189.6796,460.367000000001,0,FALSE,-1
"251637::011.swc",251637,"IAL","R",217.4992,190.0888,43.0059999999999,0,FALSE,-1
"251637::012.swc",251637,"IAL","R",217.4512,189.0664,530.030999999999,0,FALSE,-1
"251637::013.swc",251637,"IAL","R",216.86,187.556,3274.24599999995,0,FALSE,-1
"251637::014.swc",251637,"IAL","R",216.0316,188.5892,215.858,0,FALSE,-1
"251637::015.swc",251637,"IAL","R",216.1528,188.548,421.458000000002,0,FALSE,-1
"251637::016.swc",251637,"IAL","R",216.88,189.2612,931.237999999996,0,FALSE,-1
"251637::017.swc",251637,"IAL","R",216.5864,190.946,53.126,0,FALSE,-1
"251637::018.swc",251637,"IAL","R",215.1964,191.2496,182.690000000002,0,FALSE,-1
"251637::019.swc",251637,"IAL","R",214.6016,192.0112,76.3279999999999,0,FALSE,-1
"251637::020.swc",251637,"IAL","R",214.9016,192.5488,173.139000000001,0,FALSE,-1
"251637::021.swc",251637,"IAL","R",215.5436,192.2656,102.675,0,FALSE,-1
"251637::022.swc",251637,"IAL","R",215.4492,192.3764,94.8530000000012,0,FALSE,-1
"251637::023.swc",251637,"IAL","R",217.4524,193.2292,533.810000000002,0,FALSE,-1
"251637::024.swc",251637,"IAL","R",217.6764,192.0352,346.166999999997,0,FALSE,-1
"251637::025.swc",251637,"IAL","R",218.6192,192.5264,439.599999999998,0,FALSE,-1
"251637::026.swc",251637,"IAL","R",218.7924,191.7852,1322.46499999999,0,FALSE,-1
"251637::027.swc",251637,"IAL","R",217.7156,193.0152,86.2190000000006,0,FALSE,-1
"251637::028.swc",251637,"IAL","R",216.6076,193.8492,680.081000000002,0,FALSE,-1
"251637::029.swc",251637,"IAL","R",216.4336,193.3416,1038.73,0,FALSE,-1
"251637::030.swc",251637,"IAL","R",214.8928,194.1228,233.399000000002,9.77099999999999,TRUE,-0.919636468314349
"251637::031.swc",251637,"IAL","R",214.958,193.5548,882.781999999994,0,FALSE,-1
"251637::032.swc",251637,"IAL","R",216.9168,194.7116,204.553000000001,0,FALSE,-1
"251637::033.swc",251637,"IAL","R",216.4576,195.0572,1097.631,0,FALSE,-1
"251637::034.swc",251637,"IAL","R",215.7588,193.9004,478.674000000004,20.184,TRUE,-0.919079176839903
"251637::035.swc",251637,"IAL","R",217.0748,192.7136,46.943,0,FALSE,-1
"251637::036.swc",251637,"IAL","R",216.6168,192.2992,306.456999999999,0,FALSE,-1
"251637::037.swc",251637,"IAL","R",217.5376,191.6184,238.195,0,FALSE,-1
"251637::038.swc",251637,"IAL","R",217.1596,193.2712,560.218999999999,0,FALSE,-1
"251637::039.swc",251637,"IAL","R",216.3524,192.4532,406.416000000003,0,FALSE,-1
"251637::040.swc",251637,"IAL","R",218.4772,190.7596,524.52,0,FALSE,-1
"251637::041.swc",251637,"IAL","R",218.0716,190.6848,109.966000000001,0,FALSE,-1
"251637::042.swc",251637,"IAL","R",218.318,189.7132,160.611000000001,0,FALSE,-1
"251637::043.swc",251637,"IAL","R",217.5132,192.4856,172.876000000001,35.223,TRUE,-0.661478430939123
"251637::044.swc",251637,"IAL","R",214.1356,190.7284,17.061,0,FALSE,-1
"251637::045.swc",251637,"IAL","R",212.7516,189.3864,96.1990000000004,0,FALSE,-1
"251637::046.swc",251637,"IAL","R",212.2256,189.052,160.250000000001,0,FALSE,-1
"251637::047.swc",251637,"IAL","R",213.6328,188.9412,23.5049999999999,0,FALSE,-1
"251637::048.swc",251637,"IAL","R",214.7216,188.3532,289.294000000002,0,FALSE,-1
"251637::049.swc",251637,"IAL","R",214.982,188.0004,89.4430000000006,0,FALSE,-1
