"stratum","target","hier","target_id","family","n_L","n_R","frac_L","frac_R","mean_L","mean_R","cliffs_delta","p_pres","p_mag","p_pres_BH","p_mag_BH","best_q","direction"
"all_combined","Ig","L6","Ig@L6","intra_insula",121,185,0.40495867768595,0.0918918918918919,0.150501315753574,0.0265765978286813,0.316595934777753,1.16737741756503e-10,7.61435359208917e-11,8.17164192295522e-10,5.33004751446242e-10,5.33004751446242e-10,"L>R"
"IDD5_balanced","Ig","L6","Ig@L6","intra_insula",34,36,1,0.333333333333333,0.449053665806974,0.112969244458067,0.718954248366013,3.94122775301832e-10,1.33214455022568e-07,7.88245550603664e-10,2.66428910045136e-07,7.88245550603664e-10,"L>R"
"all_combined","caudal_OFC","L3","caudal_OFC@L3","extra_insula",121,185,0.396694214876033,0.643243243243243,0.167532633869341,0.414034024292645,-0.353853026580299,3.60188984892147e-05,3.45853835626485e-08,0.000444233081366982,1.27965919181799e-06,1.27965919181799e-06,"R>L"
"all_combined","Ial","L6","Ial@L6","intra_insula",121,185,0.305785123966942,0.535135135135135,0.0952637756534067,0.178565174867603,-0.255706946616038,9.70465141677792e-05,3.2639329890781e-05,0.000339662799587227,0.000114237654617733,0.000114237654617733,"R>L"
"IDD5_plus_IDM_balanced","Ig","L6","Ig@L6","intra_insula",81,68,0.580246913580247,0.235294117647059,0.223051884544064,0.0718863239616112,0.355482933914306,2.7182299958901e-05,3.33124296489906e-05,0.000135911499794505,0.000166562148244953,0.000135911499794505,"L>R"
"all_combined","floor_of_ls","L3","floor_of_ls@L3","extra_insula",121,185,0.760330578512397,0.508108108108108,0.45762924593519,0.30382070681945,0.246683046683047,8.98523172295771e-06,0.000155348204960326,0.000332453573749435,0.00159503852293552,0.000332453573749435,"L>R"
"all_combined","LPal","L3","LPal@L3","extra_insula",121,185,0.355371900826446,0.140540540540541,0.0588636890005859,0.0295243502910181,0.203752512843422,2.07303239726153e-05,3.82937226741653e-05,0.000383510993493382,0.000708433869472058,0.000383510993493382,"L>R"
"IDD5_balanced","Ia/Id","L6","Ia/Id@L6","intra_insula",34,36,0.705882352941177,0.833333333333333,0.185080936538847,0.506698695249367,-0.464052287581699,0.259877298741133,0.000785313207319909,0.259877298741133,0.000785313207319909,0.000785313207319909,"R>L"
"all_combined","Ia/Id","L6","Ia/Id@L6","intra_insula",121,185,0.669421487603306,0.47027027027027,0.309758090256671,0.258425824915421,0.154121063211972,0.000663852014848639,0.0165667910133491,0.00154898803464683,0.028991884273361,0.00154898803464683,"L>R"
"all_combined","belt","L3","belt@L3","extra_insula",121,185,0.0743801652892562,0,0.011987549950504,0,0.0743801652892562,0.000196246060611341,0.00017243659707411,0.00181527606065491,0.00159503852293552,0.00159503852293552,"L>R"
