"stratum","target_region","mean_L","mean_R","n_L","n_R","LI","p_wilcox","p_BH","significant","abs_LI","direction","receipt_class","LI_dir"
"all_neurons","caudal_OFC@L3",0.0892019339731175,0.257190765912386,121,185,-0.484966418591186,5.63070483488774e-09,1.68921145046632e-07,TRUE,0.484966418591186,"R > L","bilateral_receiving","R>L"
"all_neurons","floor_of_ls@L3",0.24093399519389,0.163724301930997,121,185,0.190802195095093,0.000176771510889351,0.00176771510889351,TRUE,0.190802195095093,"L > R","bilateral_receiving","L>R"
"all_neurons","LPal@L3",0.0378132363801063,0.0199251785872352,121,185,0.30981201518727,5.30671125882343e-05,0.000796006688823514,TRUE,0.30981201518727,"L > R","bilateral_receiving","L>R"
"all_neurons","TG@L3",0.0146667288800859,0.00391030066979394,121,185,0.579017349960992,0.00238052809113731,0.0178539606835298,TRUE,0.579017349960992,"L > R","bilateral_receiving","L>R"
"all_neurons","belt@L3",0.00814270026889568,0,121,185,0.999998771907673,0.00017243659707411,0.00176771510889351,TRUE,0.999998771907673,"L > R","one_side_only_or_extreme","L>R"
"all_neurons","Ial@L6",0.0652383415771592,0.136629534274162,121,185,-0.353653045881621,1.82835534224028e-05,0.000365671068448056,TRUE,0.353653045881621,"R > L","bilateral_receiving","R>L"
"all_neurons","Iam/Iapm@L6",0.0161445827574079,0.00454785942337504,121,185,0.560432530311837,0.00117496545961226,0.0100711325109623,TRUE,0.560432530311837,"L > R","bilateral_receiving","L>R"
"all_neurons","Ig@L6",0.0961576333262687,0.0184310385933596,121,185,0.678309527876635,7.25077775598493e-11,4.35046665359096e-09,TRUE,0.678309527876635,"L > R","bilateral_receiving","L>R"
"region_IAL","Rh@L3",0.0196639637527745,0.00249910275395613,21,117,0.774480067945695,0.000413477121108619,0.00633998252366549,TRUE,0.774480067945695,"L > R","bilateral_receiving","L>R"
"region_IAL","TG@L3",0.039112310550302,0.002434556715844,21,117,0.882804105817706,5.40291530182202e-07,2.48534103883813e-05,TRUE,0.882804105817706,"L > R","bilateral_receiving","L>R"
"region_IAL","VPal@L3",0.0216463044751739,0.00165680193619282,21,117,0.857803831303467,0.000111611079753215,0.00256705483432396,TRUE,0.857803831303467,"L > R","bilateral_receiving","L>R"
"region_IAL","HF@L3",0.0148835899771393,0,21,117,0.99999932811954,0.00085012980119048,0.00977649271369052,TRUE,0.99999932811954,"L > R","one_side_only_or_extreme","L>R"
"region_IDD5","LPal@L3",0.0549967724710418,0.00934536245386215,34,36,0.709510229577535,0.000684146737903735,0.0104902499811906,TRUE,0.709510229577535,"L > R","bilateral_receiving","L>R"
"region_IDD5","Ia/Id@L6",0.132995139421541,0.302832781230045,34,36,-0.389689668476704,0.000121269659448288,0.00278920216731063,TRUE,0.389689668476704,"R > L","bilateral_receiving","R>L"
"region_IDD5","Ig@L6",0.276976239032936,0.0775433004006403,34,36,0.562544262935384,1.96770568283711e-07,9.05144614105069e-06,TRUE,0.562544262935384,"L > R","bilateral_receiving","L>R"
