"target","hierarchy","stratum","mean_L","mean_R","cliffs_delta","p_mag","p_pres","p_mag_BH","p_pres_BH","direction","sig_label"
"Ig","L6","IDD5_plus_IDM_balanced",0.223051884544064,0.0718863239616112,0.355482933914306,3.33124296489906e-05,2.7182299958901e-05,0.000166562148244953,0.000135911499794505,"L>R","***"
"LPal","L3","IDD5_plus_IDM_balanced",0.0573173191415037,0.0182553102417061,0.217501815541031,0.00130415675548412,0.00104633514020985,0.0032603918887103,0.00261583785052462,"L>R","**"
"VPal","L3","IDD5_plus_IDM_balanced",0.00191890583638031,0.00128035439145672,-0.00217864923747277,0.916250306304772,1,0.916250306304772,1,"L>R",""
"PAG","L3","IDD5_plus_IDM_balanced",0.00130967590550892,0.00313309345594649,-0.0170660856935367,0.466385974541348,0.592206917230886,0.582982468176684,0.740258646538608,"R>L",""
"caudal_OFC","L3","IDD5_plus_IDM_balanced",0.0212780109277258,0.00865926901012154,0.0798838053740015,0.0650102629648004,0.0666182326192362,0.108350438274667,0.111030387698727,"L>R",""
"Ig","L6","IDD5_balanced",0.449053665806974,0.112969244458067,0.718954248366013,1.33214455022568e-07,3.94122775301832e-10,5.32857820090271e-07,1.57649110120733e-09,"L>R","***"
"LPal","L3","IDD5_balanced",0.0840164402099659,0.0134322927517688,0.363562091503268,0.000684146737903735,0.000824595306407089,0.00136829347580747,0.00164919061281418,"L>R","**"
"VPal","L3","IDD5_balanced",0,0,0,NA,NA,NA,NA,"R>L",""
"PAG","L3","IDD5_balanced",0.00312011024547714,0,0.0294117647058824,0.317112900084624,0.485714285714286,0.317112900084624,0.485714285714286,"L>R",""
"caudal_OFC","L3","IDD5_balanced",0.0180860456270386,0,0.117647058823529,0.0367533836933189,0.050579401130991,0.0490045115910919,0.067439201507988,"L>R","*"
"Ig","L6","IDM_balanced",0.0595612342687675,0.0256680384030988,0.151595744680851,0.114810261590748,0.163109298889689,0.287025653976871,0.369223096771489,"L>R",""
"LPal","L3","IDM_balanced",0.0380030613472969,0.0236812049178857,0.111037234042553,0.199242296950225,0.221533858062894,0.332070494917041,0.369223096771489,"L>R",""
"VPal","L3","IDM_balanced",0.00330705048397457,0.00272075308184553,-0.00930851063829787,0.81145826304913,1,0.81145826304913,1,"L>R",""
"PAG","L3","IDM_balanced",0,0.00665782359388629,-0.0625,0.087912113956484,0.160986692632262,0.287025653976871,0.369223096771489,"R>L",""
"caudal_OFC","L3","IDM_balanced",0.023587092209074,0.0184009466465083,0.0412234042553191,0.536632076458953,0.694803185444128,0.670790095573692,0.86850398180516,"L>R",""
"Ig","L6","all_combined",0.150501315753574,0.0265765978286813,0.316595934777753,7.61435359208917e-11,1.16737741756503e-10,3.80717679604459e-10,5.83688708782516e-10,"L>R","***"
"LPal","L3","all_combined",0.0588636890005859,0.0295243502910181,0.203752512843422,3.82937226741653e-05,2.07303239726153e-05,6.38228711236088e-05,5.18258099315381e-05,"L>R","***"
"VPal","L3","all_combined",0.0124496432833584,0.00204355048652948,0.0617377708286799,0.0117255900510558,0.0217718452703262,0.0146569875638197,0.0272148065879078,"L>R","*"
"PAG","L3","all_combined",0.000876725192943991,0.00272043434607189,-0.0187178914451642,0.250159179228614,0.408551082650286,0.250159179228614,0.408551082650286,"R>L",""
"caudal_OFC","L3","all_combined",0.167532633869341,0.414034024292645,-0.353853026580299,3.45853835626485e-08,3.60188984892147e-05,8.64634589066212e-08,6.00314974820245e-05,"R>L","***"
