"dropped","stratum","target","n_L","n_R","cliffs_delta","p_mag","p_mag_BH","direction"
"__none__","IDD5_plus_IDM_balanced","Ig",81,68,0.355482933914306,3.33124296489906e-05,0.000266499437191925,"L>R"
"__none__","IDD5_plus_IDM_balanced","LPal",81,68,0.217501815541031,0.00130415675548412,0.00521662702193648,"L>R"
"__none__","IDD5_plus_IDM_balanced","VPal",81,68,-0.00217864923747277,0.916250306304772,0.916250306304772,"R>L"
"__none__","IDD5_plus_IDM_balanced","Pi",81,68,0.0442992011619463,0.235855289981411,0.314473719975215,"L>R"
"__none__","IDD5_plus_IDM_balanced","Ia/Id",81,68,-0.272331154684096,0.00368259130239666,0.00982024347305776,"R>L"
"__none__","IDD5_plus_IDM_balanced","caudal_OFC",81,68,0.0798838053740015,0.0650102629648004,0.130020525929601,"L>R"
"__none__","IDD5_plus_IDM_balanced","VPons",81,68,-0.0294117647058824,0.123771796386049,0.198034874217678,"R>L"
"__none__","IDD5_plus_IDM_balanced","VMid",81,68,-0.0170660856935367,0.466385974541348,0.533012542332969,"R>L"
"__none__","IDD5_balanced","Ig",34,36,0.718954248366013,1.33214455022568e-07,7.99286730135407e-07,"L>R"
"__none__","IDD5_balanced","LPal",34,36,0.363562091503268,0.000684146737903735,0.00157062641463982,"L>R"
"__none__","IDD5_balanced","VPal",34,36,0,NA,NA,"R>L"
"__none__","IDD5_balanced","Pi",34,36,0.0294117647058824,0.317112900084624,0.317112900084624,"L>R"
"__none__","IDD5_balanced","Ia/Id",34,36,-0.464052287581699,0.000785313207319909,0.00157062641463982,"R>L"
"__none__","IDD5_balanced","caudal_OFC",34,36,0.117647058823529,0.0367533836933189,0.0551300755399784,"L>R"
"__none__","IDD5_balanced","VPons",34,36,0,NA,NA,"R>L"
"__none__","IDD5_balanced","VMid",34,36,0.0294117647058824,0.317112900084624,0.317112900084624,"L>R"
"__none__","all_combined","Ig",121,185,0.316595934777753,7.61435359208917e-11,6.09148287367134e-10,"L>R"
"__none__","all_combined","LPal",121,185,0.203752512843422,3.82937226741653e-05,0.000102116593797774,"L>R"
"__none__","all_combined","VPal",121,185,0.0617377708286799,0.0117255900510558,0.0234511801021116,"L>R"
