"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude_overall","p_magnitude_conditional","direction","p_presence_BH","p_magnitude_overall_BH","p_magnitude_conditional_BH"
"all_combined","Str",121,185,4,0.272727272727273,0.183783783783784,0.0550700145907612,0.0482964169620719,0.166614471112893,0.24915783217761,0.0892782197962344,0.139551692382808,0.0199974320523801,"L>R",0.119037626394979,0.186068923177078,0.0399948641047601
"all_combined","LPal",121,185,4,0.355371900826446,0.140540540540541,0.0588636890005859,0.0295243502910181,0.173389203187694,0.182373462898643,2.07303239726153e-05,3.82937226742407e-05,0.126194478360308,"L>R",8.2921295890461e-05,0.000153174890696963,0.168259304480411
"all_combined","VPal",121,185,4,0.0826446280991736,0.0216216216216216,0.0124496432833584,0.00204355048652948,0.139789987573503,0.0799532786206675,0.0217718452703262,0.0117255900510559,0.288844366346485,"L>R",0.0435436905406524,0.0234511801021117,0.288844366346485
"all_combined","Pd",121,185,4,0.0578512396694215,0.0810810810810811,0.00387900514091783,0.0124235899187763,0.0614966873031389,0.163746953569271,0.503971986592324,0.37445004770697,0.00385094494646574,"R>L",0.503971986592324,0.37445004770697,0.015403779785863
"per_251637","Str",103,157,1,0.281553398058252,0.203821656050955,0.0601510098172973,0.0538536743285064,0.172175289931356,0.252011112077661,0.178180485446013,0.257271382908368,0.0634864896777383,"L>R",0.356360970892027,0.343028510544491,0.0981843601604036
"per_251637","LPal",103,157,1,0.330097087378641,0.146496815286624,0.0584141752933977,0.0310594886425379,0.174544783534624,0.186798067385531,0.000679472946466243,0.000949050110225265,0.294114223397301,"L>R",0.00271789178586497,0.00379620044090106,0.294114223397301
"per_251637","VPal",103,157,1,0.0485436893203883,0.0191082802547771,0.00736897338159362,0.00140247893598172,0.140524268972777,0.072842458622278,0.270881854523536,0.169049279828467,0.0736382701203027,"L>R",0.361175806031381,0.338098559656934,0.0981843601604036
"per_251637","Pd",103,157,1,0.0679611650485437,0.0955414012738854,0.00455688953447629,0.0146392620062014,0.0614966873031389,0.163746953569271,0.500619738427216,0.356395263240644,0.00385094494646574,"R>L",0.500619738427216,0.356395263240644,0.015403779785863
"IDD5_251637","Str",33,30,1,0.242424242424242,0.233333333333333,0.0531395548469328,0.0644065367717076,0.186014649568573,0.323958885238953,1,0.955915529492981,0.385418232368229,"R>L",1,0.955915529492981,0.578127348552344
"IDD5_251637","LPal",33,30,1,0.454545454545455,0.1,0.0865623929436013,0.0161187513021225,0.178417391737927,0.117100905145098,0.00219476029863357,0.00206216945257816,0.722282962716192,"L>R",0.00877904119453427,0.00618650835773448,0.722282962716192
