"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude_overall","p_magnitude_conditional","direction","p_presence_BH","p_magnitude_overall_BH","p_magnitude_conditional_BH"
"all_combined","VMed",121,185,4,0,0.0108108108108108,0,0.00118340253129133,NA,0.109464734144448,0.520304296582021,0.25392607121193,NA,"R>L",0.520304296582021,0.25392607121193,NA
"all_combined","DMed",121,185,4,0.00826446280991736,0,0.000399671124712414,0,0.0483602060902021,NA,0.395424836601307,0.218766933063359,NA,"L>R",0.520304296582021,0.25392607121193,NA
"per_251637","VMed",103,157,1,0,0.0127388535031847,0,0.00139445521203118,NA,0.109464734144448,0.51972081972082,0.253409083517463,NA,"R>L",0.51972081972082,0.253409083517463,NA
"per_251637","DMed",103,157,1,0.00970873786407767,0,0.000469516563982545,0,0.0483602060902021,NA,0.396153846153846,0.219916469785304,NA,"L>R",0.51972081972082,0.253409083517463,NA
"IDD5_251637","VMed",33,30,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_251637","DMed",33,30,1,0.0303030303030303,0,0.00146546079061219,0,0.0483602060902021,NA,1,0.356695253362759,NA,"L>R",1,0.356695253362759,NA
"IDM_251637","VMed",44,32,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDM_251637","DMed",44,32,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_plus_IDM","VMed",77,62,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_plus_IDM","DMed",77,62,1,0.012987012987013,0,0.000628054624548079,0,0.0483602060902021,NA,1,0.377315447097074,NA,"L>R",1,0.377315447097074,NA
"IAL_combined","VMed",21,117,3,0,0.0170940170940171,0,0.00187119203665723,NA,0.109464734144448,1,0.557196953821339,NA,"R>L",1,0.557196953821339,NA
"IAL_combined","DMed",21,117,3,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_251637","VMed",7,95,1,0,0.0210526315789474,0,0.00230452071883048,NA,0.109464734144448,1,0.72017429811697,NA,"R>L",1,0.72017429811697,NA
"IAL_251637","DMed",7,95,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_252385","VMed",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_252385","DMed",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
