"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude_overall","p_magnitude_conditional","direction","p_presence_BH","p_magnitude_overall_BH","p_magnitude_conditional_BH"
"all_combined","VMid",121,185,4,0.00826446280991736,0.027027027027027,0.000876725192943991,0.00272043434607189,0.106083748346223,0.103744366758777,0.408551082650286,0.250159179228614,NA,"R>L",0.68091847108381,0.250159179228614,NA
"all_combined","DMid",121,185,4,0.00826446280991736,0,0.00103989164076642,0,0.125826888532737,NA,0.395424836601307,0.218766933063359,NA,"L>R",0.68091847108381,0.250159179228614,NA
"all_combined","MMid",121,185,4,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"all_combined","LMid",121,185,4,0.0247933884297521,0,0.00310067290398491,0,0.111536126290225,NA,0.0609002013229796,0.0319664129730505,NA,"L>R",0.304501006614898,0.0958992389191515,NA
"all_combined","IMed",121,185,4,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"per_251637","VMid",103,157,1,0.00970873786407767,0.0318471337579618,0.00102993930433226,0.00320560735046687,0.106083748346223,0.103744366758777,0.407518008271758,0.248505843393632,NA,"R>L",0.67919668045293,0.248505843393632,NA
"per_251637","DMid",103,157,1,0.00970873786407767,0,0.00122162027701686,0,0.125826888532737,NA,0.396153846153846,0.219916469785304,NA,"L>R",0.67919668045293,0.248505843393632,NA
"per_251637","MMid",103,157,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"per_251637","LMid",103,157,1,0.029126213592233,0,0.0036425380716716,0,0.111536126290225,NA,0.0610753482846506,0.0321839655534795,NA,"L>R",0.305376741423253,0.0965518966604385,NA
"per_251637","IMed",103,157,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_251637","VMid",33,30,1,0.0303030303030303,0,0.00321465904079463,0,0.106083748346223,NA,1,0.356695253362759,NA,"L>R",1,0.356695253362759,NA
"IDD5_251637","DMid",33,30,1,0.0303030303030303,0,0.00381293601614354,0,0.125826888532737,NA,1,0.356695253362759,NA,"L>R",1,0.356695253362759,NA
"IDD5_251637","MMid",33,30,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_251637","LMid",33,30,1,0.0303030303030303,0,0.00302577235748508,0,0.0998504877970076,NA,1,0.356695253362759,NA,"L>R",1,0.356695253362759,NA
"IDD5_251637","IMed",33,30,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDM_251637","VMid",44,32,1,0,0.0625,0,0.00665782359388629,NA,0.106525177502181,0.174035087719298,0.0988690143118424,NA,"R>L",0.870175438596492,0.197738028623685,NA
"IDM_251637","DMid",44,32,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDM_251637","MMid",44,32,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDM_251637","LMid",44,32,1,0.0227272727272727,0,0.00253491196114147,0,0.111536126290225,NA,1,0.408717432922922,NA,"L>R",1,0.408717432922922,NA
"IDM_251637","IMed",44,32,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_plus_IDM","VMid",77,62,1,0.012987012987013,0.032258064516129,0.00137771101748341,0.00343629604845744,0.106083748346223,0.106525177502181,0.585806949489599,0.443728514853124,NA,"R>L",1,0.443728514853124,NA
"IDD5_plus_IDM","DMid",77,62,1,0.012987012987013,0,0.00163411543549009,0,0.125826888532737,NA,1,0.377315447097074,NA,"L>R",1,0.443728514853124,NA
"IDD5_plus_IDM","MMid",77,62,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_plus_IDM","LMid",77,62,1,0.025974025974026,0,0.00274528070243159,0,0.105693307043616,NA,0.502241684912939,0.206470657364409,NA,"L>R",1,0.443728514853124,NA
"IDD5_plus_IDM","IMed",77,62,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_combined","VMid",21,117,3,0,0.0256410256410256,0,0.00248059828221314,NA,0.103744366758777,1,0.466962997199709,NA,"R>L",1,0.466962997199709,NA
"IAL_combined","DMid",21,117,3,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_combined","MMid",21,117,3,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_combined","LMid",21,117,3,0.0476190476190476,0,0.00779975272833057,0,0.163794807294942,NA,0.152173913043478,0.0192727382509546,NA,"L>R",0.760869565217391,0.0385454765019093,NA
