"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude_overall","p_magnitude_conditional","direction","p_presence_BH","p_magnitude_overall_BH","p_magnitude_conditional_BH"
"all_combined","VPons",121,185,4,0,0.0216216216216216,0,0.0034660634496814,NA,0.137015613630558,0.155595577829112,0.104785407621718,NA,"R>L",0.466786733487336,0.314356222865155,NA
"all_combined","DPons",121,185,4,0.00826446280991736,0.00540540540540541,0.000563370941473515,0.000330864422776665,0.0681678839182953,0.061209918213683,1,0.761914003719014,NA,"L>R",1,0.761914003719014,NA
"all_combined","LPons",121,185,4,0,0.00540540540540541,0,0.000142250148741126,NA,0.0263162775171084,1,0.422522696965596,NA,"R>L",1,0.633784045448393,NA
"per_251637","VPons",103,157,1,0,0.0254777070063694,0,0.00408421489293668,NA,0.137015613630558,0.154698212249565,0.104079969839295,NA,"R>L",0.464094636748695,0.312239909517885,NA
"per_251637","DPons",103,157,1,0.00970873786407767,0.00636942675159236,0.000661824115711605,0.000389872090533013,0.0681678839182953,0.061209918213683,1,0.763530411272957,NA,"L>R",1,0.763530411272957,NA
"per_251637","LPons",103,157,1,0,0.00636942675159236,0,0.000167619602019798,NA,0.0263162775171084,1,0.422491678525965,NA,"R>L",1,0.633737517788948,NA
"IDD5_251637","VPons",33,30,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_251637","DPons",33,30,1,0.0303030303030303,0,0.00206569345206956,0,0.0681678839182953,NA,1,0.356695253362759,NA,"L>R",1,0.356695253362759,NA
"IDD5_251637","LPons",33,30,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDM_251637","VPons",44,32,1,0,0.0625,0,0.01244792702341,NA,0.199166832374559,0.174035087719298,0.0988690143118424,NA,"R>L",0.522105263157895,0.0988690143118424,NA
"IDM_251637","DPons",44,32,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDM_251637","LPons",44,32,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_plus_IDM","VPons",77,62,1,0,0.032258064516129,0,0.0064247365282116,NA,0.199166832374559,0.197164007924096,0.116076047206203,NA,"R>L",0.591492023772287,0.232152094412407,NA
"IDD5_plus_IDM","DPons",77,62,1,0.012987012987013,0,0.000885297193744095,0,0.0681678839182953,NA,1,0.377315447097074,NA,"L>R",1,0.377315447097074,NA
"IDD5_plus_IDM","LPons",77,62,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_combined","VPons",21,117,3,0,0.0170940170940171,0,0.0020759664396747,NA,0.12144403672097,1,0.557196953821339,NA,"R>L",1,0.686591451331442,NA
"IAL_combined","DPons",21,117,3,0,0.00854700854700855,0,0.000523161694134043,NA,0.061209918213683,1,0.686591451331442,NA,"R>L",1,0.686591451331442,NA
"IAL_combined","LPons",21,117,3,0,0.00854700854700855,0,0.000224925448864174,NA,0.0263162775171084,1,0.686591451331442,NA,"R>L",1,0.686591451331442,NA
"IAL_251637","VPons",7,95,1,0,0.0210526315789474,0,0.00255671656254674,NA,0.12144403672097,1,0.72017429811697,NA,"R>L",1,0.816017650690092,NA
"IAL_251637","DPons",7,95,1,0,0.0105263157894737,0,0.000644314928565084,NA,0.061209918213683,1,0.816017650690092,NA,"R>L",1,0.816017650690092,NA
"IAL_251637","LPons",7,95,1,0,0.0105263157894737,0,0.000277013447548509,NA,0.0263162775171084,1,0.816017650690092,NA,"R>L",1,0.816017650690092,NA
"IAL_252385","VPons",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_252385","DPons",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_252385","LPons",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
