"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude_overall","p_magnitude_conditional","direction","p_presence_BH","p_magnitude_overall_BH","p_magnitude_conditional_BH"
"all_combined","spAmy",121,185,4,0.0826446280991736,0.0378378378378378,0.00808252098385484,0.00379578606753678,0.101815077463571,0.0976658965984227,0.125061721066333,0.0953660036027915,1,"L>R",0.26768821799814,0.218766933063359,1
"all_combined","pAmy",121,185,4,0.0909090909090909,0.0486486486486487,0.00839512845007093,0.00954171027206432,0.0915199114669497,0.163893373752018,0.160612930798884,0.180688369431406,0.00388932660210315,"R>L",0.26768821799814,0.218766933063359,0.0116679798063095
"all_combined","THy",121,185,4,0,0.0162162162162162,0,0.00243728289100082,NA,0.148365679264556,0.280456444873031,0.16106590762236,NA,"R>L",0.350570556091289,0.218766933063359,NA
"all_combined","PHy",121,185,4,0.00826446280991736,0,0.00125448175039407,0,0.151792291797682,NA,0.395424836601307,0.218766933063359,NA,"L>R",0.395424836601307,0.218766933063359,NA
"all_combined","ZI-H",121,185,4,0.0413223140495868,0.0108108108108108,0.0107073960651166,0.000652035506358403,0.223040935672515,0.0603132843381523,0.117582521434117,0.0774885363927481,0.0813611292340755,"L>R",0.26768821799814,0.218766933063359,0.122041693851113
"per_251637","spAmy",103,157,1,0.0970873786407767,0.0445859872611465,0.00949500037909161,0.00447274154454971,0.101815077463571,0.0976658965984227,0.123541069484077,0.0952212446365605,1,"L>R",0.308852673710193,0.238053111591401,1
"per_251637","pAmy",103,157,1,0.087378640776699,0.0573248407643312,0.00691815957237339,0.0112434165626236,0.0838604153435241,0.163893373752018,0.454510950078688,0.42767845198433,0.0019976900972723,"R>L",0.454510950078688,0.42767845198433,0.00599307029181691
"per_251637","THy",103,157,1,0,0.0191082802547771,0,0.00287195754672071,NA,0.148365679264556,0.27958122958123,0.160387014725107,NA,"R>L",0.454510950078688,0.267311691208512,NA
"per_251637","PHy",103,157,1,0.00970873786407767,0,0.00147371157085128,0,0.151792291797682,NA,0.396153846153846,0.219916469785304,NA,"L>R",0.454510950078688,0.27489558723163,NA
"per_251637","ZI-H",103,157,1,0.0485436893203883,0.0127388535031847,0.0125785914939719,0.000768322093479647,0.223040935672515,0.0603132843381523,0.117339633868339,0.0770510922732792,0.0813611292340755,"L>R",0.308852673710193,0.238053111591401,0.122041693851113
