"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude_overall","p_magnitude_conditional","direction","p_presence_BH","p_magnitude_overall_BH","p_magnitude_conditional_BH"
"all_combined","VThal",121,185,4,0.0330578512396694,0.00540540540540541,0.00628422064200868,0.00127504134729995,0.15204512315439,0.235882649250491,0.0818311930787957,0.0638276059694511,NA,"L>R",0.19093945051719,0.127655211938902,NA
"all_combined","MThal",121,185,4,0.0413223140495868,0.0108108108108108,0.00542454206508119,0.00323137453446637,0.127018822100789,0.298902144438139,0.117582521434117,0.0864510134227975,0.0813611292340755,"L>R",0.205769412509705,0.129676520134196,0.0813611292340755
"all_combined","MLThal",121,185,4,0.00826446280991736,0.0108108108108108,0.00404059528855401,0.00354815625614604,0.488912029915036,0.328204453693508,1,0.83439914642817,NA,"L>R",1,0.83439914642817,NA
"all_combined","PThal",121,185,4,0.0413223140495868,0.00540540540540541,0.0122342910321961,0.00188176298050092,0.274956367837565,0.34812615139267,0.0374249303269607,0.0277441089600169,NA,"L>R",0.19093945051719,0.0958992389191515,NA
"all_combined","GThal",121,185,4,0.0247933884297521,0,0.0025885523843209,0,0.109352989985142,NA,0.0609002013229796,0.0319664129730505,NA,"L>R",0.19093945051719,0.0958992389191515,NA
"all_combined","Rh",121,185,4,0.0743801652892562,0.0432432432432432,0.00902787250943039,0.00960944195350697,0.108634291090685,0.204701757452281,0.308551475857311,0.276361491710247,0.0485396228973206,"R>L",0.431972066200235,0.331633790052297,0.0813611292340755
"all_combined","Rt",121,185,4,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"per_251637","VThal",103,157,1,0.0388349514563107,0.00636942675159236,0.00738243395808786,0.00150243725637255,0.15204512315439,0.235882649250491,0.0820625727803245,0.0643142092949043,NA,"L>R",0.191479336487424,0.128628418589809,NA
"per_251637","MThal",103,157,1,0.0485436893203883,0.0127388535031847,0.00637252029004684,0.00380767062978521,0.127018822100789,0.298902144438139,0.117339633868339,0.0876510686499096,0.0813611292340755,"L>R",0.205344359269594,0.131476602974864,0.0813611292340755
"per_251637","MLThal",103,157,1,0.00970873786407767,0.0127388535031847,0.00474671873703918,0.00418094845469437,0.488912029915036,0.328204453693508,1,0.833937629384575,NA,"L>R",1,0.926093590416453,NA
