"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude","direction","p_presence_BH","p_magnitude_BH"
"all_combined","Ce",121,185,4,0.0495867768595041,0.0108108108108108,0.00313583106686764,0.000688425352763918,0.0642604417876383,0.0636793451306625,0.0616513214638759,0.0382220367553771,"L>R",0.541332440419851,0.319071331260878
"all_combined","BM",121,185,4,0.00826446280991736,0.0216216216216216,0.000375977884413389,0.00154654835704564,0.0454933240140201,0.0705254500189689,0.651612281561127,0.366726986934351,"R>L",1,0.563363595954127
"all_combined","BLD",121,185,4,0.0661157024793388,0.0162162162162162,0.00310597543520219,0.000889230577978496,0.0480208232913063,0.0558857931199952,0.0285144164148473,0.0232133798075621,"L>R",0.541332440419851,0.319071331260878
"all_combined","BLI",121,185,4,0.0330578512396694,0.0216216216216216,0.000821824662906565,0.00236254495541687,0.0231927747968125,0.0802849491366699,0.716737652997996,0.567794590089022,"R>L",1,0.709743237611278
"all_combined","BLV",121,185,4,0.00826446280991736,0.0108108108108108,0.000589451093525646,0.001133474717737,0.0713235823166031,0.104846411390673,1,0.822330122928136,"R>L",1,0.871957441584665
"all_combined","AA",121,185,4,0.0413223140495868,0.0162162162162162,0.00143516985677767,0.00086595272903237,0.0333771483491633,0.0514648926116043,0.271670287827128,0.188606401148114,"L>R",0.776200822363222,0.538875431851754
"all_combined","Pir",121,185,4,0.0413223140495868,0.0108108108108108,0.00529212207072994,0.00078264890873196,0.142448833767162,0.0723950240577063,0.117582521434117,0.0800940820627403,"L>R",0.541332440419851,0.319071331260878
"all_combined","Me",121,185,4,0.0247933884297521,0.0108108108108108,0.000723809130257822,0.000585379425041905,0.0341701353132743,0.0541475968163762,0.387418261744982,0.354086956415141,"L>R",0.878721859114016,0.563363595954127
"all_combined","STIA",121,185,4,0.0413223140495868,0.0108108108108108,0.00205643842638688,0.000435977605831746,0.0489278112880566,0.0403279285394365,0.117582521434117,0.0809782552735649,"L>R",0.541332440419851,0.319071331260878
"all_combined","PaL",121,185,4,0.00826446280991736,0,0.000413892810398442,0,0.0500810300582114,NA,0.395424836601307,0.218766933063359,"L>R",0.878721859114016,0.541262215362148
"all_combined","ASt",121,185,4,0.0578512396694215,0.0540540540540541,0.00365681508405672,0.00492813551002432,0.0659142406116773,0.0718240552935873,1,0.909887518026651,"R>L",1,0.909887518026651
"all_combined","AON/TTv",121,185,4,0.0495867768595041,0.0162162162162162,0.0046389286923735,0.00149115154697395,0.0650750476834557,0.091421271577844,0.162399732125955,0.0957213993782634,"L>R",0.541332440419851,0.319071331260878
"all_combined","EA",121,185,4,0,0.00540540540540541,0,0.00058526568758951,NA,0.108274152204059,1,0.422522696965596,"R>L",1,0.563363595954127
"all_combined","APir",121,185,4,0.0165289256198347,0,0.000550723786558446,0,0.033318789086786,NA,0.155576984892318,0.0806717369881428,"L>R",0.541332440419851,0.319071331260878
"all_combined","LaD",121,185,4,0.0165289256198347,0.0378378378378378,0.000759913919141535,0.00389006585722009,0.0459747921080628,0.111606707065246,0.49098326570613,0.270631107681074,"R>L",0.940811325968409,0.541262215362148
"all_combined","LaV",121,185,4,0.00826446280991736,0.0108108108108108,0.000754443396287741,0.000839144360597204,0.0912876509508166,0.0776208533552414,1,0.828359569505432,"R>L",1,0.871957441584665
"all_combined","PR-RI",121,185,4,0,0.00540540540540541,0,0.000123766004896992,NA,0.0228967109059434,1,0.422522696965596,"R>L",1,0.563363595954127
"all_combined","EGP",121,185,4,0.00826446280991736,0.00540540540540541,0.000437828777552978,0.000215218225840092,0.0529772820839103,0.0398153717804169,1,0.761914003719014,"L>R",1,0.871957441584665
"all_combined","IGP",121,185,4,0,0.0108108108108108,0,0.000921228379969,NA,0.0852136251471325,0.520304296582021,0.25392607121193,"R>L",0.940811325968409,0.541262215362148
"all_combined","B",121,185,4,0.0165289256198347,0.00540540540540541,0.000636497910638282,0.000249726341006678,0.0385081235936161,0.0461993730862354,0.564486795581045,0.33698442415771,"L>R",0.940811325968409,0.563363595954127
"per_251637","Ce",103,157,1,0.058252427184466,0.0127388535031847,0.00368384037952412,0.000811201848798248,0.0642604417876383,0.0636793451306625,0.0613399384965622,0.0383259026868122,"L>R",0.868304542723148,0.520371566442922
"per_251637","BM",103,157,1,0.00970873786407767,0.0254777070063694,0.000441682757417671,0.00182236589842958,0.0454933240140201,0.0705254500189689,0.651078734663506,0.364260096510045,"R>L",0.930112478090724,0.520371566442922
"per_251637","BLD",103,157,1,0.058252427184466,0.0191082802547771,0.00225828850356697,0.00104781947086638,0.0480208232913063,0.0558857931199952,0.161464702716474,0.0966753727227008,"L>R",0.868304542723148,0.520371566442922
"per_251637","BLI",103,157,1,0.0388349514563107,0.0254777070063694,0.000965444506909654,0.00278389055256128,0.0231927747968125,0.0802849491366699,0.716237780132781,0.574923618067142,"R>L",0.954983706843708,0.676380727137814
"per_251637","BLV",103,157,1,0.00970873786407767,0.0127388535031847,0.000692461964238865,0.00133562307504042,0.0713235823166031,0.104846411390673,1,0.819735704045175,"R>L",1,0.862879688468605
"per_251637","AA",103,157,1,0.0485436893203883,0.0191082802547771,0.00168597623951552,0.00102039015841394,0.0333771483491633,0.0514648926116043,0.270881854523536,0.190999145860592,"L>R",0.868304542723148,0.520371566442922
"per_251637","Pir",103,157,1,0.0194174757281553,0.00636942675159236,0.00236343483330461,0.000323151354826632,0.121716893915187,0.0507347627077813,0.564397952770046,0.333928066938714,"L>R",0.868304542723148,0.520371566442922
"per_251637","Me",103,157,1,0.029126213592233,0.0127388535031847,0.000850300046225208,0.000689778303393328,0.0341701353132743,0.0541475968163762,0.387677387301644,0.356813624915217,"L>R",0.868304542723148,0.520371566442922
"per_251637","STIA",103,157,1,0.0485436893203883,0.0127388535031847,0.0024158160154642,0.000513731573750783,0.0489278112880566,0.0403279285394365,0.117339633868339,0.0811584845158867,"L>R",0.868304542723148,0.520371566442922
"per_251637","PaL",103,157,1,0.00970873786407767,0,0.000486223592798169,0,0.0500810300582114,NA,0.396153846153846,0.219916469785304,"L>R",0.868304542723148,0.520371566442922
"per_251637","ASt",103,157,1,0.0679611650485437,0.0636942675159236,0.00429587014728993,0.00580703865830891,0.0659142406116773,0.0718240552935873,1,0.918508859134908,"R>L",1,0.918508859134908
"per_251637","AON/TTv",103,157,1,0.0485436893203883,0.0191082802547771,0.00478816920594208,0.00175708940248522,0.0620211518017523,0.091421271577844,0.270881854523536,0.187201960183742,"L>R",0.868304542723148,0.520371566442922
"per_251637","EA",103,157,1,0,0.00636942675159236,0,0.000689644281554518,NA,0.108274152204059,1,0.422491678525965,"R>L",1,0.528114598157457
"per_251637","APir",103,157,1,0.00970873786407767,0,0.000463113266615834,0,0.0477006664614309,NA,0.396153846153846,0.219916469785304,"L>R",0.868304542723148,0.520371566442922
"per_251637","LaD",103,157,1,0.0194174757281553,0.0445859872611465,0.000892714409865298,0.00458383556424023,0.0459747921080628,0.111606707065246,0.489903628572023,0.265801182067382,"R>L",0.868304542723148,0.520371566442922
"per_251637","LaV",103,157,1,0,0.0127388535031847,0,0.000988800679684604,NA,0.0776208533552414,0.51972081972082,0.253409083517463,"R>L",0.868304542723148,0.520371566442922
"per_251637","PR-RI",103,157,1,0,0.00636942675159236,0,0.000145838922967793,NA,0.0228967109059434,1,0.422491678525965,"R>L",1,0.528114598157457
"per_251637","EGP",103,157,1,0.00970873786407767,0.00636942675159236,0.000514342544503984,0.000253601094142783,0.0529772820839103,0.0398153717804169,1,0.763530411272957,"L>R",1,0.848367123636619
"per_251637","IGP",103,157,1,0,0.0127388535031847,0,0.00108552388722462,NA,0.0852136251471325,0.51972081972082,0.253409083517463,"R>L",0.868304542723148,0.520371566442922
"per_251637","B",103,157,1,0.0194174757281553,0.00636942675159236,0.000747730555215846,0.000294263522842264,0.0385081235936161,0.0461993730862354,0.564397952770046,0.338508367122237,"L>R",0.868304542723148,0.520371566442922
"IDD5_251637","Ce",33,30,1,0.0606060606060606,0,0.00443974087336016,0,0.0732557244104427,NA,0.493087557603687,0.181360888457684,"L>R",1,0.475593671150346
"IDD5_251637","BM",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","BLD",33,30,1,0.0303030303030303,0,2.01393079267041e-05,0,0.000664597161581237,NA,1,0.356695253362759,"L>R",1,0.475593671150346
"IDD5_251637","BLI",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","BLV",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","AA",33,30,1,0.0303030303030303,0,0.00133939893657363,0,0.0442001649069297,NA,1,0.356695253362759,"L>R",1,0.475593671150346
"IDD5_251637","Pir",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","Me",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","STIA",33,30,1,0.0606060606060606,0,0.00329649370624936,0,0.0543921461531145,NA,0.493087557603687,0.181360888457684,"L>R",1,0.475593671150346
"IDD5_251637","PaL",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
