"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude","direction","p_presence_BH","p_magnitude_BH"
"all_combined","Gi",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","LRt",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","ml",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","RM",121,185,4,0.0330578512396694,0,0.0050088812481353,0,0.134460764946887,NA,0.0237169100861769,0.0130712629693993,"L>R",0.260886010947946,0.104570103755195
"all_combined","py",121,185,4,0,0.00540540540540541,0,0.000388906675925947,NA,0.0719477350463001,1,0.422522696965596,"R>L",1,0.482883082246395
"all_combined","scp",121,185,4,0.00826446280991736,0,0.000371803435715816,0,0.0449882157216138,NA,0.395424836601307,0.218766933063359,"L>R",1,0.437533866126719
"all_combined","ic",121,185,4,0.00826446280991736,0.0432432432432432,0.00217302980002551,0.004156259810125,0.262936605803087,0.0949938949792061,0.0930827351270117,0.0805981003185588,"R>L",0.511955043198564,0.322392401274235
"all_combined","cp",121,185,4,0.00826446280991736,0.0108108108108108,0.000516683454255634,0.000346468808248954,0.0625186979649317,0.0320483647630282,1,0.83439914642817,"L>R",1,0.83439914642817
"all_combined","mcp",121,185,4,0,0.00540540540540541,0,0.00034553522031826,NA,0.0639240157588781,1,0.422522696965596,"R>L",1,0.482883082246395
"all_combined","Pn",121,185,4,0,0.0162162162162162,0,0.0027280346791391,NA,0.125058544783315,0.280456444873031,0.16106590762236,"R>L",1,0.42950908699296
"all_combined","PR-RI",121,185,4,0,0.00540540540540541,0,0.000123766004896992,NA,0.0228967109059434,1,0.422522696965596,"R>L",1,0.482883082246395
"per_251637","Gi",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","LRt",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","ml",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","RM",103,157,1,0.029126213592233,0,0.00538043912472399,0,0.182874255438181,NA,0.0610753482846506,0.0321839655534795,"L>R",0.505533264629403,0.257471724427836
"per_251637","py",103,157,1,0,0.00636942675159236,0,0.000458265828320383,NA,0.0719477350463001,1,0.422491678525965,"R>L",1,0.482847632601103
"per_251637","scp",103,157,1,0.00970873786407767,0,0.000436778793413726,0,0.0449882157216138,NA,0.396153846153846,0.219916469785304,"L>R",1,0.439832939570608
"per_251637","ic",103,157,1,0.00970873786407767,0.0509554140127389,0.0025527825806125,0.00489750359791799,0.262936605803087,0.0949938949792061,0.0919151390235278,0.079824866568173,"R>L",0.505533264629403,0.319299466272692
"per_251637","cp",103,157,1,0.00970873786407767,0.0127388535031847,0.000606977650144968,0.000408259423732843,0.0625186979649317,0.0320483647630282,1,0.833937629384575,"L>R",1,0.833937629384575
"per_251637","mcp",103,157,1,0,0.00636942675159236,0,0.00040715933604381,NA,0.0639240157588781,1,0.422491678525965,"R>L",1,0.482847632601103
"per_251637","Pn",103,157,1,0,0.0191082802547771,0,0.00321456315694734,NA,0.125058544783315,0.27958122958123,0.160387014725107,"R>L",1,0.427698705933619
"per_251637","PR-RI",103,157,1,0,0.00636942675159236,0,0.000145838922967793,NA,0.0228967109059434,1,0.422491678525965,"R>L",1,0.482847632601103
"IDD5_251637","Gi",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","LRt",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","ml",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","RM",33,30,1,0.0303030303030303,0,0.00260749316532103,0,0.086047274455594,NA,1,0.356695253362759,"L>R",1,0.356695253362759
"IDD5_251637","py",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","scp",33,30,1,0.0303030303030303,0,0.00136327926429133,0,0.0449882157216138,NA,1,0.356695253362759,"L>R",1,0.356695253362759
"IDD5_251637","ic",33,30,1,0,0.0666666666666667,0,0.00471159400241463,NA,0.0706739100362194,0.22273425499232,0.140886009451968,"R>L",1,0.356695253362759
"IDD5_251637","cp",33,30,1,0.0303030303030303,0,0.00189450599893733,0,0.0625186979649317,NA,1,0.356695253362759,"L>R",1,0.356695253362759
"IDD5_251637","mcp",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","Pn",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","PR-RI",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","Gi",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","LRt",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","ml",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","RM",44,32,1,0.0227272727272727,0,0.00648326590801808,0,0.285263699952796,NA,1,0.408717432922922,"L>R",1,0.408717432922922
"IDM_251637","py",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","scp",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","ic",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","cp",44,32,1,0,0.03125,0,0.000891131235029626,NA,0.028516199520948,0.421052631578947,0.251814247797157,"R>L",1,0.377721371695735
"IDM_251637","mcp",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","Pn",44,32,1,0,0.0625,0,0.0118633709642943,NA,0.189813935428709,0.174035087719298,0.0988690143118424,"R>L",1,0.296607042935527
"IDM_251637","PR-RI",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","Gi",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","LRt",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","ml",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","RM",77,62,1,0.025974025974026,0,0.0048222204468622,0,0.185655487204195,NA,0.502241684912939,0.206470657364409,"L>R",1,0.344117762274015
"IDD5_plus_IDM","py",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","scp",77,62,1,0.012987012987013,0,0.00058426254183914,0,0.0449882157216138,NA,1,0.377315447097074,"L>R",1,0.471644308871343
"IDD5_plus_IDM","ic",77,62,1,0,0.032258064516129,0,0.00227980354955546,NA,0.0706739100362194,0.197164007924096,0.116076047206203,"R>L",1,0.290190118015508
"IDD5_plus_IDM","cp",77,62,1,0.012987012987013,0.0161290322580645,0.000811931142401711,0.000459938701950774,0.0625186979649317,0.028516199520948,1,0.893780037722349,"L>R",1,0.893780037722349
"IDD5_plus_IDM","mcp",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","Pn",77,62,1,0,0.032258064516129,0,0.00612303017511964,NA,0.189813935428709,0.197164007924096,0.116076047206203,"R>L",1,0.290190118015508
"IDD5_plus_IDM","PR-RI",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_combined","Gi",21,117,3,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_combined","LRt",21,117,3,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_combined","ml",21,117,3,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_combined","RM",21,117,3,0.0476190476190476,0,0.00247092386560959,0,0.0518894011778013,NA,0.152173913043478,0.0192727382509546,"L>R",1,0.134909167756682
"IAL_combined","py",21,117,3,0,0.00854700854700855,0,0.000614937906378634,NA,0.0719477350463001,1,0.686591451331442,"R>L",1,0.801023359886683
"IAL_combined","scp",21,117,3,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_combined","ic",21,117,3,0.0476190476190476,0.0512820512820513,0.012520790752528,0.00536376277607424,0.262936605803087,0.0949938949792061,1,0.987562491131728,"L>R",1,0.987562491131728
"IAL_combined","cp",21,117,3,0,0.00854700854700855,0,0.000304107094060756,NA,0.0355805300051084,1,0.686591451331442,"R>L",1,0.801023359886683
"IAL_combined","mcp",21,117,3,0,0.00854700854700855,0,0.000546359109050241,NA,0.0639240157588781,1,0.686591451331442,"R>L",1,0.801023359886683
"IAL_combined","Pn",21,117,3,0,0.00854700854700855,0,0.00106887645113945,NA,0.125058544783315,1,0.686591451331442,"R>L",1,0.801023359886683
"IAL_combined","PR-RI",21,117,3,0,0.00854700854700855,0,0.000195698383811482,NA,0.0228967109059434,1,0.686591451331442,"R>L",1,0.801023359886683
"IAL_251637","Gi",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","LRt",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","ml",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","RM",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","py",7,95,1,0,0.0105263157894737,0,0.000757344579434738,NA,0.0719477350463001,1,0.816017650690092,"R>L",1,0.816017650690092
"IAL_251637","scp",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","ic",7,95,1,0.142857142857143,0.0631578947368421,0.0375623722575839,0.00660589731369144,0.262936605803087,0.0949938949792061,0.40162924423994,0.38113456029152,"L>R",1,0.816017650690092
"IAL_251637","cp",7,95,1,0,0.0105263157894737,0,0.000374531894790615,NA,0.0355805300051084,1,0.816017650690092,"R>L",1,0.816017650690092
"IAL_251637","mcp",7,95,1,0,0.0105263157894737,0,0.000672884376409244,NA,0.0639240157588781,1,0.816017650690092,"R>L",1,0.816017650690092
"IAL_251637","Pn",7,95,1,0,0.0105263157894737,0,0.00131640573456122,NA,0.125058544783315,1,0.816017650690092,"R>L",1,0.816017650690092
"IAL_251637","PR-RI",7,95,1,0,0.0105263157894737,0,0.000241018009536247,NA,0.0228967109059434,1,0.816017650690092,"R>L",1,0.816017650690092
"IAL_252385","Gi",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","LRt",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","ml",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","RM",11,20,1,0.0909090909090909,0,0.00471721828889103,0,0.0518894011778013,NA,0.354838709677419,0.200200782871217,"L>R",1,0.200200782871217
"IAL_252385","py",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","scp",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","ic",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","cp",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","mcp",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","Pn",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","PR-RI",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
