"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude","direction","p_presence_BH","p_magnitude_BH"
"all_combined","PAG",121,185,4,0.00826446280991736,0,0.000636386612133486,0,0.0770027800681518,NA,0.395424836601307,0.218766933063359,"L>R",1,0.455024442886026
"all_combined","SCo",121,185,4,0.00826446280991736,0,0.000315147961244158,0,0.0381329033105431,NA,0.395424836601307,0.218766933063359,"L>R",1,0.455024442886026
"all_combined","ICo",121,185,4,0.00826446280991736,0,0.000574635461671561,0,0.0695308908622589,NA,0.395424836601307,0.218766933063359,"L>R",1,0.455024442886026
"all_combined","VTA",121,185,4,0,0.00540540540540541,0,0.000181755811133099,NA,0.0336248250596233,1,0.422522696965596,"R>L",1,0.455024442886026
"all_combined","SN",121,185,4,0.00826446280991736,0.0162162162162162,0.000492953886182619,0.00187646742296969,0.0596474202280969,0.104037996777658,1,0.545509090966863,"R>L",1,0.545509090966863
"all_combined","SubC",121,185,4,0,0.00540540540540541,0,8.68258162856246e-05,NA,0.0160627760128405,1,0.422522696965596,"R>L",1,0.455024442886026
"all_combined","RtTg",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","MiTg",121,185,4,0.00826446280991736,0,4.01623693434001e-05,0,0.00485964669055142,NA,0.395424836601307,0.218766933063359,"L>R",1,0.455024442886026
"all_combined","RM",121,185,4,0.0330578512396694,0,0.0050088812481353,0,0.134460764946887,NA,0.0237169100861769,0.0130712629693993,"L>R",0.403187471465007,0.182997681571591
"all_combined","PnO",121,185,4,0,0.00540540540540541,0,0.000224874616021651,NA,0.0416018039640054,1,0.422522696965596,"R>L",1,0.455024442886026
"all_combined","PnC",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","MPB",121,185,4,0,0.00540540540540541,0,0.000215708397930526,NA,0.0399060536171473,1,0.422522696965596,"R>L",1,0.455024442886026
"all_combined","KF",121,185,4,0.00826446280991736,0,0.000115240672395252,0,0.0139441213598255,NA,0.395424836601307,0.218766933063359,"L>R",1,0.455024442886026
"all_combined","RF",121,185,4,0,0.00540540540540541,0,5.38862518084286e-05,NA,0.0099689565845593,1,0.422522696965596,"R>L",1,0.455024442886026
"all_combined","InO",121,185,4,0,0.00540540540540541,0,0.000412065921612165,NA,0.0762321954982505,1,0.422522696965596,"R>L",1,0.455024442886026
"all_combined","PCom_MCPC",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","ll",121,185,4,0,0.00540540540540541,0,9.27405595102004e-05,NA,0.0171570035093871,1,0.422522696965596,"R>L",1,0.455024442886026
"per_251637","PAG",103,157,1,0.00970873786407767,0,0.000747599806486911,0,0.0770027800681518,NA,0.396153846153846,0.219916469785304,"L>R",1,0.454991038412578
"per_251637","SCo",103,157,1,0.00970873786407767,0,0.000370222362238282,0,0.0381329033105431,NA,0.396153846153846,0.219916469785304,"L>R",1,0.454991038412578
"per_251637","ICo",103,157,1,0.00970873786407767,0,0.000675057192837465,0,0.0695308908622589,NA,0.396153846153846,0.219916469785304,"L>R",1,0.454991038412578
"per_251637","VTA",103,157,1,0,0.00636942675159236,0,0.000214170860252378,NA,0.0336248250596233,1,0.422491678525965,"R>L",1,0.454991038412578
