"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude","direction","p_presence_BH","p_magnitude_BH"
"all_combined","ZI-H",121,185,4,0.0413223140495868,0.0108108108108108,0.00924093567471265,0.000506448841358248,0.203280523391384,0.046846517825638,0.117582521434117,0.0774885363927481,"L>R",0.587912607170587,0.218766933063359
"all_combined","PH",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","PLH",121,185,4,0,0.0162162162162162,0,0.00153039618964494,NA,0.0939090264453157,0.280456444873031,0.16106590762236,"R>L",0.659041394335512,0.218766933063359
"all_combined","Pa",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","MM",121,185,4,0.00826446280991736,0,0.00103727854845833,0,0.125510704363458,NA,0.395424836601307,0.218766933063359,"L>R",0.659041394335512,0.218766933063359
"per_251637","ZI-H",103,157,1,0.0485436893203883,0.0127388535031847,0.0108558564722352,0.000596770927715133,0.203280523391384,0.046846517825638,0.117339633868339,0.0770510922732792,"L>R",0.586698169341696,0.219916469785304
"per_251637","PH",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","PLH",103,157,1,0,0.0191082802547771,0,0.00180333308970901,NA,0.0939090264453157,0.27958122958123,0.160387014725107,"R>L",0.66025641025641,0.219916469785304
"per_251637","Pa",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","MM",103,157,1,0.00970873786407767,0,0.00121855052780056,0,0.125510704363458,NA,0.396153846153846,0.219916469785304,"L>R",0.66025641025641,0.219916469785304
"IDD5_251637","ZI-H",33,30,1,0.0606060606060606,0,0.0144368531089569,0,0.238208076297788,NA,0.493087557603687,0.181360888457684,"L>R",1,0.181360888457684
"IDD5_251637","PH",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","PLH",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","Pa",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","MM",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","ZI-H",44,32,1,0.0681818181818182,0.03125,0.0145849332737421,0.00147646517673272,0.147543261471371,0.0472468856554471,0.6342750248446,0.462915328330994,"L>R",1,0.462915328330994
"IDM_251637","PH",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","PLH",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","Pa",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","MM",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","ZI-H",77,62,1,0.0649350649350649,0.0161290322580645,0.014521470345977,0.000762046542829793,0.203280523391384,0.0472468856554471,0.225155754998864,0.153879035239813,"L>R",1,0.153879035239813
"IDD5_plus_IDM","PH",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","PLH",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","Pa",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","MM",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_combined","ZI-H",21,117,3,0,0.00854700854700855,0,0.00039697564098999,NA,0.0464461499958288,1,0.686591451331442,"R>L",1,0.686591451331442
"IAL_combined","PH",21,117,3,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_combined","PLH",21,117,3,0,0.0256410256410256,0,0.00241985722294285,NA,0.0939090264453157,1,0.466962997199709,"R>L",1,0.686591451331442
"IAL_combined","Pa",21,117,3,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_combined","MM",21,117,3,0.0476190476190476,0,0.00597670020778372,0,0.125510704363458,NA,0.152173913043478,0.0192727382509546,"L>R",0.760869565217391,0.0578182147528639
"IAL_251637","ZI-H",7,95,1,0,0.0105263157894737,0,0.000488906842061356,NA,0.0464461499958288,1,0.816017650690092,"R>L",1,0.816017650690092
"IAL_251637","PH",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","PLH",7,95,1,0,0.0315789473684211,0,0.00298024521141383,NA,0.0939090264453157,1,0.651114601908575,"R>L",1,0.816017650690092
"IAL_251637","Pa",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","MM",7,95,1,0.142857142857143,0,0.0179301006233512,0,0.125510704363458,NA,0.0686274509803921,0.000267221700771969,"L>R",0.343137254901961,0.000801665102315907
"IAL_252385","ZI-H",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","PH",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","PLH",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","Pa",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","MM",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
