"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude","direction","p_presence_BH","p_magnitude_BH"
"all_combined","MD",121,185,4,0,0.0108108108108108,0,0.00240605447620118,NA,0.222560039048609,0.520304296582021,0.25392607121193,"R>L",1,0.321639690201778
"all_combined","IMD",121,185,4,0.00826446280991736,0.0108108108108108,0.00315130363855892,0.00248181096990516,0.381307740265629,0.229567514716228,1,0.83439914642817,"L>R",1,0.83439914642817
"all_combined","CM",121,185,4,0.0330578512396694,0.00540540540540541,0.00615364237489061,0.00100329040119465,0.223857027901366,0.185608724221011,0.0818311930787957,0.0621229644263108,"L>R",0.593276149821269,0.21896614325353
"all_combined","CMn-PF",121,185,4,0.0165289256198347,0,0.00198060596951008,0,0.11982666115536,NA,0.155576984892318,0.0806717369881428,"L>R",0.644533223125316,0.21896614325353
"all_combined","VLA",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","VLPV",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","VLPD",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","VM",121,185,4,0,0.00540540540540541,0,0.000847148360131626,NA,0.156722446624351,1,0.422522696965596,"R>L",1,0.445996180130351
"all_combined","VA",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","VPM-VPL",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","VPI",121,185,4,0.00826446280991736,0,0.00130404195634824,0,0.157789076718137,NA,0.395424836601307,0.218766933063359,"L>R",0.819094304388422,0.296897980585988
"all_combined","VMPo-VMB",121,185,4,0.0247933884297521,0,0.00385285634730528,0,0.133339551493025,NA,0.0609002013229796,0.0319664129730505,"L>R",0.588701946122136,0.20245394882932
"all_combined","APul",121,185,4,0.0413223140495868,0.00540540540540541,0.0105122519995793,0.00188176298050092,0.236941395269295,0.34812615139267,0.0374249303269607,0.0277441089600169,"L>R",0.588701946122136,0.20245394882932
"all_combined","MPul",121,185,4,0.0165289256198347,0,0.00163700198476721,0,0.0990386200784165,NA,0.155576984892318,0.0806717369881428,"L>R",0.644533223125316,0.21896614325353
"all_combined","MG",121,185,4,0.0165289256198347,0,0.00190933895521306,0,0.11551500679039,NA,0.155576984892318,0.0806717369881428,"L>R",0.644533223125316,0.21896614325353
"all_combined","DLG",121,185,4,0.00826446280991736,0,0.000268126263588036,0,0.0324432778941524,NA,0.395424836601307,0.218766933063359,"L>R",0.819094304388422,0.296897980585988
"all_combined","SG",121,185,4,0.00826446280991736,0,3.38833734286586e-05,0,0.00409988818486769,NA,0.395424836601307,0.218766933063359,"L>R",0.819094304388422,0.296897980585988
"all_combined","Pa",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","Re-Rh-Xi",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","PaL",121,185,4,0.00826446280991736,0,0.000413892810398442,0,0.0500810300582114,NA,0.395424836601307,0.218766933063359,"L>R",0.819094304388422,0.296897980585988
"all_combined","PR-RI",121,185,4,0,0.00540540540540541,0,0.000123766004896992,NA,0.0228967109059434,1,0.422522696965596,"R>L",1,0.445996180130351
"all_combined","Lim",121,185,4,0.0247933884297521,0,0.00352355418908537,0,0.148341528531116,NA,0.0609002013229796,0.0319664129730505,"L>R",0.588701946122136,0.20245394882932
"all_combined","MM",121,185,4,0.00826446280991736,0,0.00103727854845833,0,0.125510704363458,NA,0.395424836601307,0.218766933063359,"L>R",0.819094304388422,0.296897980585988
"all_combined","PH",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","Rt",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","SPFPC",121,185,4,0.00826446280991736,0,0.000407557420611922,0,0.0493144478940426,NA,0.395424836601307,0.218766933063359,"L>R",0.819094304388422,0.296897980585988
"all_combined","PCom_MCPC",121,185,4,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"all_combined","p1Rt",121,185,4,0.00826446280991736,0,0.000630459501480177,0,0.0762855996791015,NA,0.395424836601307,0.218766933063359,"L>R",0.819094304388422,0.296897980585988
"all_combined","PO",121,185,4,0,0.00540540540540541,0,0.00063060413020492,NA,0.11666176408791,1,0.422522696965596,"R>L",1,0.445996180130351
"per_251637","MD",103,157,1,0,0.0127388535031847,0,0.0028351597331033,NA,0.222560039048609,0.51972081972082,0.253409083517463,"R>L",1,0.32098483912212
"per_251637","IMD",103,157,1,0.00970873786407767,0.0127388535031847,0.0037020168957828,0.00292442693906022,0.381307740265629,0.229567514716228,1,0.833937629384575,"L>R",1,0.833937629384575
"per_251637","CM",103,157,1,0.0388349514563107,0.00636942675159236,0.00722903618797829,0.00118222117338223,0.223857027901366,0.185608724221011,0.0820625727803245,0.0622976056062542,"L>R",0.594953652657353,0.220381695538956
"per_251637","CMn-PF",103,157,1,0.0194174757281553,0,0.00232673128457009,0,0.11982666115536,NA,0.156014256014256,0.0811932562511944,"L>R",0.646344774916204,0.220381695538956
"per_251637","VLA",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","VLPV",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","VLPD",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","VM",103,157,1,0,0.00636942675159236,0,0.000998232144104145,NA,0.156722446624351,1,0.422491678525965,"R>L",1,0.445963438444074
"per_251637","VA",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","VPM-VPL",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","VPI",103,157,1,0.00970873786407767,0,0.00153193278367124,0,0.157789076718137,NA,0.396153846153846,0.219916469785304,"L>R",0.820604395604396,0.298458066137198
"per_251637","VMPo-VMB",103,157,1,0.029126213592233,0,0.0045261710487761,0,0.133339551493025,NA,0.0610753482846506,0.0321839655534795,"L>R",0.590395033418289,0.203831781838704
"per_251637","APul",103,157,1,0.0485436893203883,0.00636942675159236,0.01234934458203,0.00221736402160936,0.236941395269295,0.34812615139267,0.037481867152259,0.0279662020994016,"L>R",0.590395033418289,0.203831781838704
"per_251637","MPul",103,157,1,0.0194174757281553,0,0.00192308000152265,0,0.0990386200784165,NA,0.156014256014256,0.0811932562511944,"L>R",0.646344774916204,0.220381695538956
"per_251637","MG",103,157,1,0.0194174757281553,0,0.0022430098405901,0,0.11551500679039,NA,0.156014256014256,0.0811932562511944,"L>R",0.646344774916204,0.220381695538956
"per_251637","DLG",103,157,1,0.00970873786407767,0,0.000314983280525751,0,0.0324432778941524,NA,0.396153846153846,0.219916469785304,"L>R",0.820604395604396,0.298458066137198
"per_251637","SG",103,157,1,0.00970873786407767,0,3.98047396589096e-05,0,0.00409988818486769,NA,0.396153846153846,0.219916469785304,"L>R",0.820604395604396,0.298458066137198
"per_251637","Pa",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","Re-Rh-Xi",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","PaL",103,157,1,0.00970873786407767,0,0.000486223592798169,0,0.0500810300582114,NA,0.396153846153846,0.219916469785304,"L>R",0.820604395604396,0.298458066137198
"per_251637","PR-RI",103,157,1,0,0.00636942675159236,0,0.000145838922967793,NA,0.0228967109059434,1,0.422491678525965,"R>L",1,0.445963438444074
"per_251637","Lim",103,157,1,0.029126213592233,0,0.00413932094057601,0,0.148341528531116,NA,0.0610753482846506,0.0321839655534795,"L>R",0.590395033418289,0.203831781838704
"per_251637","MM",103,157,1,0.00970873786407767,0,0.00121855052780056,0,0.125510704363458,NA,0.396153846153846,0.219916469785304,"L>R",0.820604395604396,0.298458066137198
"per_251637","PH",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","Rt",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","SPFPC",103,157,1,0.00970873786407767,0,0.000478781047514976,0,0.0493144478940426,NA,0.396153846153846,0.219916469785304,"L>R",0.820604395604396,0.298458066137198
"per_251637","PCom_MCPC",103,157,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"per_251637","p1Rt",103,157,1,0.00970873786407767,0,0.000740636890088364,0,0.0762855996791015,NA,0.396153846153846,0.219916469785304,"L>R",0.820604395604396,0.298458066137198
"per_251637","PO",103,157,1,0,0.00636942675159236,0,0.000743068561069492,NA,0.11666176408791,1,0.422491678525965,"R>L",1,0.445963438444074
"IDD5_251637","MD",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","IMD",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","CM",33,30,1,0.0303030303030303,0,0.000915922638331506,0,0.0302254470649397,NA,1,0.356695253362759,"L>R",1,0.445869066703449
"IDD5_251637","CMn-PF",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","VLA",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","VLPV",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","VLPD",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","VM",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","VA",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","VPM-VPL",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","VPI",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","VMPo-VMB",33,30,1,0.0303030303030303,0,0.00404059246948559,0,0.133339551493025,NA,1,0.356695253362759,"L>R",1,0.445869066703449
"IDD5_251637","APul",33,30,1,0.0606060606060606,0.0333333333333333,0.0185832281894049,0.0116042050464223,0.30662326512518,0.34812615139267,1,0.627818543119047,"L>R",1,0.627818543119047
"IDD5_251637","MPul",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","MG",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","DLG",33,30,1,0.0303030303030303,0,0.000983129633156133,0,0.0324432778941524,NA,1,0.356695253362759,"L>R",1,0.445869066703449
"IDD5_251637","SG",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","Pa",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","Re-Rh-Xi",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","PaL",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","PR-RI",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","Lim",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","MM",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","PH",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","Rt",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","SPFPC",33,30,1,0.0303030303030303,0,0.00149437720891038,0,0.0493144478940426,NA,1,0.356695253362759,"L>R",1,0.445869066703449
"IDD5_251637","PCom_MCPC",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","p1Rt",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_251637","PO",33,30,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","MD",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","IMD",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","CM",44,32,1,0.0454545454545455,0,0.011446749993298,0,0.251828499852555,NA,0.505964912280702,0.23205210915296,"L>R",1,0.34624459072109
"IDM_251637","CMn-PF",44,32,1,0.0454545454545455,0,0.00544666641615271,0,0.11982666115536,NA,0.505964912280702,0.23205210915296,"L>R",1,0.34624459072109
"IDM_251637","VLA",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","VLPV",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","VLPD",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","VM",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","VA",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","VPM-VPL",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","VPI",44,32,1,0.0227272727272727,0,0.00358611537995767,0,0.157789076718137,NA,1,0.408717432922922,"L>R",1,0.408717432922922
"IDM_251637","VMPo-VMB",44,32,1,0.0454545454545455,0,0.00756491060297532,0,0.166428033265457,NA,0.505964912280702,0.23205210915296,"L>R",1,0.34624459072109
"IDM_251637","APul",44,32,1,0.0681818181818182,0,0.0149712718567893,0,0.236941395269295,NA,0.258947368421053,0.138541655604164,"L>R",1,0.34624459072109
"IDM_251637","MPul",44,32,1,0.0454545454545455,0,0.00450175545810984,0,0.0990386200784165,NA,0.505964912280702,0.23205210915296,"L>R",1,0.34624459072109
"IDM_251637","MG",44,32,1,0.0454545454545455,0,0.00525068212683592,0,0.11551500679039,NA,0.505964912280702,0.23205210915296,"L>R",1,0.34624459072109
"IDM_251637","DLG",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","SG",44,32,1,0.0227272727272727,0,9.3179276928811e-05,0,0.00409988818486769,NA,1,0.408717432922922,"L>R",1,0.408717432922922
"IDM_251637","Pa",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","Re-Rh-Xi",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","PaL",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","PR-RI",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","Lim",44,32,1,0.0681818181818182,0,0.00968977401998476,0,0.148341528531116,NA,0.258947368421053,0.138541655604164,"L>R",1,0.34624459072109
"IDM_251637","MM",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","PH",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","Rt",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","SPFPC",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","PCom_MCPC",44,32,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDM_251637","p1Rt",44,32,1,0.0227272727272727,0,0.00173376362907049,0,0.0762855996791015,NA,1,0.408717432922922,"L>R",1,0.408717432922922
"IDM_251637","PO",44,32,1,0,0.03125,0,0.00364568012774719,NA,0.11666176408791,0.421052631578947,0.251814247797157,"R>L",1,0.34624459072109
"IDD5_plus_IDM","MD",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","IMD",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","CM",77,62,1,0.038961038961039,0,0.00693353826974091,0,0.237005775211017,NA,0.253362527369409,0.11945283174839,"L>R",1,0.377315447097074
"IDD5_plus_IDM","CMn-PF",77,62,1,0.025974025974026,0,0.00311238080923012,0,0.11982666115536,NA,0.502241684912939,0.206470657364409,"L>R",1,0.377315447097074
"IDD5_plus_IDM","VLA",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","VLPV",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","VLPD",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","VM",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","VA",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","VPM-VPL",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","VPI",77,62,1,0.012987012987013,0,0.00204920878854724,0,0.157789076718137,NA,1,0.377315447097074,"L>R",1,0.377315447097074
"IDD5_plus_IDM","VMPo-VMB",77,62,1,0.038961038961039,0,0.00605448854576544,0,0.133339551493025,NA,0.253362527369409,0.11945283174839,"L>R",1,0.377315447097074
"IDD5_plus_IDM","APul",77,62,1,0.0649350649350649,0.0161290322580645,0.016519253142196,0.00561493792568822,0.236941395269295,0.34812615139267,0.225155754998864,0.168256032885814,"L>R",1,0.377315447097074
"IDD5_plus_IDM","MPul",77,62,1,0.025974025974026,0,0.00257243169034848,0,0.0990386200784165,NA,0.502241684912939,0.206470657364409,"L>R",1,0.377315447097074
"IDD5_plus_IDM","MG",77,62,1,0.025974025974026,0,0.00300038978676338,0,0.11551500679039,NA,0.502241684912939,0.206470657364409,"L>R",1,0.377315447097074
"IDD5_plus_IDM","DLG",77,62,1,0.012987012987013,0,0.000421341271352628,0,0.0324432778941524,NA,1,0.377315447097074,"L>R",1,0.377315447097074
"IDD5_plus_IDM","SG",77,62,1,0.012987012987013,0,5.32453011021777e-05,0,0.00409988818486769,NA,1,0.377315447097074,"L>R",1,0.377315447097074
"IDD5_plus_IDM","Pa",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","Re-Rh-Xi",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","PaL",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","PR-RI",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","Lim",77,62,1,0.038961038961039,0,0.00553701372570557,0,0.148341528531116,NA,0.253362527369409,0.11945283174839,"L>R",1,0.377315447097074
"IDD5_plus_IDM","MM",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","PH",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","Rt",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","SPFPC",77,62,1,0.012987012987013,0,0.000640447375247306,0,0.0493144478940426,NA,1,0.377315447097074,"L>R",1,0.377315447097074
"IDD5_plus_IDM","PCom_MCPC",77,62,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IDD5_plus_IDM","p1Rt",77,62,1,0.012987012987013,0,0.000990722073754565,0,0.0762855996791015,NA,1,0.377315447097074,"L>R",1,0.377315447097074
"IDD5_plus_IDM","PO",77,62,1,0,0.0161290322580645,0,0.00188164135625662,NA,0.11666176408791,0.446043165467626,0.27135452472855,"R>L",1,0.377315447097074
"IAL_combined","MD",21,117,3,0,0.0170940170940171,0,0.00380444511194203,NA,0.222560039048609,1,0.557196953821339,"R>L",1,0.686591451331442
"IAL_combined","IMD",21,117,3,0.0476190476190476,0.0170940170940171,0.0181575114412204,0.00392423102079022,0.381307740265629,0.229567514716228,0.392979819665092,0.372560425025725,"L>R",1,0.686591451331442
"IAL_combined","CM",21,117,3,0.0476190476190476,0.00854700854700855,0.0100337276472245,0.00158639935231633,0.210708280591714,0.185608724221011,0.282132656299587,0.169298123582693,"L>R",1,0.507894370748078
"IAL_combined","CMn-PF",21,117,3,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
