"side","source_region","target_region","mean_prop","frac_proj","n_neurons","self_proj"
"L","IDD5","Ial",0.0017069532216949,0.0303030303030303,33,FALSE
"L","IDD5","Iapl",0,0,33,FALSE
"L","IDD5","Ia/Id",0.190689449767297,0.727272727272727,33,TRUE
"L","IDD5","Iai",0.00153846644244264,0.0303030303030303,33,FALSE
"L","IDD5","Pi",0.00204781729453211,0.0303030303030303,33,FALSE
"L","IDD5","Ig",0.447789575078941,1,33,FALSE
"L","IDD5","Iam/Iapm",0,0,33,FALSE
"L","IDD5","Ri",0,0,33,FALSE
"L","IDM","Ial",0.00249026146720944,0.0227272727272727,44,FALSE
"L","IDM","Iapl",0,0,44,FALSE
"L","IDM","Ia/Id",0.645970224059477,1,44,TRUE
"L","IDM","Iai",0.00359586051913162,0.0227272727272727,44,FALSE
"L","IDM","Pi",0.0225062014283564,0.113636363636364,44,FALSE
"L","IDM","Ig",0.0625703305372888,0.272727272727273,44,FALSE
"L","IDM","Iam/Iapm",0,0,44,FALSE
"L","IDM","Ri",0,0,44,FALSE
"L","IDV","Ial",0,0,3,FALSE
"L","IDV","Iapl",0,0,3,FALSE
"L","IDV","Ia/Id",0.485047278916792,1,3,TRUE
"L","IDV","Iai",0.02698343371186,0.333333333333333,3,FALSE
"L","IDV","Pi",0,0,3,FALSE
"L","IDV","Ig",0.0398085145510551,0.333333333333333,3,FALSE
"L","IDV","Iam/Iapm",0.0443025709093436,0.333333333333333,3,FALSE
"L","IDV","Ri",0,0,3,FALSE
"L","IAL","Ial",0.449685477054048,1,21,TRUE
"L","IAL","Iapl",0.00410246445142775,0.142857142857143,21,FALSE
"L","IAL","Ia/Id",0.020131510838096,0.19047619047619,21,FALSE
"L","IAL","Iai",0.127309400752058,0.666666666666667,21,FALSE
"L","IAL","Pi",0.00446865627630528,0.0952380952380952,21,FALSE
"L","IAL","Ig",0,0,21,FALSE
"L","IAL","Iam/Iapm",0.0320533953534886,0.238095238095238,21,FALSE
"L","IAL","Ri",0,0,21,FALSE
"L","IAPM","Ial",0.119851304690878,0.875,16,FALSE
"L","IAPM","Iapl",0.00458103502494497,0.0625,16,FALSE
"L","IAPM","Ia/Id",0.0108205665937986,0.1875,16,FALSE
"L","IAPM","Iai",0.2062669621622,1,16,FALSE
"L","IAPM","Pi",0.0061840231233244,0.0625,16,FALSE
"L","IAPM","Ig",0.00150193840375912,0.0625,16,FALSE
"L","IAPM","Iam/Iapm",0.0835278601408254,0.6875,16,TRUE
"L","IAPM","Ri",0,0,16,FALSE
"L","IA/ID","Ial",0,0,3,FALSE
"L","IA/ID","Iapl",0,0,3,FALSE
"L","IA/ID","Ia/Id",0.23808486342275,1,3,TRUE
"L","IA/ID","Iai",0.0220899624761437,0.333333333333333,3,FALSE
"L","IA/ID","Pi",0,0,3,FALSE
"L","IA/ID","Ig",0.0154278223304549,0.333333333333333,3,FALSE
"L","IA/ID","Iam/Iapm",0.0179627690968856,0.333333333333333,3,FALSE
"L","IA/ID","Ri",0,0,3,FALSE
"R","IAL","Ial",0.281092926045215,0.837606837606838,117,TRUE
"R","IAL","Iapl",0.0225643586970213,0.128205128205128,117,FALSE
"R","IAL","Ia/Id",0.046808819594743,0.213675213675214,117,FALSE
"R","IAL","Iai",0.0937348018193569,0.478632478632479,117,FALSE
"R","IAL","Pi",0.00203353569250679,0.0256410256410256,117,FALSE
"R","IAL","Ig",0.000242739905268998,0.00854700854700855,117,FALSE
"R","IAL","Iam/Iapm",0.00626546155568593,0.0598290598290598,117,FALSE
"R","IAL","Ri",0,0,117,FALSE
"R","IDD5","Ial",0,0,30,FALSE
"R","IDD5","Iapl",0,0,30,FALSE
"R","IDD5","Ia/Id",0.60803843429924,1,30,TRUE
"R","IDD5","Iai",0,0,30,FALSE
"R","IDD5","Pi",0,0,30,FALSE
"R","IDD5","Ig",0.0394858032158253,0.2,30,FALSE
"R","IDD5","Iam/Iapm",0,0,30,FALSE
"R","IDD5","Ri",0,0,30,FALSE
"R","IDM","Ial",0.00458390635050906,0.03125,32,FALSE
"R","IDM","Iapl",0.00445671040081627,0.03125,32,FALSE
"R","IDM","Ia/Id",0.752843521493463,1,32,TRUE
"R","IDM","Iai",0,0,32,FALSE
"R","IDM","Pi",0.0108755844217052,0.0625,32,FALSE
"R","IDM","Ig",0.0256680384030988,0.125,32,FALSE
"R","IDM","Iam/Iapm",0.00382513228544422,0.03125,32,FALSE
"R","IDM","Ri",0,0,32,FALSE
"R","IG","Ial",0,0,6,FALSE
"R","IG","Iapl",0,0,6,FALSE
"R","IG","Ia/Id",0,0,6,FALSE
"R","IG","Iai",0,0,6,FALSE
"R","IG","Pi",0,0,6,FALSE
"R","IG","Ig",0.480386450669273,1,6,TRUE
"R","IG","Iam/Iapm",0,0,6,FALSE
"R","IG","Ri",0,0,6,FALSE
