"NeuronUID","SampleID","NeuronID","Neuron_Type","Soma_Region_Auto","Soma_Region_Refined","Soma_Region_Source","Soma_Side","Soma_Side_Inferred","Soma_NII_X","Soma_NII_Y","Soma_NII_Z","Soma_Phys_X","Soma_Phys_Y","Soma_Phys_Z","Total_Length","Terminal_Count","N_Ipsilateral","N_Contralateral","N_Laterality_Unknown","Laterality_Index","Soma_Side_Final","Soma_Region_Final","gou_auto","gou_cog","gou_emo","gou_memory","gou_motor","gou_sens"
"251637::001.swc","251637","001.swc","ITs","R-IAL","IAL","curated_251637","R","R",192.7036,213.8664,83.828,48175.9,53466.6,20957,1106.10599999997,10,9,0,1,0,"R","IAL",0,0,0.360362064845057,0,0.432526089381024,0
"251637::002.swc","251637","002.swc","ITi","R-IAL","IAL","curated_251637","R","R",192.9288,213.9036,83.6288,48232.2,53475.9,20907.2,25.7489999999999,2,2,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::003.swc","251637","003.swc","ITi","R-IAL","IAL","curated_251637","R","R",191.6996,215.7856,83.052,47924.9,53946.4,20763,65.4130000000005,3,2,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::004.swc","251637","004.swc","ITs","R-IAL","IAL","curated_251637","R","R",191.9628,216.6584,83.2328,47990.7,54164.6,20808.2,1537.60599999993,12,11,0,1,0,"R","IAL",0,0,0.254332917373266,0,0.745667082626735,0
"251637::005.swc","251637","005.swc","PT","R-IAL","IAL","curated_251637","R","R",191.818,216.3672,82.3072,47954.5,54091.8,20576.8,610.946999999988,16,15,0,1,0,"R","IAL",0.335414675936604,0,0.460731819829319,0,0.203853504234077,0
"251637::006.swc","251637","006.swc","ITi","R-IAL","IAL","curated_251637","R","R",190.8492,216.0444,82.41,47712.3,54011.1,20602.5,295.030999999997,7,6,0,1,0,"R","IAL",0,0,0.37663699234844,0,0.62336300765156,0
"251637::007.swc","251637","007.swc","ITs","R-IAL","IAL","curated_251637","R","R",190.1656,216.3204,82.2312,47541.4,54080.1,20557.8,439.488999999995,9,8,0,1,0,"R","IAL",0,0.0851834226479899,0.402691854089508,0,0.512124723262502,0
"251637::008.swc","251637","008.swc","CT","R-IAL","IAL","curated_251637","R","R",189.8312,215.7388,82.2672,47457.8,53934.7,20566.8,485.187999999992,9,5,3,1,0.087,"R","IAL",0,0,0.211228939010605,0.559576357861872,0.229194703127523,0
"251637::009.swc","251637","009.swc","CT","R-IAL","IAL","curated_251637","R","R",189.8088,216.3748,82.006,47452.2,54093.7,20501.5,405.985999999995,10,6,3,1,0.2946,"R","IAL",0,0,0.305363161598578,0.694636838401422,0,0
"251637::010.swc","251637","010.swc","ITi","R-IAL","IAL","curated_251637","R","R",189.6796,217.6472,81.9408,47419.9,54411.8,20485.2,553.380999999991,14,13,0,1,0,"R","IAL",0,0,0.187887621544421,0,0.177948858411754,0.439633752665662
"251637::011.swc","251637","011.swc","ITi","R-IAL","IAL","curated_251637","R","R",190.0888,217.4992,82.172,47522.2,54374.8,20543,43.006,3,3,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::012.swc","251637","012.swc","ITi","R-IAL","IAL","curated_251637","R","R",189.0664,217.4512,82.4528,47266.6,54362.8,20613.2,888.500999999987,6,5,0,1,0,"R","IAL",0,0,0.280714110730034,0,0.378582802547771,0.340703086722195
"251637::013.swc","251637","013.swc","ITs","R-IAL","IAL","curated_251637","R","R",187.556,216.86,81.006,46889,54215,20251.5,4040.69399999974,19,18,0,1,0,"R","IAL",0,0.0800749160547405,0.143264979618426,0,0.381094713244909,0.353480195624787
"251637::014.swc","251637","014.swc","PT","R-IAL","IAL","curated_251637","R","R",188.5892,216.0316,80.448,47147.3,54007.9,20112,375.253999999998,10,9,0,1,0,"R","IAL",0.370617880396797,0,0.25032800755337,0,0.379054112049833,0
"251637::015.swc","251637","015.swc","ITs","R-IAL","IAL","curated_251637","R","R",188.548,216.1528,79.9048,47137,54038.2,19976.2,551.16999999999,10,9,0,1,0,"R","IAL",0,0,0.347669968814867,0,0.214803592684774,0.437526438500359
"251637::016.swc","251637","016.swc","ITi","R-IAL","IAL","curated_251637","R","R",189.2612,216.88,80.504,47315.3,54220,20126,1122.46099999997,12,11,0,1,0,"R","IAL",0,0.0200706639244845,0.48844592100406,0,0.262880345936824,0
"251637::017.swc","251637","017.swc","ITi","R-IAL","IAL","curated_251637","R","R",190.946,216.5864,82.4832,47736.5,54146.6,20620.8,90.8090000000011,4,3,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::018.swc","251637","018.swc","ITi","R-IAL","IAL","curated_251637","R","R",191.2496,215.1964,81.3672,47812.4,53799.1,20341.8,195.449999999998,4,3,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::019.swc","251637","019.swc","ITi","R-IAL","IAL","curated_251637","R","R",192.0112,214.6016,82.16,48002.8,53650.4,20540,76.5040000000007,3,2,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::020.swc","251637","020.swc","ITi","R-IAL","IAL","curated_251637","R","R",192.5488,214.9016,82.18,48137.2,53725.4,20545,173.537,5,4,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::021.swc","251637","021.swc","ITs","R-IAL","IAL","curated_251637","R","R",192.2656,215.5436,82.404,48066.4,53885.9,20601,162.537000000001,5,4,0,1,0,"R","IAL",0,0,0.452946050002437,0,0.547053949997563,0
"251637::022.swc","251637","022.swc","ITi","R-IAL","IAL","curated_251637","R","R",192.3764,215.4492,81.3808,48094.1,53862.3,20345.2,94.8530000000013,2,2,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::023.swc","251637","023.swc","ITi","R-IAL","IAL","curated_251637","R","R",193.2292,217.4524,81.2768,48307.3,54363.1,20319.2,720.919999999986,8,7,0,1,0,"R","IAL",0,0,0.666341116931546,0,0.333658883068454,0
"251637::024.swc","251637","024.swc","ITi","R-IAL","IAL","curated_251637","R","R",192.0352,217.6764,81.152,48008.8,54419.1,20288,361.770999999992,3,2,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::025.swc","251637","025.swc","ITi","R-IAL","IAL","curated_251637","R","R",192.5264,218.6192,81.958,48131.6,54654.8,20489.5,519.507999999988,4,3,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::026.swc","251637","026.swc","ITi","R-IAL","IAL","curated_251637","R","R",191.7852,218.7924,82.9288,47946.3,54698.1,20732.2,1542.80999999993,12,11,0,1,0,"R","IAL",0,0.224295917659762,0.453703428531804,0,0.322000653808434,0
"251637::027.swc","251637","027.swc","ITi","R-IAL","IAL","curated_251637","R","R",193.0152,217.7156,82.3568,48253.8,54428.9,20589.2,89.763000000001,3,2,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::028.swc","251637","028.swc","ITi","R-IAL","IAL","curated_251637","R","R",193.8492,216.6076,83.242,48462.3,54151.9,20810.5,717.24899999999,9,8,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::029.swc","251637","029.swc","ITi","R-IAL","IAL","curated_251637","R","R",193.3416,216.4336,84.4272,48335.4,54108.4,21106.8,1258.93899999996,10,9,0,1,0,"R","IAL",0,0,0.262142849536224,0,0.281034684727857,0.204381116684238
