NeuronUID,SampleID,NeuronID,flipped_nodes,kept_nodes,status
251637_001,251637,001.swc,32584,0,ok
251637_002,251637,002.swc,868,0,ok
251637_003,251637,003.swc,2393,0,ok
251637_004,251637,004.swc,42343,0,ok
251637_005,251637,005.swc,16385,0,ok
251637_006,251637,006.swc,7715,0,ok
251637_007,251637,007.swc,11947,0,ok
251637_008,251637,008.swc,11022,1026,ok
251637_009,251637,009.swc,8710,2448,ok
251637_010,251637,010.swc,15637,0,ok
251637_011,251637,011.swc,1472,0,ok
251637_012,251637,012.swc,24848,0,ok
251637_013,251637,013.swc,97607,0,ok
251637_014,251637,014.swc,9075,0,ok
251637_015,251637,015.swc,12720,0,ok
251637_016,251637,016.swc,30478,0,ok
251637_017,251637,017.swc,3094,0,ok
251637_018,251637,018.swc,6529,0,ok
251637_019,251637,019.swc,2590,0,ok
251637_020,251637,020.swc,5656,0,ok
251637_021,251637,021.swc,4695,0,ok
251637_022,251637,022.swc,3471,0,ok
251637_023,251637,023.swc,20741,0,ok
251637_024,251637,024.swc,11390,0,ok
251637_025,251637,025.swc,15618,0,ok
251637_026,251637,026.swc,44597,0,ok
251637_027,251637,027.swc,3126,0,ok
251637_028,251637,028.swc,20726,0,ok
251637_029,251637,029.swc,32379,0,ok
251637_030,251637,030.swc,10289,4109,ok
251637_031,251637,031.swc,28738,0,ok
251637_032,251637,032.swc,6541,0,ok
251637_033,251637,033.swc,31772,0,ok
251637_034,251637,034.swc,17356,733,ok
251637_035,251637,035.swc,1529,0,ok
251637_036,251637,036.swc,15149,0,ok
251637_037,251637,037.swc,8018,0,ok
251637_038,251637,038.swc,16998,0,ok
251637_039,251637,039.swc,12189,0,ok
251637_040,251637,040.swc,18418,0,ok
251637_041,251637,041.swc,3836,0,ok
251637_042,251637,042.swc,7415,0,ok
251637_043,251637,043.swc,14246,7506,ok
251637_044,251637,044.swc,601,0,ok
251637_045,251637,045.swc,7165,0,ok
251637_046,251637,046.swc,5122,0,ok
251637_047,251637,047.swc,811,0,ok
251637_048,251637,048.swc,9422,0,ok
251637_049,251637,049.swc,3336,0,ok
251637_050,251637,050.swc,1187,0,ok
251637_051,251637,051.swc,18895,0,ok
251637_052,251637,052.swc,47772,0,ok
251637_053,251637,053.swc,4804,0,ok
251637_054,251637,054.swc,8642,0,ok
251637_055,251637,055.swc,5777,0,ok
251637_056,251637,056.swc,7080,0,ok
251637_057,251637,057.swc,15275,0,ok
251637_058,251637,058.swc,7841,0,ok
251637_059,251637,059.swc,3012,0,ok
251637_060,251637,060.swc,20220,0,ok
251637_061,251637,061.swc,48235,0,ok
251637_062,251637,062.swc,4823,0,ok
251637_063,251637,063.swc,1848,0,ok
251637_064,251637,064.swc,1474,0,ok
251637_065,251637,065.swc,2104,0,ok
251637_066,251637,066.swc,13466,0,ok
251637_067,251637,067.swc,22016,0,ok
251637_068,251637,068.swc,6191,0,ok
251637_069,251637,069.swc,1110,0,ok
251637_070,251637,070.swc,3266,0,ok
251637_071,251637,071.swc,1787,0,ok
251637_072,251637,072.swc,71371,0,ok
251637_073,251637,073.swc,1351,0,ok
251637_074,251637,074.swc,5963,0,ok
251637_075,251637,075.swc,3182,0,ok
251637_076,251637,076.swc,7513,0,ok
251637_077,251637,077.swc,3765,0,ok
251637_078,251637,078.swc,5925,0,ok
251637_079,251637,079.swc,890,0,ok
251637_080,251637,080.swc,3125,0,ok
251637_081,251637,081.swc,3861,0,ok
251637_082,251637,082.swc,25533,0,ok
251637_083,251637,083.swc,12485,0,ok
251637_084,251637,084.swc,10548,0,ok
251637_085,251637,085.swc,45179,0,ok
251637_086,251637,086.swc,944,0,ok
251637_087,251637,087.swc,10640,0,ok
251637_088,251637,088.swc,1615,0,ok
251637_089,251637,089.swc,1121,0,ok
251637_090,251637,090.swc,3007,0,ok
251637_091,251637,091.swc,32683,0,ok
251637_092,251637,092.swc,9163,0,ok
251637_093,251637,093.swc,5994,0,ok
251637_094,251637,094.swc,6978,0,ok
251637_095,251637,095.swc,1660,0,ok
251637_096,251637,096.swc,29734,0,ok
251637_097,251637,097.swc,59604,0,ok
251637_098,251637,098.swc,66192,0,ok
251637_099,251637,099.swc,4337,0,ok
251637_100,251637,100.swc,6668,0,ok
251637_101,251637,101.swc,1096,0,ok
251637_102,251637,102.swc,1200,0,ok
251637_103,251637,103.swc,33861,0,ok
251637_104,251637,104.swc,96247,0,ok
251637_105,251637,105.swc,19791,0,ok
251637_106,251637,106.swc,15709,0,ok
251637_107,251637,107.swc,4126,0,ok
251637_108,251637,108.swc,10207,0,ok
251637_109,251637,109.swc,27728,0,ok
251637_110,251637,110.swc,1884,0,ok
251637_111,251637,111.swc,15489,0,ok
251637_112,251637,112.swc,7474,0,ok
251637_113,251637,113.swc,453,0,ok
251637_114,251637,114.swc,11744,0,ok
251637_116,251637,116.swc,11420,0,ok
251637_117,251637,117.swc,32239,0,ok
251637_118,251637,118.swc,13137,0,ok
251637_119,251637,119.swc,7447,0,ok
251637_120,251637,120.swc,1888,0,ok
251637_121,251637,121.swc,2732,0,ok
251637_122,251637,122.swc,30933,0,ok
251637_123,251637,123.swc,31426,0,ok
251637_124,251637,124.swc,42008,0,ok
251637_125,251637,125.swc,26721,0,ok
251637_126,251637,126.swc,26327,0,ok
251637_127,251637,127.swc,8850,0,ok
251637_128,251637,128.swc,28243,0,ok
251637_129,251637,129.swc,7670,0,ok
251637_130,251637,130.swc,2339,0,ok
251637_131,251637,131.swc,38621,0,ok
251637_132,251637,132.swc,1235,0,ok
251637_133,251637,133.swc,8935,0,ok
251637_134,251637,134.swc,17755,0,ok
251637_135,251637,135.swc,23873,0,ok
251637_136,251637,136.swc,6149,0,ok
251637_137,251637,137.swc,1505,0,ok
251637_138,251637,138.swc,1513,0,ok
251637_139,251637,139.swc,11820,0,ok
251637_140,251637,140.swc,5073,0,ok
251637_141,251637,141.swc,26126,0,ok
251637_142,251637,142.swc,695,0,ok
251637_143,251637,143.swc,38673,0,ok
251637_144,251637,144.swc,10153,0,ok
251637_145,251637,145.swc,1979,0,ok
251637_146,251637,146.swc,4234,0,ok
251637_147,251637,147.swc,2221,0,ok
251637_148,251637,148.swc,10045,0,ok
251637_149,251637,149.swc,6722,0,ok
251637_150,251637,150.swc,2750,0,ok
251637_151,251637,151.swc,11856,0,ok
251637_152,251637,152.swc,3824,0,ok
251637_153,251637,153.swc,2809,0,ok
251637_154,251637,154.swc,7858,0,ok
251637_155,251637,155.swc,674,0,ok
251637_156,251637,156.swc,1396,0,ok
251637_157,251637,157.swc,18827,0,ok
251637_158,251637,158.swc,1049,0,ok
251637_392,251637,392.swc,0,19377,ok
251637_393,251637,393.swc,0,20837,ok
251637_394,251637,394.swc,0,2609,ok
251637_395,251637,395.swc,0,4828,ok
251637_396,251637,396.swc,0,15254,ok
251637_397,251637,397.swc,0,1693,ok
251637_398,251637,398.swc,0,12122,ok
251637_399,251637,399.swc,0,57478,ok
251637_400,251637,400.swc,0,58357,ok
251637_401,251637,401.swc,0,11428,ok
251637_402,251637,402.swc,0,17527,ok
251637_403,251637,403.swc,0,49702,ok
251637_404,251637,404.swc,0,2415,ok
251637_405,251637,405.swc,0,25642,ok
251637_406,251637,406.swc,0,8234,ok
251637_407,251637,407.swc,0,4805,ok
251637_408,251637,408.swc,0,691,ok
251637_409,251637,409.swc,0,6667,ok
251637_410,251637,410.swc,0,1620,ok
251637_411,251637,411.swc,0,3350,ok
251637_412,251637,412.swc,0,1656,ok
251637_413,251637,413.swc,0,2221,ok
251637_414,251637,414.swc,0,32637,ok
251637_415,251637,415.swc,0,69599,ok
251637_416,251637,416.swc,0,8839,ok
251637_417,251637,417.swc,0,27791,ok
251637_418,251637,418.swc,0,11068,ok
251637_419,251637,419.swc,0,9966,ok
251637_420,251637,420.swc,0,4961,ok
251637_421,251637,421.swc,0,5358,ok
251637_422,251637,422.swc,0,29921,ok
251637_423,251637,423.swc,0,13690,ok
251637_424,251637,424.swc,0,13321,ok
251637_425,251637,425.swc,0,6829,ok
251637_426,251637,426.swc,0,2490,ok
251637_427,251637,427.swc,0,1488,ok
251637_428,251637,428.swc,0,8936,ok
251637_429,251637,429.swc,0,1248,ok
251637_430,251637,430.swc,0,31634,ok
251637_431,251637,431.swc,0,25302,ok
251637_432,251637,432.swc,0,12887,ok
251637_433,251637,433.swc,0,31789,ok
251637_434,251637,434.swc,0,10686,ok
251637_435,251637,435.swc,0,1065,ok
251637_436,251637,436.swc,0,53824,ok
251637_437,251637,437.swc,0,109526,ok
251637_438,251637,438.swc,0,7024,ok
251637_439,251637,439.swc,0,12762,ok
251637_440,251637,440.swc,0,20477,ok
251637_441,251637,441.swc,0,5965,ok
251637_442,251637,442.swc,0,56112,ok
251637_443,251637,443.swc,0,24116,ok
251637_444,251637,444.swc,0,6490,ok
251637_445,251637,445.swc,0,12528,ok
251637_446,251637,446.swc,1358,11244,ok
251637_447,251637,447.swc,0,12777,ok
251637_448,251637,448.swc,1278,6376,ok
251637_449,251637,449.swc,0,850,ok
251637_450,251637,450.swc,0,4896,ok
251637_451,251637,451.swc,0,870,ok
251637_452,251637,452.swc,0,28191,ok
251637_453,251637,453.swc,0,3624,ok
251637_454,251637,454.swc,0,12190,ok
251637_455,251637,455.swc,0,2144,ok
251637_456,251637,456.swc,0,4570,ok
251637_457,251637,457.swc,0,23790,ok
251637_458,251637,458.swc,0,719,ok
251637_459,251637,459.swc,0,6702,ok
251637_460,251637,460.swc,0,2612,ok
251637_461,251637,461.swc,0,7051,ok
251637_462,251637,462.swc,0,1003,ok
251637_463,251637,463.swc,0,6171,ok
251637_464,251637,464.swc,0,2012,ok
251637_465,251637,465.swc,0,9675,ok
251637_466,251637,466.swc,0,2319,ok
251637_467,251637,467.swc,0,3809,ok
