SampleID,NeuronID,Neuron_Type,Soma_Region,Soma_Side,Soma_NII_X,Soma_NII_Y,Soma_NII_Z,Soma_Phys_X,Soma_Phys_Y,Soma_Phys_Z,Total_Length,Terminal_Count,N_Ipsilateral,N_Contralateral,N_Laterality_Unknown,Laterality_Index,Outlier_Count,Soma_Region_Auto,Soma_Region_Auto_clean,Soma_Region_Refined,Soma_Region_Source,Soma_Region_Match,Distance_to_nearest_251637_neuron_mm,Soma_Side_Inferred
252383,018.swc,ITi,CR_Ig,R,185.9445,152.656,119.4958,46486.125,38164.0,29873.95,437.1239999999956,5,4,0,1,0.0,10,CR_Ig,Ig,IG,auto_atlas_insula,IG,,R
252383,019.swc,ITi,CR_Ig,R,186.0838,151.339,118.772,46520.95,37834.75,29693.0,169.469,2,2,0,0,0.0,0,CR_Ig,Ig,IG,auto_atlas_insula,IG,,R
252383,091.swc,ITi,CL_Ig,L,56.563,162.881,121.412,14140.75,40720.25,30353.0,385.1559999999965,3,2,0,1,0.0,44,CL_Ig,Ig,IG,auto_atlas_insula,IG,,L
252383,122.swc,ITi,CR_Ig,R,196.6678,164.712,122.4963,49166.95,41178.0,30624.075,174.2770000000001,3,2,0,1,0.0,31,CR_Ig,Ig,IG,auto_atlas_insula,IG,,R
252383,125.swc,ITi,CR_Ig,R,197.183,167.47,121.3836,49295.75,41867.5,30345.9,430.3019999999956,4,3,0,1,0.0,44,CR_Ig,Ig,IG,auto_atlas_insula,IG,,R
252384,048.swc,ITi,CL_Ial,L,75.181,205.632,77.183,18795.25,51408.0,19295.75,467.9169999999904,11,10,0,1,0.0,13,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252384,049.swc,ITs,CL_Ial,L,75.132,205.908,76.908,18783.0,51477.0,19227.0,757.3079999999868,11,10,0,1,0.0,24,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252384,053.swc,ITi,CL_Ial,L,73.315,203.608,75.788,18328.75,50902.0,18947.0,335.814999999993,7,6,0,1,0.0,14,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252384,077.swc,ITi,CR_Ial,R,183.3069,208.983,82.787,45826.725,52245.75,20696.75,165.8370000000012,4,3,0,1,0.0,19,CR_Ial,Ial,IAL,auto_atlas_insula,IAL,,R
252384,079.swc,ITi,CR_Ial,R,184.9936,209.9,83.09,46248.4,52475.0,20772.5,107.8420000000016,4,3,0,1,0.0,1,CR_Ial,Ial,IAL,auto_atlas_insula,IAL,,R
