SampleID,NeuronID,Neuron_Type,Soma_Region,Soma_Region_clean,Soma_Side,Soma_NII_X,Soma_NII_Y,Soma_NII_Z,recovery_category,bbox_match_subregion
251730,001.swc,Unclassified,SL_DGA,SL_DGA,L,74.286,165.888,44.208,auto_other_outside_bbox,
251730,002.swc,ITs,SL_DGA,SL_DGA,L,74.668,166.9448,44.132,auto_other_outside_bbox,
251730,003.swc,Unclassified,SL_DGA,SL_DGA,L,74.69,166.498,44.474,auto_other_outside_bbox,
251730,004.swc,ITs,SL_DGA,SL_DGA,L,74.8232,166.0088,44.8248,auto_other_outside_bbox,
251730,005.swc,ITs,SL_DGA,SL_DGA,L,74.5968,166.1008,44.972,auto_other_outside_bbox,
251730,006.swc,CT,SL_DGA,SL_DGA,L,75.3488,165.7328,44.9928,auto_other_outside_bbox,
251730,007.swc,CT,SL_DGA,SL_DGA,L,75.802,164.6072,45.7128,auto_other_outside_bbox,
251730,008.swc,ITs,SL_DGA,SL_DGA,L,76.9832,164.744,45.9808,auto_other_outside_bbox,
251730,009.swc,PT,SL_DGA,SL_DGA,L,76.6672,164.318,44.8952,auto_other_outside_bbox,
251730,010.swc,Unclassified,SL_DGA,SL_DGA,L,74.9712,165.5232,45.9072,auto_other_outside_bbox,
251730,011.swc,Unclassified,SL_DGA,SL_DGA,L,75.3272,165.7288,46.5672,auto_other_outside_bbox,
251730,012.swc,ITs,SL_DGA,SL_DGA,L,75.174,165.342,47.0872,auto_other_outside_bbox,
251730,013.swc,Unclassified,SL_DGA,SL_DGA,L,76.29,164.7848,47.514,auto_other_outside_bbox,
251730,014.swc,Unclassified,SL_DGA,SL_DGA,L,75.6288,166.1408,48.224,auto_other_outside_bbox,
251730,015.swc,ITs,SL_DGA,SL_DGA,L,75.242,167.428,47.98,auto_other_outside_bbox,
251730,016.swc,Unclassified,SL_DGA,SL_DGA,L,74.672,168.4288,47.718,auto_other_outside_bbox,
251730,017.swc,Unclassified,SL_DGA,SL_DGA,L,77.1992,166.53,48.2568,auto_other_outside_bbox,
251730,018.swc,Unclassified,SL_DGA,SL_DGA,L,76.8808,166.51,43.5472,auto_other_outside_bbox,
