SampleID,NeuronID,Soma_Side,Soma_NII_X,Soma_NII_Y,Soma_NII_Z,nearest_subregion,distance_to_bbox,recovery_category
252385,070.swc,R,194.3171,218.5304,88.363,IAL,0.0,auto_PrCO_in_insula_bbox
252385,069.swc,R,194.7189,218.2082,87.289,IAL,0.0,auto_PrCO_in_insula_bbox
252385,068.swc,R,192.5548,216.725,86.502,IAL,0.0,auto_PrCO_in_insula_bbox
252385,067.swc,R,192.331,216.6004,85.088,IAL,0.0,auto_PrCO_in_insula_bbox
252385,071.swc,R,193.2608,218.5809,82.937,IAL,0.0,auto_PrCO_in_insula_bbox
252385,064.swc,R,192.83,216.7038,78.348,IAL,0.0,auto_PrCO_in_insula_bbox
252385,072.swc,R,193.5584,218.9249,83.371,IAL,0.21996599999999944,auto_PrCO_outside_bbox
252385,056.swc,R,195.1431,218.7842,85.362,IAL,0.2722238820162429,auto_PrCO_outside_bbox
252385,061.swc,R,195.9945,218.1859,80.675,IAL,1.1118279999999743,auto_PrCO_outside_bbox
252385,058.swc,R,195.9962,217.1767,85.644,IAL,1.1135279999999739,auto_PrCO_outside_bbox
252385,065.swc,R,195.023,219.9862,80.612,IAL,1.2889276590794243,auto_PrCO_outside_bbox
252385,053.swc,R,196.201,219.0492,88.17,IAL,1.3625372634683977,auto_PrCO_outside_bbox
252385,057.swc,R,195.6642,219.9139,86.244,IAL,1.4395779950874417,auto_PrCO_outside_bbox
252385,059.swc,R,196.3642,217.278,85.381,IAL,1.4815279999999973,auto_PrCO_outside_bbox
252385,060.swc,R,196.5034,218.5447,81.847,IAL,1.6207279999999855,auto_PrCO_outside_bbox
252385,062.swc,R,196.4725,219.3808,82.632,IAL,1.7275265322245923,auto_PrCO_outside_bbox
252385,054.swc,R,196.6544,218.8489,88.35,IAL,1.777567527589312,auto_PrCO_outside_bbox
252385,055.swc,R,196.1472,220.6792,89.273,IAL,2.3445164323459027,auto_PrCO_outside_bbox
252385,052.swc,R,197.2637,219.7364,86.017,IAL,2.5948442045602516,auto_PrCO_outside_bbox
252385,051.swc,R,197.4703,219.8913,85.933,IAL,2.8466265916589686,auto_PrCO_outside_bbox
252385,050.swc,R,198.7568,219.1785,84.903,IAL,3.9029645805131112,auto_PrCO_outside_bbox
