Soma_NII_X,Soma_NII_Y,NeuronID,Soma_NII_Z,Soma_Side,Soma_Region,Soma_Region_clean
192.7036,213.8664,001.swc,83.828,R,R-IAL,IAL
192.9288,213.9036,002.swc,83.6288,R,R-IAL,IAL
191.6996,215.7856,003.swc,83.052,R,R-IAL,IAL
191.9628,216.6584,004.swc,83.2328,R,R-IAL,IAL
191.818,216.3672,005.swc,82.3072,R,R-IAL,IAL
190.8492,216.0444,006.swc,82.41,R,R-IAL,IAL
190.1656,216.3204,007.swc,82.2312,R,R-IAL,IAL
189.8312,215.7388,008.swc,82.2672,R,R-IAL,IAL
189.8088,216.3748,009.swc,82.006,R,R-IAL,IAL
189.6796,217.6472,010.swc,81.9408,R,R-IAL,IAL
190.0888,217.4992,011.swc,82.172,R,R-IAL,IAL
189.0664,217.4512,012.swc,82.4528,R,R-IAL,IAL
187.556,216.86,013.swc,81.006,R,R-IAL,IAL
188.5892,216.0316,014.swc,80.448,R,R-IAL,IAL
188.548,216.1528,015.swc,79.9048,R,R-IAL,IAL
189.2612,216.88,016.swc,80.504,R,R-IAL,IAL
190.946,216.5864,017.swc,82.4832,R,R-IAL,IAL
191.2496,215.1964,018.swc,81.3672,R,R-IAL,IAL
192.0112,214.6016,019.swc,82.16,R,R-IAL,IAL
192.5488,214.9016,020.swc,82.18,R,R-IAL,IAL
192.2656,215.5436,021.swc,82.404,R,R-IAL,IAL
192.3764,215.4492,022.swc,81.3808,R,R-IAL,IAL
193.2292,217.4524,023.swc,81.2768,R,R-IAL,IAL
192.0352,217.6764,024.swc,81.152,R,R-IAL,IAL
192.5264,218.6192,025.swc,81.958,R,R-IAL,IAL
191.7852,218.7924,026.swc,82.9288,R,R-IAL,IAL
193.0152,217.7156,027.swc,82.3568,R,R-IAL,IAL
193.8492,216.6076,028.swc,83.242,R,R-IAL,IAL
193.3416,216.4336,029.swc,84.4272,R,R-IAL,IAL
194.1228,214.8928,030.swc,83.39,R,R-IAL,IAL
193.5548,214.958,031.swc,83.438,R,R-IAL,IAL
194.7116,216.9168,032.swc,82.668,R,R-IAL,IAL
195.0572,216.4576,033.swc,83.4552,R,R-IAL,IAL
193.9004,215.7588,034.swc,85.3368,R,R-IAL,IAL
192.7136,217.0748,035.swc,87.0888,R,R-IAL,IAL
192.2992,216.6168,036.swc,88.258,R,R-IAL,IAL
191.6184,217.5376,037.swc,88.3672,R,R-IAL,IAL
193.2712,217.1596,038.swc,88.5312,R,R-IAL,IAL
192.4532,216.3524,039.swc,87.5128,R,R-IAL,IAL
190.7596,218.4772,040.swc,87.4568,R,R-IAL,IAL
190.6848,218.0716,041.swc,87.4168,R,R-IAL,IAL
189.7132,218.318,042.swc,88.396,R,R-IAL,IAL
192.4856,217.5132,043.swc,85.706,R,R-IAL,IAL
190.7284,214.1356,044.swc,81.4728,R,R-IAL,IAL
189.3864,212.7516,045.swc,81.9912,R,R-IAL,IAL
189.052,212.2256,046.swc,81.8272,R,R-IAL,IAL
188.9412,213.6328,047.swc,81.5728,R,R-IAL,IAL
188.3532,214.7216,048.swc,80.4992,R,R-IAL,IAL
188.0004,214.982,049.swc,80.4592,R,R-IAL,IAL
188.4716,214.924,050.swc,81.5312,R,R-IAL,IAL
187.5956,215.1468,051.swc,82.3008,R,R-IAL,IAL
186.9008,216.7568,052.swc,82.284,R,R-IAL,IAL
188.1588,216.354,053.swc,84.166,R,R-IAL,IAL
189.0624,216.082,054.swc,83.952,R,R-IAL,IAL
190.324,215.8128,055.swc,84.92,R,R-IAL,IAL
190.0204,216.1248,056.swc,84.9848,R,R-IAL,IAL
190.1828,213.3236,057.swc,85.566,R,R-IAL,IAL
188.8068,213.8368,058.swc,86.386,R,R-IAL,IAL
187.5704,212.9916,059.swc,84.6152,R,R-IAL,IAL
187.7796,212.3628,060.swc,85.876,R,R-IAL,IAL
186.6432,213.4904,061.swc,85.332,R,R-IAL,IAL
186.8984,213.6072,062.swc,85.48,R,R-IAL,IAL
186.9016,214.944,063.swc,84.944,R,R-IAL,IAL
191.2144,214.9556,064.swc,88.454,R,R-IAL,IAL
190.8952,215.1232,065.swc,88.1848,R,R-IAL,IAL
190.622,213.8964,066.swc,89.6608,R,R-IAL,IAL
189.1192,213.2964,067.swc,88.9632,R,R-IAL,IAL
188.6504,212.2204,068.swc,88.7488,R,R-IAL,IAL
190.112,213.4912,069.swc,89.292,R,R-IAL,IAL
191.436,216.6936,070.swc,87.786,R,R-IAL,IAL
188.724,213.4104,071.swc,91.024,R,R-IAL,IAL
187.062,212.5496,072.swc,91.956,R,R-IAL,IAL
189.1536,213.4304,073.swc,83.7672,R,R-IAL,IAL
188.1564,213.9212,074.swc,83.3152,R,R-IAL,IAL
188.2768,213.6736,075.swc,82.794,R,R-IAL,IAL
188.7824,214.2172,076.swc,83.5872,R,R-IAL,IAL
188.5716,214.5752,077.swc,83.582,R,R-IAL,IAL
188.36,214.9868,078.swc,83.414,R,R-IAL,IAL
190.4196,217.3644,079.swc,81.7728,R,R-IAL,IAL
190.2424,216.424,080.swc,80.498,R,R-IAL,IAL
189.4536,214.73,081.swc,84.9808,R,R-IAL,IAL
186.8316,214.2708,082.swc,80.6952,R,R-IAL,IAL
186.7256,213.912,083.swc,80.3168,R,R-IAL,IAL
187.102,213.1056,084.swc,79.382,R,R-IAL,IAL
188.7904,213.2528,085.swc,79.5472,R,R-IAL,IAL
188.9444,213.1272,086.swc,80.1272,R,R-IAL,IAL
188.7648,215.4352,087.swc,79.7552,R,R-IAL,IAL
190.5024,213.2748,088.swc,79.458,R,R-IAL,IAL
189.9324,213.1136,089.swc,79.774,R,R-IAL,IAL
189.8048,213.5948,090.swc,80.5672,R,R-IAL,IAL
192.0276,213.7896,091.swc,85.8128,R,R-IAL,IAL
192.8348,214.0632,092.swc,85.8928,R,R-IAL,IAL
192.8732,214.496,093.swc,86.2968,R,R-IAL,IAL
193.4904,215.0448,094.swc,85.572,R,R-IAL,IAL
186.5224,215.9384,095.swc,80.776,R,R-IAL,IAL
204.5724,182.2472,096.swc,97.4288,R,R-IDD5,IDD5
204.3344,181.886,097.swc,97.5112,R,R-IDD5,IDD5
204.4024,181.664,098.swc,97.0592,R,R-IDD5,IDD5
205.4712,181.2192,099.swc,97.5088,R,R-IDD5,IDD5
205.7788,180.6008,100.swc,97.8128,R,R-IDD5,IDD5
206.3316,180.2552,101.swc,97.088,R,R-IDD5,IDD5
206.1832,179.872,102.swc,96.784,R,R-IDD5,IDD5
206.6016,179.102,103.swc,97.024,R,R-IDD5,IDD5
205.8384,178.3488,104.swc,97.528,R,R-IDD5,IDD5
208.4096,181.694,105.swc,98.67,R,R-IDD5,IDD5
207.9772,181.2208,106.swc,97.1248,R,R-IDD5,IDD5
208.4868,180.778,107.swc,97.5632,R,R-IDD5,IDD5
208.5392,179.8288,108.swc,97.8568,R,R-IDD5,IDD5
208.8848,179.47,109.swc,97.6368,R,R-IDD5,IDD5
208.286,179.1632,110.swc,97.846,R,R-IDD5,IDD5
209.2888,179.288,111.swc,97.4112,R,R-IDD5,IDD5
211.5384,178.426,112.swc,95.54,R,L-IDM,IDM
209.9568,180.296,113.swc,97.32,R,R-IDD5,IDD5
209.5244,185.2728,114.swc,97.744,R,L-IDD5,IDD5
211.4276,186.0032,116.swc,95.218,R,R-IDM,IDM
209.164,184.918,117.swc,95.16,R,R-IDM,IDM
208.2656,184.582,118.swc,95.0632,R,R-IDM,IDM
209.2676,184.1112,119.swc,94.6088,R,R-IDM,IDM
210.3352,185.5872,120.swc,93.9328,R,R-IDM,IDM
211.0116,185.988,121.swc,92.956,R,R-IDM,IDM
210.076,182.312,122.swc,94.8888,R,R-IDM,IDM
209.3956,182.5912,123.swc,94.278,R,R-IDM,IDM
209.0656,182.362,124.swc,93.58,R,R-IDM,IDM
209.2252,181.5008,125.swc,94.018,R,R-IDM,IDM
209.9764,180.49,126.swc,94.3408,R,R-IDM,IDM
208.0848,183.3368,127.swc,97.364,R,R-IDD5,IDD5
206.9324,183.594,128.swc,97.486,R,R-IDD5,IDD5
208.1848,184.6392,129.swc,96.9112,R,R-IDD5,IDD5
207.7908,185.1112,130.swc,98.0648,R,R-IDD5,IDD5
206.4272,184.5312,131.swc,96.1832,R,R-IDD5,IDD5
206.0072,184.348,132.swc,95.9,R,R-IDD5,IDD5
205.254,184.222,133.swc,94.7632,R,R-IDM,IDM
206.4684,183.4688,134.swc,95.262,R,R-IDM,IDM
203.9184,182.542,135.swc,95.8128,R,R-IDM,IDM
203.2028,183.202,136.swc,96.2728,R,R-IDD5,IDD5
204.3936,180.018,137.swc,93.9632,R,R-IDM,IDM
206.1056,179.3368,138.swc,94.206,R,R-IDM,IDM
205.4912,179.1952,139.swc,95.5248,R,R-IDM,IDM
204.3328,179.116,140.swc,95.9672,R,R-IDM,IDM
205.862,181.4848,141.swc,99.1752,R,R-IDD5,IDD5
206.3848,183.1048,142.swc,98.406,R,R-IDD5,IDD5
207.0116,184.468,143.swc,99.1872,R,R-IDD5,IDD5
204.6492,184.8968,144.swc,98.204,R,R-IDD5,IDD5
206.828,184.13,145.swc,98.104,R,R-IDD5,IDD5
211.8776,181.772,146.swc,93.3952,R,R-IDM,IDM
212.0136,182.4168,147.swc,92.7008,R,R-IDM,IDM
211.3808,182.2488,148.swc,92.238,R,R-IDM,IDM
208.5332,180.852,149.swc,92.326,R,R-IDM,IDM
208.372,180.8592,150.swc,92.3,R,R-IDM,IDM
208.018,179.6528,151.swc,93.264,R,R-IDM,IDM
207.2768,181.8832,152.swc,93.1,R,R-IDM,IDM
207.3596,182.8872,153.swc,92.484,R,R-IDM,IDM
206.7864,181.0968,154.swc,94.076,R,R-IDM,IDM
208.4984,181.3872,155.swc,94.8648,R,R-IDM,IDM
209.2352,181.034,156.swc,94.846,R,R-IDM,IDM
207.1588,176.626,157.swc,95.386,R,R-IDM,IDM
207.6988,181.826,158.swc,95.33,R,R-IDM,IDM
52.174,171.5592,392.swc,106.0664,L,L-IDD5,IDD5
51.454,170.882,393.swc,102.7544,L,L-IDD5,IDD5
51.8568,171.054,394.swc,103.156,L,L-IDD5,IDD5
52.634,172.3152,395.swc,104.0916,L,L-IDD5,IDD5
51.5472,170.44,396.swc,101.6064,L,L-IDD5,IDD5
50.5848,170.526,397.swc,102.238,L,L-IDD5,IDD5
52.302,170.224,398.swc,100.6656,L,L-IDD5,IDD5
52.606,171.226,399.swc,100.4492,L,L-IDD5,IDD5
53.9312,172.178,400.swc,101.3044,L,L-IDD5,IDD5
53.6272,173.0272,401.swc,101.5648,L,L-IDD5,IDD5
53.908,173.1072,402.swc,101.4776,L,L-IDD5,IDD5
54.1952,173.23,403.swc,102.15,L,L-IDD5,IDD5
54.3392,173.554,404.swc,101.6164,L,L-IDD5,IDD5
54.4752,171.772,405.swc,103.2928,L,L-IDD5,IDD5
54.034,171.3608,406.swc,103.0636,L,L-IDD5,IDD5
54.9432,170.5688,407.swc,103.53,L,L-IDD5,IDD5
54.6288,171.9712,408.swc,102.6524,L,L-IDD5,IDD5
55.038,173.376,409.swc,104.5616,L,L-IDD5,IDD5
53.722,173.088,410.swc,104.3064,L,L-IDD5,IDD5
51.8792,170.724,411.swc,105.126,L,L-IDD5,IDD5
52.3512,170.552,412.swc,103.7636,L,L-IDD5,IDD5
53.9152,171.866,413.swc,99.808,L,L-IDD5,IDD5
51.444,173.268,414.swc,98.9048,L,L-IDD5,IDD5
51.69,173.7648,415.swc,98.514,L,L-IDD5,IDD5
52.484,173.9288,416.swc,98.1168,L,L-IDD5,IDD5
51.4168,173.696,417.swc,97.2288,L,L-IDD5,IDD5
52.9032,173.4008,418.swc,96.5952,L,L-IDD5,IDD5
52.8808,173.8992,419.swc,96.2888,L,L-IDD5,IDD5
52.886,171.9312,420.swc,99.0448,L,L-IDD5,IDD5
54.016,171.47,421.swc,98.752,L,L-IDD5,IDD5
53.796,171.0112,422.swc,97.3048,L,L-IDD5,IDD5
53.9352,171.564,423.swc,97.4352,L,L-IDD5,IDD5
50.91,171.0688,424.swc,93.588,L,L-IDM,IDM
51.5472,171.8832,425.swc,93.7552,L,L-IDM,IDM
52.11,170.6888,426.swc,94.264,L,L-IDM,IDM
51.4072,170.826,427.swc,94.802,L,L-IDM,IDM
51.334,171.1808,428.swc,95.4472,L,L-IDM,IDM
51.034,171.126,429.swc,95.646,L,L-IDM,IDM
49.522,173.104,430.swc,96.8208,L,L-IDM,IDM
49.0792,171.88,431.swc,95.9032,L,L-IDM,IDM
51.034,172.07,432.swc,92.8248,L,L-IDM,IDM
50.81,173.2648,433.swc,92.3408,L,L-IDM,IDM
51.1632,173.0568,434.swc,91.3552,L,L-IDM,IDM
50.1008,174.0688,435.swc,92.0552,L,L-IDM,IDM
49.5552,173.468,436.swc,91.2488,L,L-IDM,IDM
50.148,175.0128,437.swc,90.9912,L,L-IDM,IDM
52.82,172.5768,438.swc,90.4808,L,L-IDM,IDM
53.2568,172.8072,439.swc,89.9952,L,L-IDM,IDM
55.124,172.488,440.swc,90.1072,L,L-IDM,IDM
52.0248,173.9408,441.swc,89.3688,L,L-IDV,IDV
52.264,173.518,442.swc,87.202,L,L-IDV,IDV
53.1512,171.212,443.swc,88.46,L,L-IDV,IDV
53.548,171.5368,444.swc,89.2488,L,L-IDM,IDM
51.0808,169.778,445.swc,89.2752,L,L-IDM,IDM
50.3632,169.8048,446.swc,89.8352,L,L-IDM,IDM
50.382,172.1768,447.swc,90.1912,L,L-IDM,IDM
48.858,172.7768,448.swc,90.308,L,L-IDM,IDM
49.164,171.3688,449.swc,91.3032,L,L-IDM,IDM
49.488,172.6608,450.swc,91.3432,L,L-IDM,IDM
51.602,173.452,451.swc,91.296,L,L-IDM,IDM
50.234,174.5272,452.swc,93.654,L,L-IDM,IDM
48.566,172.8328,453.swc,94.474,L,L-IDM,IDM
49.928,170.464,454.swc,93.904,L,L-IDM,IDM
51.052,169.934,455.swc,91.8832,L,L-IDM,IDM
51.1032,170.114,456.swc,92.104,L,L-IDM,IDM
52.73,171.028,457.swc,93.5568,L,L-IDM,IDM
52.972,173.736,458.swc,94.362,L,L-IDM,IDM
53.5,173.158,459.swc,91.086,L,L-IDM,IDM
53.6232,171.17,460.swc,92.4928,L,L-IDM,IDM
