I	J	Score	Match	NoMatch
67	67	0.236416	503701	2.84217e-12
30	30	0.492694	723906	3.38957e-10
84	84	0.28864	459509	-1.72804e-11
52	52	0.367424	664333	-1.76215e-11
159	159	0.33721	491421	-9.67475e-11
189	189	0.514186	832416	-1.29944e-10
92	92	0.308712	613927	1.90994e-11
191	191	0.221112	456521	1.31308e-10
156	156	0.344152	586954	-1.71553e-10
142	142	0.38729	586071	9.50422e-11
78	78	0.333619	585169	-2.25782e-10
112	112	0.0396352	166153	5.45697e-12
104	104	0.483085	650971	1.15278e-10
85	85	0.401054	680984	8.32188e-11
67	159	1.62498e+10	16492.7	481068
193	193	0.605557	851673	-7.01448e-11
84	52	3.23521e+09	63744.8	498176
83	83	0.353396	654688	1.76442e-10
30	67	3.61873e+09	79751.2	534053
159	58	1.63884e+10	30359.4	473852
52	30	3.1597e+09	71378.1	622742
92	84	1.19396e+09	61623.3	475095
189	92	1.86691e+10	27569	695602
191	189	2.33473e+09	107197	537271
21	21	0.675632	952193	-5.87761e-11
162	162	0.537149	941793	-2.27374e-13
142	191	6.15077e+09	55115.5	466180
156	142	3.63989e+09	57514.3	528998
195	195	0.50151	977484	1.94063e-10
67	58	4.99063e+09	31459.3	478892
61	61	0.612906	1.02305e+06	-3.68345e-11
84	30	3.36079e+09	70021.1	521687
159	86	1.61756e+10	21124.3	432151
30	159	1.95578e+10	51126	556538
78	112	1.2408e+09	13147.7	362513
52	67	5.54815e+09	32998.5	551018
112	156	1.42146e+10	31326.7	345227
189	84	1.82076e+10	42011.2	603951
92	52	4.16736e+09	56995.2	582135
191	92	1.43754e+10	23139.8	512084
67	86	8.27983e+08	64837.3	394577
85	104	2.29404e+09	62149.2	603828
142	189	7.38187e+09	138007	571237
104	78	1.34516e+09	129557	488513
156	191	7.72902e+09	25723.5	496014
193	85	2.16897e+10	23823.2	742505
84	67	1.21063e+09	58327.9	423277
62	62	0.995493	1.24796e+06	-2.64208e-10
207	207	0.730866	1.12598e+06	1.83945e-10
83	193	1.92714e+10	59455.5	693725
127	127	0.726068	1.01778e+06	-2.02817e-10
159	87	1.51215e+10	20174.3	443070
30	58	2.68727e+09	79709.2	540745
52	159	1.68011e+10	44161.5	533716
67	87	1.21915e+09	71240	398145
189	52	1.54539e+10	32224.2	716150
92	30	3.61428e+09	101076	567841
191	84	1.3098e+10	27724.3	430291
165	165	0.726006	992702	1.28694e-10
21	83	8.63874e+09	97006.5	706434
112	142	1.20316e+10	43059.7	333052
78	156	2.03527e+10	33401.5	552660
131	131	0.777164	964778	-2.85127e-10
143	143	0.747979	1.18285e+06	-3.25144e-10
84	159	1.68992e+10	27371.9	448093
156	189	9.2096e+09	36054.5	673631
128	128	0.734928	1.06269e+06	-1.71099e-10
142	92	1.75914e+10	43666.8	556332
159	89	1.36042e+10	26347.7	439749
52	58	2.82075e+09	85584	505083
67	89	1.37891e+09	60393.6	411843
30	86	3.34391e+09	115109	454408
189	30	1.85079e+10	70198.9	707962
92	67	1.25232e+09	80715.7	478098
40	40	0.725404	1.14531e+06	-1.16472e-10
85	78	1.36214e+09	105158	527919
192	192	0.859772	1.31562e+06	1325.86
162	195	8.519e+09	104516	855123
104	112	1.96268e+09	30089	378473
195	21	2.21874e+10	39318.1	925520
191	52	1.20117e+10	54402	506025
193	104	2.30268e+10	69004.9	682317
84	58	2.82681e+09	78419.9	409836
159	73	1.24532e+10	44350.7	413052
61	162	2.72683e+10	58940.8	923478
83	85	2.7335e+09	102510	565326
67	73	2.59446e+09	51932.9	411610
30	87	3.8057e+09	96002.3	483485
52	86	4.07324e+09	43937.9	495793
112	191	9.71315e+09	7827.57	303509
78	142	1.736e+10	70760.8	514859
156	92	2.04663e+10	24787.4	575653
142	84	1.60859e+10	65096.6	457693
189	67	1.70224e+10	21149.6	646909
92	159	1.85012e+10	20116.8	532557
191	30	1.4889e+10	60508.9	529705
84	86	6.46359e+08	74387.8	362931
159	102	1.63463e+10	105631	379631
21	193	2.16883e+10	44356	857577
62	127	3.58207e+10	92146.2	1.04072e+06
85	112	6.92268e+08	42933.7	380635
67	102	3.79932e+09	47078.5	444323
127	61	2.58254e+10	98400.3	922011
207	192	4.19578e+09	264584	956877
30	89	2.94039e+09	91545	490794
104	156	2.26482e+10	17851.8	601111
193	78	1.98173e+10	34264.4	684157
52	87	3.11874e+09	66777.3	482923
189	159	5.34134e+09	58597.4	603321
92	58	4.37507e+09	68396.5	497068
84	87	7.9381e+08	106781	340507
159	145	1.74592e+09	16449.5	448199
6	6	1.31163	1.77708e+06	2.25157e-10
191	67	1.30854e+10	19434.1	460677
156	84	1.92349e+10	41762.2	481469
83	104	1.96923e+09	124498	528332
142	52	1.65121e+10	82389.5	542812
112	189	1.57095e+10	49547.2	449737
195	83	1.97241e+10	22814.6	793271
78	191	1.37495e+10	28659.1	492186
67	145	1.57754e+10	16644.8	454144
162	21	2.65291e+10	39068.9	907924
165	131	7.56172e+09	140829	837911
131	62	3.82519e+10	120170	986200
30	73	5.68075e+09	74325.2	499320
143	128	3.91882e+09	200417	922356
159	133	2.46275e+09	75093.2	376399
52	89	3.09022e+09	76404.1	476148
84	89	1.30631e+09	69102.4	381038
92	86	9.781e+08	72175.3	442352
189	58	1.59608e+10	52879.2	621830
128	165	7.50578e+09	134222	893476
85	156	2.18699e+10	22732.4	611237
67	133	1.49521e+10	20563.1	437069
191	159	3.51298e+09	30288.7	443682
104	142	1.84338e+10	102091	516429
21	85	7.14343e+09	70940.2	745648
156	52	1.85929e+10	30682.7	594961
61	195	2.26449e+10	30860.2	969405
159	120	1.73734e+09	43027.5	364593
193	112	1.73773e+10	9516.65	499396
142	30	1.86089e+10	109581	545407
52	73	6.46816e+09	66298.3	477560
30	102	4.96824e+09	93396.4	508108
112	92	9.01597e+08	26224.6	363815
84	73	4.09241e+09	21509	419938
189	86	1.85232e+10	48409.1	575363
92	87	1.12583e+09	95661	428837
78	189	1.85279e+10	35493.4	673299
67	120	1.38797e+10	16498	397262
40	143	4.03484e+10	31110.7	1.13297e+06
83	78	1.44388e+09	177663	442266
68	68	0.851889	1.55119e+06	-3.82443e-10
127	162	5.95912e+09	80993.3	898792
191	58	1.18652e+10	25131.5	461630
192	40	2.74527e+10	20899.5	1.21023e+06
159	198	5.67227e+09	13642.9	474222
162	83	2.57115e+10	43816.8	754423
62	61	7.09107e+09	110108	1.0254e+06
30	145	1.94666e+10	38117.7	542774
52	102	4.83933e+09	22838.7	548879
84	102	3.19839e+09	58613.6	410692
156	30	2.16043e+10	42706.8	612723
195	193	3.93597e+09	87337.6	827241
85	142	1.86961e+10	62728.1	570799
189	87	1.54412e+10	19884.4	613858
92	89	9.74945e+08	79353.6	447995
142	67	1.59141e+10	43039.2	501847
104	191	1.58006e+10	19145	534601
207	40	2.93945e+10	13644.5	1.122e+06
67	198	1.2371e+10	24603.7	469401
191	86	1.29996e+10	12882	422943
193	156	8.20492e+09	24576.2	694737
159	0	1.35246e+10	18289.3	459230
21	104	8.94958e+09	46671.5	754910
84	145	1.6433e+10	26558.3	422134
112	84	6.57323e+08	33472.1	279359
30	133	1.85415e+10	60089.7	507645
78	92	1.38328e+09	90097.4	509451
52	145	1.65773e+10	17992	533113
189	89	1.35442e+10	26440.8	610153
92	73	3.75329e+09	85998.6	432657
83	112	2.94589e+09	35287.4	375133
67	0	4.21782e+09	52432.3	431227
163	163	1.19257	1.8128e+06	-1.56319e-10
61	21	7.47031e+09	132714	854905
191	87	1.13278e+10	31747.4	414047
84	133	1.53207e+10	45981.7	389554
159	174	1.89981e+09	69062.7	386696
156	67	1.77801e+10	17749.3	527578
142	159	3.4626e+09	83753	454993
131	127	6.4056e+09	87680.8	903597
85	191	1.57131e+10	18593.9	550158
165	62	2.89764e+10	154572	965760
30	120	1.71678e+10	67560.5	456302
189	73	1.45134e+10	68555.3	559345
104	189	2.11912e+10	50225.8	691468
6	207	3.19507e+10	59359.8	1.39217e+06
92	102	3.54928e+09	55726.2	490789
52	133	1.56286e+10	66294.8	471653
143	165	7.35931e+09	85080.9	1.0027e+06
162	193	8.17798e+09	41942.2	854791
193	142	8.35835e+09	89252.8	629619
84	120	1.38987e+10	38874.3	352790
67	174	1.52894e+10	17050.5	444848
112	52	3.7836e+09	10568.6	404674
191	89	1.02629e+10	37551	411095
195	85	2.19286e+10	24001.1	805233
159	9	1.59133e+10	56455.8	425967
128	131	5.16585e+09	121500	892236
78	84	1.35029e+09	95412.7	426926
189	102	1.71959e+10	73042	582717
21	78	7.56846e+09	62762.4	705919
92	145	1.8136e+10	20363.3	505538
30	198	1.24071e+10	52390.1	551717
84	198	1.16842e+10	44861	427048
156	159	2.06622e+09	26077.3	513110
52	120	1.48415e+10	45756.4	448320
83	156	2.05639e+10	48373.3	572448
142	58	1.63747e+10	75045.7	476491
127	195	6.77346e+09	163873	833757
67	9	4.24786e+09	14120.1	474442
191	73	1.11764e+10	74584.9	365368
85	189	2.01441e+10	24427.9	732272
159	69	1.36963e+10	37545	383253
207	143	1.39217e+10	65799.2	1.08861e+06
189	145	6.05838e+09	81677.7	553469
62	162	3.892e+10	39201	1.05568e+06
92	133	1.72423e+10	34248	478497
84	0	2.55283e+09	58928	402635
104	92	1.96284e+09	90630.8	541818
30	0	2.2589e+09	118451	475311
61	83	5.67984e+09	59898.5	778968
193	191	2.65109e+09	87973.5	566123
112	30	3.26407e+09	28840.2	416189
52	198	9.93255e+09	82518.4	491802
40	128	3.60125e+10	24027.7	1.07998e+06
67	69	1.58165e+09	30751.1	396187
191	102	1.26902e+10	78006.4	389805
78	52	4.30914e+09	50705.6	574045
192	143	1.45604e+10	116083	1.13382e+06
189	133	5.76472e+09	46960	575029
159	166	1.19993e+09	41912.3	400811
84	174	1.53719e+10	41331.8	398471
92	120	1.59315e+10	31974.4	436899
156	58	1.88295e+10	20968.8	531009
162	85	2.68018e+10	17232.8	794156
142	86	1.52812e+10	54067	446533
195	104	2.3934e+10	76742.9	737485
30	174	1.82333e+10	45729.8	526272
83	142	1.70755e+10	116264	504115
21	112	7.02764e+09	44375	514798
85	92	1.00423e+09	127081	520374
52	0	1.24059e+09	138290	425685
191	145	5.05877e+09	14171.9	433027
67	166	1.34381e+10	42606.7	406256
84	9	2.43804e+09	85754.9	380711
189	120	6.44947e+09	18330.4	559787
159	60	1.65796e+10	50226.8	434726
104	84	2.33154e+09	43830.7	511409
92	198	1.30233e+10	39660.5	509457
112	67	5.90622e+08	34703.5	300223
193	189	3.11418e+09	137805	704239
30	9	2.54156e+09	71734	526931
78	30	3.63982e+09	125418	529120
131	61	2.76399e+10	70080.8	923831
84	69	1.71883e+09	61824.3	343018
142	87	1.54036e+10	101879	408691
191	133	5.02201e+09	20939.7	413102
156	86	1.84797e+10	44472.5	456569
189	198	2.72713e+09	79659.5	578703
165	127	6.00576e+09	124337	880902
52	174	1.55389e+10	66057.7	476157
92	0	3.28984e+09	40446	498326
67	60	1.49783e+09	92731.7	398361
68	6	1.11812e+10	219827	1.44431e+06
159	154	1.15958e+09	6711.51	298332
61	193	2.28308e+10	67029.9	870329
6	192	2.77646e+10	103741	1.44327e+06
127	21	2.53335e+10	101517	883468
143	131	4.0283e+09	133113	940702
84	166	1.28812e+10	34043	392724
207	128	1.25215e+10	103732	990603
85	84	8.6632e+08	119872	450374
189	0	1.31025e+10	43506	604510
191	120	4.81918e+09	14882.2	375288
30	69	3.63783e+09	112007	425034
83	191	1.33594e+10	30393.3	525211
128	62	3.84495e+10	52963.6	1.10236e+06
92	174	1.73683e+10	31853.5	485158
162	104	2.85235e+10	26667.4	769714
104	52	5.49784e+09	20303.7	637348
52	9	2.02983e+09	61907.5	506971
21	156	2.3554e+10	76739.4	692834
67	154	1.15431e+10	17087.2	294096
159	96	1.49259e+10	35636.7	394370
195	78	2.01284e+10	27802.9	753524
62	195	3.39828e+10	76311	1.03641e+06
112	159	1.21457e+10	21547.9	307239
142	89	1.41733e+10	84719.5	428702
84	60	1.85317e+09	63470.5	405526
