NeuronID,SampleID,Neuron_Type,Soma_Region,soma_x,soma_y,soma_z
155.swc,251637,ITi,CR_Ia/Id,208.4984,181.3872,94.8648
156.swc,251637,ITi,CR_Ia/Id,209.23520000000002,181.034,94.846
157.swc,251637,PT,CR_Ia/Id,207.15879999999999,176.626,95.386
158.swc,251637,ITi,CR_Ia/Id,207.69879999999998,181.826,95.33
392.swc,251637,ITs,CL_Ig,52.174,171.5592,106.06639999999999
393.swc,251637,ITi,CL_Ig,51.454,170.882,102.75439999999999
394.swc,251637,ITi,CL_Ig,51.8568,171.054,103.156
395.swc,251637,ITi,CL_Ig,52.634,172.3152,104.0916
396.swc,251637,ITi,CL_Ig,51.5472,170.44,101.6064
397.swc,251637,ITi,CL_Ig,50.5848,170.526,102.238
