NeuronID,Neuron_Type,Soma_Region,soma_x,soma_y,soma_z
392.swc,ITs,CL_Ig,52.174,171.5592,106.0664
393.swc,ITi,CL_Ig,51.454,170.882,102.7544
394.swc,ITi,CL_Ig,51.8568,171.054,103.156
395.swc,ITi,CL_Ig,52.634,172.3152,104.0916
396.swc,ITi,CL_Ig,51.5472,170.44,101.6064
397.swc,ITi,CL_Ig,50.5848,170.526,102.238
398.swc,CT,CL_Ig,52.302,170.224,100.6656
399.swc,ITs,CL_Ig,52.606,171.226,100.4492
400.swc,CT,CL_Ig,53.9312,172.178,101.3044
401.swc,ITs,CL_Ig,53.62719999999999,173.0272,101.5648
402.swc,ITs,CL_Ig,53.908,173.1072,101.4776
403.swc,ITi,CL_Ig,54.1952,173.23,102.15
404.swc,ITi,CL_Ig,54.3392,173.554,101.6164
405.swc,ITs,CL_Ig,54.47519999999999,171.772,103.2928
406.swc,ITi,CL_Ig,54.034,171.3608,103.0636
407.swc,ITi,CL_Ig,54.9432,170.5688,103.53
408.swc,ITi,CL_Ig,54.62880000000001,171.9712,102.6524
409.swc,ITs,CL_Ig,55.038,173.376,104.5616
410.swc,ITi,CL_Ig,53.722,173.088,104.3064
411.swc,ITi,CL_Ig,51.8792,170.724,105.126
