NeuronID,Cluster
211,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
142,1
141,1
140,1
139,1
210,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
162,1
128,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
129,1
164,1
163,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
165,1
188,1
187,1
186,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
176,1
209,1
104,2
102,2
118,2
96,2
0,2
105,2
78,2
79,2
69,2
68,2
83,2
84,2
85,2
86,2
87,2
67,2
89,2
21,2
73,2
62,2
61,2
30,2
58,2
49,2
95,2
40,2
9,2
92,2
60,2
6,2
5,2
52,2
38,3
31,3
32,3
44,3
33,3
42,3
41,3
34,3
35,3
36,3
39,3
43,3
37,3
26,3
28,3
1,3
2,3
3,3
4,3
7,3
8,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
22,3
23,3
24,3
25,3
45,3
27,3
29,3
46,3
97,3
48,3
91,3
117,3
116,3
115,3
114,3
113,3
112,3
111,3
110,3
119,3
109,3
107,3
106,3
93,3
103,3
94,3
101,3
100,3
99,3
98,3
108,3
47,3
90,3
82,3
50,3
51,3
53,3
54,3
55,3
57,3
59,3
63,3
64,3
88,3
65,3
70,3
71,3
72,3
74,3
75,3
76,3
77,3
80,3
81,3
66,3
56,3
