id,type,x,y,z,x_nii,y_nii,z_nii,radius,parent,is_terminal,order
1,1,18369.8,37647.2,39665.6,73.4792,150.5888,158.6624,3.8477,-1,0,0
2,0,18369.0,37638.2,39664.3,73.476,150.5528,158.6572,3.1406,1,0,1
3,0,18366.2,37635.0,39666.3,73.4648,150.54,158.6652,1.3555,2,0,1
4,0,18360.8,37629.5,39666.4,73.4432,150.518,158.6656,1.2461,3,0,1
5,0,18370.2,37658.2,39669.8,73.4808,150.6328,158.6792,0.0703,1,0,1
6,0,18370.2,37663.8,39677.7,73.4808,150.6552,158.7108,2.168,5,0,1
7,0,18371.2,37657.2,39679.3,73.4848,150.6288,158.7172,0.0039,6,0,1
8,0,18371.2,37677.2,39671.4,73.4848,150.7088,158.6856,1.3555,1,0,1
9,0,18371.8,37671.5,39670.7,73.4872,150.686,158.6828,0.0156,1,0,1
10,0,18375.0,37673.5,39669.0,73.5,150.694,158.676,1.625,9,0,1
11,0,18378.2,37681.2,39667.8,73.5128,150.7248,158.6712,1.3008,10,0,1
12,0,18380.0,37687.5,39668.8,73.52,150.75,158.6752,0.9766,11,0,1
13,0,18383.0,37698.0,39669.8,73.532,150.792,158.6792,0.0039,12,0,1
14,0,18387.0,37707.0,39672.0,73.548,150.828,158.688,0.8125,13,0,1
15,0,18390.8,37711.5,39673.9,73.5632,150.846,158.6956,0.3242,14,0,1
16,0,18394.5,37720.0,39676.8,73.578,150.88,158.7072,0.3789,15,0,1
17,0,18396.8,37722.8,39676.7,73.5872,150.8912,158.7068,1.2461,16,0,1
18,0,18399.5,37734.2,39674.3,73.598,150.9368,158.6972,0.0078,17,0,1
19,0,18401.8,37740.0,39673.9,73.6072,150.96,158.6956,1.082,18,0,1
20,0,18406.8,37742.8,39673.1,73.6272,150.9712,158.6924,1.1367,19,0,1
21,0,18407.8,37750.8,39673.0,73.6312,151.0032,158.692,0.9219,20,0,1
22,0,18407.8,37761.8,39676.4,73.6312,151.0472,158.7056,0.0273,21,0,1
23,0,18410.2,37767.2,39680.8,73.6408,151.0688,158.7232,0.8125,22,0,1
24,0,18412.2,37769.2,39684.8,73.6488,151.0768,158.7392,0.7578,23,0,1
25,0,18416.5,37776.0,39688.1,73.666,151.104,158.7524,0.0039,24,0,1
26,0,18419.8,37776.5,39692.1,73.6792,151.106,158.7684,0.8125,25,0,1
27,0,18420.8,37779.8,39696.0,73.6832,151.1192,158.784,0.543,26,0,1
28,0,18422.2,37779.5,39704.7,73.6888,151.118,158.8188,0.7031,27,0,1
29,0,18422.8,37784.8,39708.5,73.6912,151.1392,158.834,0.0039,28,0,1
30,0,18421.0,37796.0,39709.5,73.684,151.184,158.838,0.6484,29,0,1
31,0,18419.5,37803.2,39707.8,73.678,151.2128,158.8312,0.7031,30,0,1
32,0,18419.0,37806.0,39707.9,73.676,151.224,158.8316,0.0195,31,0,1
33,0,18414.2,37812.8,39709.5,73.6568,151.2512,158.838,0.9219,32,0,1
34,0,18413.8,37820.0,39710.5,73.6552,151.28,158.842,0.0273,33,0,1
35,0,18409.5,37821.0,39709.2,73.638,151.284,158.8368,1.625,34,0,1
36,0,18406.8,37822.2,39704.7,73.6272,151.2888,158.8188,0.5977,35,0,1
37,0,18405.8,37826.8,39703.8,73.6232,151.3072,158.8152,0.0039,36,0,1
38,0,18402.2,37832.8,39701.3,73.6088,151.3312,158.8052,0.3242,37,0,1
39,0,18401.0,37840.8,39702.8,73.604,151.3632,158.8112,0.9219,38,0,1
40,0,18400.2,37844.8,39704.0,73.6008,151.3792,158.816,0.0508,39,0,1
41,0,18399.2,37838.0,39703.1,73.5968,151.352,158.8124,0.0039,40,0,1
42,0,18394.2,37834.2,39704.2,73.5768,151.3368,158.8168,0.3242,41,0,1
43,0,18392.5,37825.8,39702.8,73.57,151.3032,158.8112,0.6484,42,0,1
44,0,18389.2,37822.5,39704.7,73.5568,151.29,158.8188,0.0117,43,0,1
45,0,18379.2,37824.2,39698.3,73.5168,151.2968,158.7932,1.625,44,0,1
46,0,18374.8,37822.8,39695.0,73.4992,151.2912,158.78,1.3008,45,0,1
47,0,18372.5,37819.0,39694.0,73.49,151.276,158.776,0.1445,46,0,1
48,0,18365.2,37816.2,39692.3,73.4608,151.2648,158.7692,1.0273,47,0,1
49,0,18360.2,37811.2,39691.2,73.4408,151.2448,158.7648,0.4883,48,0,1
50,0,18358.2,37809.2,39690.8,73.4328,151.2368,158.7632,0.0117,49,1,1
51,0,18373.5,37649.5,39662.9,73.494,150.598,158.6516,0.5,1,0,1
52,0,18377.2,37651.2,39660.2,73.5088,150.6048,158.6408,0.5,51,0,1
53,0,18353.2,37627.2,39662.0,73.4128,150.5088,158.648,0.0078,4,0,2
54,0,18348.5,37628.0,39656.3,73.394,150.512,158.6252,1.0273,53,0,2
55,0,18346.0,37631.2,39652.8,73.384,150.5248,158.6112,1.0273,54,0,2
56,0,18356.2,37621.8,39665.2,73.4248,150.4872,158.6608,1.2461,4,0,2
57,0,18348.2,37613.8,39664.0,73.3928,150.4552,158.656,0.7031,56,0,2
58,0,18342.0,37603.5,39661.8,73.368,150.414,158.6472,0.4883,57,0,2
59,0,18336.8,37588.0,39659.2,73.3472,150.352,158.6368,0.0078,58,0,2
60,0,18333.0,37584.2,39657.4,73.332,150.3368,158.6296,1.9492,59,0,2
61,0,18374.5,37654.8,39683.1,73.498,150.6192,158.7324,0.9219,7,0,2
62,0,18378.0,37652.8,39691.9,73.512,150.6112,158.7676,0.7031,61,0,2
63,0,18374.0,37659.2,39681.5,73.496,150.6368,158.726,0.9219,7,0,2
64,0,18374.5,37667.2,39686.5,73.498,150.6688,158.746,0.9219,63,0,2
65,0,18375.5,37668.0,39690.6,73.502,150.672,158.7624,0.9766,64,0,2
66,0,18375.0,37666.2,39697.4,73.5,150.6648,158.7896,0.0078,65,0,2
67,0,18372.8,37674.0,39705.2,73.4912,150.696,158.8208,0.3242,66,0,2
68,0,18373.2,37681.2,39709.5,73.4928,150.7248,158.838,0.0039,67,0,2
69,0,18374.8,37689.2,39712.0,73.4992,150.7568,158.848,0.7578,68,0,2
70,0,18386.5,37689.0,39723.3,73.546,150.756,158.8932,1.4609,69,0,2
71,0,18389.2,37689.0,39725.7,73.5568,150.756,158.9028,0.082,70,0,2
72,0,18390.8,37688.5,39728.0,73.5632,150.754,158.912,0.7031,71,1,2
73,0,18371.0,37687.0,39670.1,73.484,150.748,158.6804,1.8398,8,0,2
74,0,18368.8,37678.5,39676.0,73.4752,150.714,158.704,0.0039,8,0,2
75,0,18368.0,37685.0,39678.7,73.472,150.74,158.7148,1.4609,74,0,2
76,0,18366.0,37688.5,39680.2,73.464,150.754,158.7208,0.082,75,0,2
77,0,18361.8,37689.0,39683.3,73.4472,150.756,158.7332,0.6484,76,0,2
78,0,18355.0,37696.2,39681.9,73.42,150.7848,158.7276,0.0039,77,0,2
79,0,18352.8,37701.0,39682.0,73.4112,150.804,158.728,1.2461,78,0,2
80,0,18350.2,37700.8,39679.8,73.4008,150.8032,158.7192,0.0469,79,0,2
81,0,18349.0,37703.2,39674.1,73.396,150.8128,158.6964,0.8125,80,0,2
82,0,18348.0,37709.5,39673.6,73.392,150.838,158.6944,0.8672,81,0,2
83,0,18346.0,37713.5,39671.7,73.384,150.854,158.6868,0.9766,82,0,2
84,0,18344.8,37715.8,39664.1,73.3792,150.8632,158.6564,0.0039,83,0,2
85,0,18344.5,37719.0,39663.4,73.378,150.876,158.6536,0.6484,84,0,2
86,0,18344.5,37732.0,39663.4,73.378,150.928,158.6536,0.0039,85,0,2
87,0,18344.5,37737.8,39661.1,73.378,150.9512,158.6444,1.1367,86,0,2
88,0,18345.5,37744.0,39660.6,73.382,150.976,158.6424,0.0195,87,1,2
89,0,18379.0,37658.5,39661.6,73.516,150.634,158.6464,0.0195,52,0,2
90,0,18381.0,37663.2,39660.2,73.524,150.6528,158.6408,0.8672,89,0,2
91,0,18384.0,37664.8,39658.3,73.536,150.6592,158.6332,0.9766,90,0,2
92,0,18378.2,37649.0,39655.9,73.5128,150.596,158.6236,0.0039,52,0,2
93,0,18342.8,37633.0,39647.0,73.3712,150.532,158.588,1.8398,55,0,3
94,0,18337.2,37636.0,39638.2,73.3488,150.544,158.5528,0.0039,93,0,3
95,0,18336.5,37639.2,39637.6,73.346,150.5568,158.5504,1.1914,94,0,3
96,0,18344.8,37630.2,39658.5,73.3792,150.5208,158.634,0.0039,55,0,3
97,0,18339.0,37630.8,39658.3,73.356,150.5232,158.6332,1.5156,96,0,3
98,0,18337.0,37635.0,39659.4,73.348,150.54,158.6376,0.6484,97,0,3
99,0,18334.0,37644.0,39662.4,73.336,150.576,158.6496,0.0039,98,0,3
100,0,18325.5,37648.5,39664.4,73.302,150.594,158.6576,0.6484,99,0,3
101,0,18324.2,37651.2,39664.7,73.2968,150.6048,158.6588,0.6484,100,0,3
102,0,18313.0,37652.2,39667.4,73.252,150.6088,158.6696,0.0078,101,0,3
103,0,18307.0,37657.2,39669.4,73.228,150.6288,158.6776,0.3242,102,0,3
104,0,18297.5,37655.8,39669.5,73.19,150.6232,158.678,0.4883,103,0,3
105,0,18289.8,37656.8,39673.0,73.1592,150.6272,158.692,0.0039,104,0,3
106,0,18286.0,37653.2,39674.2,73.144,150.6128,158.6968,0.6484,105,0,3
107,0,18276.8,37658.5,39680.2,73.1072,150.634,158.7208,0.5977,106,0,3
108,0,18274.0,37663.2,39680.9,73.096,150.6528,158.7236,0.6484,107,0,3
109,0,18273.0,37666.2,39681.4,73.092,150.6648,158.7256,0.1094,108,0,3
110,0,18267.8,37667.5,39680.1,73.0712,150.67,158.7204,0.4336,109,0,3
111,0,18262.2,37663.0,39678.4,73.0488,150.652,158.7136,0.7031,110,0,3
112,0,18261.8,37660.0,39679.4,73.0472,150.64,158.7176,0.5977,111,0,3
113,0,18330.8,37577.5,39654.9,73.3232,150.31,158.6196,0.0195,60,0,3
114,0,18334.8,37581.8,39663.0,73.3392,150.3272,158.652,0.0039,60,0,3
115,0,18334.8,37576.5,39663.8,73.3392,150.306,158.6552,0.543,114,0,3
116,0,18378.5,37648.0,39699.2,73.514,150.592,158.7968,1.4609,62,0,3
117,0,18381.8,37658.5,39700.1,73.5272,150.634,158.8004,0.6484,62,0,3
118,0,18371.0,37694.5,39671.0,73.484,150.778,158.684,0.1523,73,0,3
119,0,18371.8,37699.5,39668.3,73.4872,150.798,158.6732,0.8672,118,0,3
120,0,18374.5,37702.0,39665.2,73.498,150.808,158.6608,0.7578,119,0,3
121,0,18378.5,37704.8,39664.5,73.514,150.8192,158.658,0.9766,120,0,3
122,0,18379.8,37710.0,39664.5,73.5192,150.84,158.658,1.3008,121,0,3
123,0,18368.8,37692.0,39671.8,73.4752,150.768,158.6872,0.0703,73,0,3
124,0,18391.8,37671.2,39655.8,73.5672,150.6848,158.6232,1.1914,91,0,3
125,0,18383.8,37667.8,39653.3,73.5352,150.6712,158.6132,0.0117,91,0,3
126,0,18386.0,37674.5,39649.3,73.544,150.698,158.5972,0.9766,125,0,3
127,0,18388.5,37678.8,39642.7,73.554,150.7152,158.5708,0.8672,126,0,3
128,0,18394.2,37683.8,39628.4,73.5768,150.7352,158.5136,0.0078,127,0,3
129,0,18396.0,37692.8,39624.4,73.584,150.7712,158.4976,0.5977,128,0,3
130,0,18396.5,37700.2,39624.9,73.586,150.8008,158.4996,0.7031,129,1,3
131,0,18384.5,37644.0,39648.7,73.538,150.576,158.5948,0.4336,92,0,3
132,0,18386.5,37636.2,39645.6,73.546,150.5448,158.5824,0.543,131,0,3
133,0,18390.0,37635.0,39640.6,73.56,150.54,158.5624,1.0273,132,0,3
134,0,18398.2,37638.0,39629.5,73.5928,150.552,158.518,0.6484,133,0,3
135,0,18406.0,37640.0,39621.8,73.624,150.56,158.4872,0.9766,134,0,3
136,0,18408.0,37633.8,39618.6,73.632,150.5352,158.4744,0.0078,135,0,3
