id,type,x,y,z,x_nii,y_nii,z_nii,radius,parent,is_terminal,order
1,1,51789.7,44156.5,23846.5,207.1588,176.626,95.386,4.1172,-1,0,0
2,2,51783.2,44158.0,23843.5,207.1328,176.632,95.374,1.0273,1,0,1
3,2,51766.5,44158.8,23841.8,207.066,176.6352,95.3672,0.9219,2,0,1
4,2,51760.2,44161.0,23841.2,207.0408,176.644,95.3648,0.8125,3,0,1
5,2,51750.4,44162.2,23840.2,207.0016,176.6488,95.3608,0.9219,4,0,1
6,2,51744.8,44164.8,23840.5,206.9792,176.6592,95.362,0.9219,5,0,1
7,2,51729.7,44165.5,23838.8,206.9188,176.662,95.3552,0.9219,6,0,1
8,2,51700.7,44167.0,23834.0,206.8028,176.668,95.336,0.5977,7,0,1
9,2,51685.0,44168.5,23833.2,206.74,176.674,95.3328,0.5977,8,0,1
10,2,51680.6,44169.2,23835.0,206.7224,176.6768,95.34,0.9766,9,0,1
11,2,51662.3,44168.8,23835.5,206.6492,176.6752,95.342,0.4883,10,0,1
12,2,51650.0,44168.8,23834.2,206.6,176.6752,95.3368,0.4883,11,0,1
13,2,51641.2,44166.5,23833.2,206.5648,176.666,95.3328,0.0039,12,0,1
14,2,51618.5,44163.8,23832.2,206.474,176.6552,95.3288,0.4883,13,0,1
15,2,51607.9,44161.5,23831.5,206.4316,176.646,95.326,0.8125,14,0,1
16,2,51597.5,44161.2,23830.2,206.39,176.6448,95.3208,0.0039,15,0,1
17,2,51584.1,44161.5,23827.5,206.3364,176.646,95.31,0.9766,16,0,1
18,2,51576.6,44159.8,23825.2,206.3064,176.6392,95.3008,0.4883,17,0,1
19,3,51793.2,44150.8,23846.2,207.1728,176.6032,95.3848,2.6016,1,0,1
20,3,51788.3,44150.0,23842.5,207.1532,176.6,95.37,2.168,19,0,1
21,3,51787.7,44150.2,23838.2,207.1508,176.6008,95.3528,3.3047,20,0,1
22,3,51784.7,44154.0,23836.2,207.1388,176.616,95.3448,0.0039,21,0,1
23,3,51814.9,44155.2,23851.0,207.2596,176.6208,95.404,6.9336,1,0,1
24,3,51821.8,44152.8,23850.0,207.2872,176.6112,95.4,3.6289,23,0,1
25,3,51821.6,44149.0,23850.5,207.2864,176.596,95.402,4.1719,24,0,1
26,3,51829.3,44147.2,23853.2,207.3172,176.5888,95.4128,0.0039,25,0,1
27,3,51842.2,44147.5,23853.8,207.3688,176.59,95.4152,3.5742,26,0,1
28,3,51790.1,44166.2,23849.2,207.1604,176.6648,95.3968,0.0781,1,0,1
29,3,51785.5,44173.8,23850.0,207.142,176.6952,95.4,0.9766,28,0,1
30,3,51783.7,44179.8,23850.5,207.1348,176.7192,95.402,0.8125,29,0,1
31,3,51784.2,44184.2,23851.8,207.1368,176.7368,95.4072,0.7031,30,0,1
32,3,51788.9,44161.0,23853.2,207.1556,176.644,95.4128,0.0039,1,0,1
33,3,51783.3,44166.2,23856.8,207.1332,176.6648,95.4272,0.7578,32,0,1
34,3,51775.8,44170.5,23859.8,207.1032,176.682,95.4392,0.7578,33,0,1
35,3,51773.6,44173.0,23861.5,207.0944,176.692,95.446,0.0195,34,0,1
36,3,51792.6,44158.5,23856.0,207.1704,176.634,95.424,1.0273,1,0,1
37,3,51787.3,44157.2,23859.2,207.1492,176.6288,95.4368,0.0039,36,0,1
38,3,51783.6,44159.0,23861.8,207.1344,176.636,95.4472,0.6484,37,0,1
39,3,51782.9,44161.8,23862.8,207.1316,176.6472,95.4512,0.8125,38,0,1
40,3,51798.9,44156.2,23846.8,207.1956,176.6248,95.3872,10.7773,1,0,1
41,3,51801.2,44155.0,23843.2,207.2048,176.62,95.3728,6.7148,40,0,1
42,3,51806.0,44153.8,23840.8,207.224,176.6152,95.3632,0.9219,41,0,1
43,3,51812.9,44153.5,23834.0,207.2516,176.614,95.336,0.0039,42,0,1
44,3,51820.1,44147.5,23825.5,207.2804,176.59,95.302,0.8125,43,0,1
45,3,51827.1,44145.5,23820.2,207.3084,176.582,95.2808,0.5977,44,0,1
46,3,51835.2,44140.2,23815.2,207.3408,176.5608,95.2608,0.4336,45,0,1
47,3,51847.7,44129.8,23808.2,207.3908,176.5192,95.2328,0.8125,46,0,1
