I	J	Score	Match	NoMatch
19	19	0.00629503	14269.8	4.54747e-13
19	16	4.0315e+06	1559.69	10308.6
19	13	6.23e+06	1529.72	8945.67
18	18	0.0418356	53945.9	7.67386e-12
1	1	0.0063536	11079.6	9.66338e-13
13	13	0.00220458	6681.01	9.09495e-13
18	1	7.60218e+07	14084.1	18428.7
1	19	1.54217e+07	2681.18	9993.53
16	16	0.0039898	9466.83	-7.95808e-13
16	13	2.78962e+06	799.009	7274.91
1	16	1.05291e+07	1663.8	8609.43
1	13	6.34417e+06	804.384	8075.94
18	19	5.34755e+07	6395.28	27712.5
18	16	5.6944e+07	14512.8	17193.6
18	13	6.24923e+07	13933.3	16380.1
10	10	0.0451761	78258.5	-1.33582e-11
14	14	0.0804466	120045	-2.10321e-12
12	12	0.082489	123934	3.41061e-12
15	15	0.0514527	72008.8	8.18545e-12
15	18	1.14443e+08	12779.9	50197.4
10	15	1.48959e+08	4687.65	70446
15	1	1.26685e+08	4296.83	37247.4
17	17	0.0643808	128748	-1.23919e-11
15	19	9.39573e+07	10275.3	32864
14	10	4.95239e+08	7456.62	91695.1
7	7	0.191971	165777	-9.66338e-12
15	16	9.63687e+07	4530.24	36207.6
12	14	7.53197e+08	11995.1	109994
10	18	8.82132e+07	10524.4	55577.8
15	13	1.09025e+08	5119.78	34225.1
2	2	0.15336	194209	-3.46745e-12
10	1	4.98776e+07	6855.71	37813.4
10	19	7.64796e+07	7612.52	38651.6
4	4	0.0910988	171588	2.79101e-11
3	3	0.125657	209437	537.513
10	16	6.65342e+07	6851.21	37011.5
10	13	6.12786e+07	5189.14	37280.6
14	15	2.86963e+08	44545.6	51481.3
17	12	3.30557e+08	44543.2	81797.7
12	10	3.24178e+08	14347.9	86748.4
14	18	4.7316e+08	7377.68	79617.7
14	1	5.00994e+08	31311.4	34250.9
14	19	4.25384e+08	32231.8	34925.5
7	17	9.66713e+08	17029.8	130232
17	14	6.44722e+08	32765	91631.2
14	16	4.57485e+08	29133.4	35622.4
