id,type,x,y,z,x_nii,y_nii,z_nii,radius,parent,is_terminal,order
1,1,47924.9,53946.4,20763.0,252.2363,890.7211,396.0716,1.0977,-1,0,0
2,3,47925.2,53957.1,20766.8,252.2379,890.7011,396.0153,0.0039,1,0,1
3,3,47925.9,53964.1,20772.0,252.2416,890.6737,395.9784,0.7578,2,0,1
4,3,47921.8,53940.5,20761.5,252.22,890.7289,396.1026,0.0586,1,0,1
5,3,47921.3,53945.6,20762.8,252.2174,890.7221,396.0758,5.7969,4,0,1
6,3,47921.2,53947.3,20767.8,252.2168,890.6958,396.0668,3.5195,5,0,1
7,3,47921.4,53942.9,20777.0,252.2179,890.6474,396.09,1.4102,6,0,1
8,3,47921.2,53943.8,20780.5,252.2168,890.6289,396.0853,1.1914,7,0,1
9,3,47924.9,53947.2,20763.8,252.2363,890.7168,396.0674,0.0625,1,0,1
10,3,47922.8,53947.5,20768.0,252.2253,890.6947,396.0658,3.3047,9,0,1
11,3,47917.2,53944.6,20772.2,252.1958,890.6726,396.0811,2.168,10,0,1
12,3,47912.5,53944.2,20774.8,252.1711,890.6589,396.0832,0.4336,11,0,1
13,3,47910.3,53948.2,20776.0,252.1595,890.6526,396.0621,0.7031,12,0,1
14,3,47916.6,53938.4,20761.0,252.1926,890.7316,396.1137,0.043,1,0,1
15,3,47911.9,53935.1,20761.2,252.1679,890.7305,396.1311,1.082,14,0,1
16,3,47904.6,53932.6,20762.2,252.1295,890.7253,396.1442,0.0078,15,0,1
17,3,47899.7,53931.7,20762.8,252.1037,890.7221,396.1489,1.2461,16,0,1
18,3,47924.5,53939.9,20754.2,252.2342,890.7674,396.1058,0.0039,1,0,1
19,3,47927.6,53932.2,20752.8,252.2505,890.7747,396.1463,4.8203,18,0,1
20,3,47930.0,53932.5,20747.2,252.2632,890.8042,396.1447,0.8125,19,0,1
21,3,47929.6,53935.1,20742.0,252.2611,890.8316,396.1311,1.3008,20,0,1
22,3,47928.8,53928.8,20738.8,252.2568,890.8484,396.1642,0.0117,21,0,1
23,3,47930.8,53941.7,20763.5,252.2674,890.7184,396.0963,0.5,1,0,1
24,3,47938.4,53942.6,20765.8,252.3074,890.7063,396.0916,0.5,23,0,1
25,3,47944.3,53942.0,20769.5,252.3384,890.6868,396.0947,0.0078,24,0,1
26,3,47947.7,53939.2,20771.8,252.3563,890.6747,396.1095,0.3789,25,0,1
27,3,47922.6,53934.0,20756.8,252.2242,890.7537,396.1368,0.0078,1,0,1
28,3,47929.0,53931.9,20756.0,252.2579,890.7579,396.1479,6.7148,27,0,1
29,3,47931.3,53934.1,20751.8,252.27,890.78,396.1363,3.6836,28,0,1
30,3,47933.2,53928.5,20748.8,252.28,890.7958,396.1658,0.4883,29,0,1
31,3,47932.8,53918.7,20746.8,252.2779,890.8063,396.2174,2.168,30,0,1
32,3,47932.9,53911.1,20745.0,252.2784,890.8158,396.2574,0.0586,31,0,1
33,3,47923.9,53943.0,20754.8,252.2311,890.7642,396.0895,0.0078,1,0,1
34,3,47928.2,53944.8,20752.2,252.2537,890.7779,396.08,1.8945,33,0,1
35,3,47932.4,53943.7,20751.2,252.2758,890.7832,396.0858,3.1953,34,0,1
36,3,47934.9,53938.7,20749.0,252.2889,890.7947,396.1121,0.3242,35,0,1
37,3,47937.7,53936.4,20746.2,252.3037,890.8095,396.1242,0.6484,36,0,1
38,3,47940.3,53932.6,20743.2,252.3174,890.8253,396.1442,1.082,37,0,1
39,3,47944.9,53931.2,20739.5,252.3416,890.8447,396.1516,1.5703,38,0,1
40,3,47950.2,53933.4,20736.5,252.3695,890.8605,396.14,2.2734,39,0,1
41,3,47952.9,53934.9,20734.2,252.3837,890.8726,396.1321,0.0195,40,0,1
42,2,47924.8,53945.1,20763.0,252.2358,890.7211,396.0784,5.7422,1,0,1
43,2,47923.1,53947.5,20767.5,252.2268,890.6974,396.0658,1.3555,42,0,1
44,2,47919.1,53946.3,20773.0,252.2058,890.6684,396.0721,1.7891,43,0,1
45,2,47909.6,53944.8,20781.8,252.1558,890.6221,396.08,0.8125,44,0,1
46,2,47904.9,53945.6,20785.8,252.1311,890.6011,396.0758,0.8125,45,0,1
47,2,47897.1,53943.1,20792.2,252.09,890.5674,396.0889,0.0156,46,0,1
48,2,47890.0,53944.3,20798.8,252.0526,890.5326,396.0826,0.7578,47,0,1
49,2,47890.2,53950.8,20800.0,252.0537,890.5263,396.0484,0.6484,48,0,1
50,2,47887.2,53951.0,20803.8,252.0379,890.5063,396.0474,0.6484,49,0,1
51,2,47881.9,53948.0,20809.8,252.01,890.4747,396.0632,0.8672,50,0,1
52,2,47880.0,53950.4,20813.0,252.0,890.4579,396.0505,0.7578,51,0,1
53,2,47875.0,53950.1,20817.2,251.9737,890.4358,396.0521,0.8672,52,0,1
54,2,47871.1,53947.6,20822.2,251.9532,890.4095,396.0653,0.0039,53,0,1
55,2,47867.8,53947.9,20826.2,251.9358,890.3884,396.0637,0.6484,54,0,1
56,2,47861.2,53945.1,20833.5,251.9011,890.35,396.0784,0.8125,55,0,1
57,2,47857.3,53944.9,20837.5,251.8805,890.3289,396.0795,0.9219,56,0,1
58,2,47853.5,53941.2,20841.8,251.8605,890.3063,396.0989,0.4336,57,0,1
59,2,47852.4,53937.9,20843.8,251.8547,890.2958,396.1163,0.9219,58,0,1
60,2,47848.9,53936.4,20847.2,251.8363,890.2779,396.1242,0.0117,59,0,1
61,2,47846.6,53939.1,20850.2,251.8242,890.2621,396.11,1.5156,60,0,1
62,2,47846.3,53943.3,20852.5,251.8226,890.25,396.0879,1.4609,61,0,1
63,2,47836.8,53939.7,20862.0,251.7726,890.2,396.1068,0.8125,62,0,1
64,2,47834.2,53939.8,20865.0,251.7589,890.1842,396.1063,1.7891,63,0,1
65,2,47825.5,53931.6,20873.0,251.7132,890.1421,396.1495,0.7031,64,0,1
66,2,47813.8,53927.4,20885.0,251.6516,890.0789,396.1716,1.0273,65,0,1
67,2,47806.4,53926.2,20893.0,251.6126,890.0368,396.1779,1.082,66,0,1
68,2,47801.0,53923.1,20898.5,251.5842,890.0079,396.1942,0.4336,67,0,1
69,2,47797.9,53923.9,20902.8,251.5679,889.9853,396.19,0.8125,68,0,1
70,2,47797.0,53926.5,20905.0,251.5632,889.9737,396.1763,0.8672,69,0,1
71,2,47791.8,53923.8,20913.5,251.5358,889.9289,396.1905,0.8672,70,0,1
72,2,47786.4,53922.8,20921.2,251.5074,889.8884,396.1958,1.4609,71,0,1
73,2,47780.5,53925.9,20927.8,251.4763,889.8537,396.1795,0.6484,72,0,1
74,2,47776.2,53926.6,20932.0,251.4537,889.8316,396.1758,0.8672,73,0,1
75,2,47770.8,53924.2,20935.5,251.4253,889.8132,396.1884,0.8125,74,0,1
76,2,47765.9,53925.7,20939.5,251.3995,889.7921,396.1805,0.3242,75,0,1
77,2,47759.1,53924.6,20947.0,251.3637,889.7526,396.1863,0.5977,76,0,1
78,2,47754.3,53922.4,20954.5,251.3384,889.7132,396.1979,0.3789,77,0,1
79,2,47751.8,53927.1,20959.2,251.3253,889.6884,396.1732,0.8125,78,0,1
80,2,47746.1,53927.7,20966.2,251.2953,889.6516,396.17,0.4336,79,0,1
